 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Unidade da Federação e Ano do Óbito
Grande Grupo CID10: X85-Y09 Agressões, Y35-Y36 Intervenções legais e operações de guerra
Faixa Etária OPS: Menor 1 ano, 1 a 4 anos, 5 a 14 anos, 15 a 24 anos
Período:2000-2019
"Unidade da Federação";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";149;172;186;161;191;166;173;141;148;169;156;123;151;132;145;177;173;164;126;91;3094
"12 Acre";51;53;75;61;53;47;60;43;49;54;55;50;73;93;77;66;140;227;176;128;1631
"13 Amazonas";263;218;225;272;226;259;324;302;340;370;449;567;520;480;491;590;566;673;618;616;8369
"14 Roraima";58;42;57;35;36;29;49;47;25;53;39;31;65;82;70;74;78;95;201;93;1259
"15 Pará";304;385;455;551;570;754;798;862;1128;1217;1367;1250;1302;1280;1318;1356;1635;1743;1700;1267;21242
"16 Amapá";85;96;99;106;94;101;97;86;99;79;119;93;123;119;124;125;183;179;215;211;2433
"17 Tocantins";65;67;61;61;65;59;85;67;90;90;111;97;119;106;141;169;207;219;221;171;2271
"21 Maranhão";149;230;218;282;284;355;367;419;490;516;539;506;630;754;850;822;829;773;672;564;10249
"22 Piauí";92;94;130;112;132;145;159;123;120;152;124;145;165;211;258;223;261;226;198;159;3229
"23 Ceará";460;469;516;523;582;643;685;773;809;868;1103;1153;1792;2054;2149;1840;1555;2521;2101;940;23536
"24 Rio Grande do Norte";80;104;102;142;124;168;155;218;297;324;322;435;475;640;750;704;829;1016;790;558;8233
"25 Paraíba";221;207;232;219;246;291;321;335;389;511;593;647;673;641;646;600;512;526;482;305;8597
"26 Pernambuco";1820;2023;1831;1886;1814;1899;1884;1922;1852;1615;1414;1351;1318;1183;1358;1551;1806;2289;1631;1326;33773
"27 Alagoas";303;355;403;447;469;520;722;812;811;793;942;995;943;1011;950;801;830;895;662;477;14141
"28 Sergipe";162;199;223;191;156;160;222;193;187;213;214;241;325;373;425;501;627;550;477;386;6025
"29 Bahia";503;651;727;913;892;1200;1348;1491;2113;2496;2579;2357;2694;2466;2596;2655;3299;3463;3083;2662;40188
"31 Minas Gerais";842;923;1180;1638;1827;1797;1717;1684;1557;1481;1439;1639;1863;1909;1854;1779;1819;1610;1176;977;30711
"32 Espírito Santo";548;572;704;660;674;679;699;731;789;835;762;755;744;776;756;641;540;662;478;425;13430
"33 Rio de Janeiro";2938;2850;3338;3273;3186;3054;2943;2548;2162;1907;2074;1709;1710;1991;2348;2124;2634;2731;2782;1474;49776
"35 São Paulo";6664;6493;6244;5986;4516;3228;2873;2055;1978;1859;1742;1632;1934;1787;1934;1665;1432;1418;1016;905;57361
"41 Paraná";661;726;918;1020;1196;1257;1272;1318;1448;1487;1383;1258;1359;1104;1080;1063;1107;960;790;609;22016
"42 Santa Catarina";115;152;191;243;212;239;245;247;297;292;272;263;288;246;289;308;334;370;274;244;5121
"43 Rio Grande do Sul";589;652;716;673;769;741;683;808;786;723;678;670;773;733;895;985;1170;1202;911;690;15847
"50 Mato Grosso do Sul";228;187;217;258;237;223;223;256;262;267;210;201;214;190;241;201;188;182;162;122;4269
"51 Mato Grosso";295;309;295;291;260;295;313;262;285;326;314;311;372;370;443;382;374;330;275;258;6360
"52 Goiás";414;439;512;503;602;595;590;603;656;668;781;834;1091;1111;1111;1172;1215;1139;1021;844;15901
"53 Distrito Federal";332;353;326;377;339;301;275;303;355;380;328;376;385;354;354;302;328;253;199;170;6390
"Total";18391;19021;20181;20884;19752;19205;19282;18649;19522;19745;20109;19689;22101;22196;23653;22876;24671;26416;22437;16672;415452
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
