 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jan";"2007/Fev";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"510010 Acorizal";-;-;-;-;-;84,60;942,73;-;2473,77;8237,51;9770,05;19291,53;16437,18;4098,28;9018,29;7450,17;4657,56;9575,85;11201,83;9116,38;8590,62;6806,37;16119,86;7186,32;13244,91;9795,78;3773,28;29881,27;8600,36;5406,77;9063,38;11654,07;22920,16;13770,18;2849,80;31775,54;34273,69;32262,70;22927,25;36678,66;30157,49;24795,58;11666,99;13001,28;10998,08;10315,52;14076,42;9554,89;18869,46;13322,51;13600,97;11494,73;14633,00;15569,27;13805,57;8053,04;19388,97;10150,94;9647,98;17829,83;24685,75;8269,86;23657,73;22286,20;13142,12;10965,38;30857,90;10233,11;12679,48;13259,33;43195,30;11392,93;31647,58;17277,76;20690,05;34712,89;49308,13;30565,46;20374,52;12970,24;10291,70;16617,76;20065,73;22091,62;59095,32;21227,78;12366,18;13032,69;36601,84;22660,01;13327,32;27435,95;30728,22;29763,81;34294,83;68756,01;45113,44;40514,51;39120,79;19449,26;18732,97;22753,33;9076,60;32299,10;22602,77;29147,66;20277,39;17458,93;27959,76;39815,98;146533,06;36690,89;16768,25;49638,25;34715,79;34071,18;5802,76;43015,18;31871,02;25446,44;17754,17;14056,53;68747,50;31135,20;50605,50;37838,32;59873,42;43275,19;20561,86;44230,24;25306,49;57262,71;14629,84;40611,75;117234,69;44423,79;27288,58;34592,49;17194,16;31459,86;31974,61;26626,99;12635,77;21149,78;39442,71;13541,97;51134,78;13421,78;8082,78;31879,23;29195,03;26576,15;3654,78;30829,72;12774,09;14861,36;38077,76;11064,67;8679,44;34178,64;54571,22;34281,46;54835,46;50337,90;46792,22;6294,54;8242,54;3933492,69
"510020 Água Boa";-;-;-;-;445,69;44,22;8483,56;9661,58;23811,08;46591,55;43328,38;48544,40;31039,49;37836,83;42979,33;42269,94;52916,55;73709,39;39294,94;25395,39;23114,83;36620,18;31375,34;29310,14;22493,81;17418,42;51806,94;16315,17;32170,99;83857,47;61556,80;155813,83;39882,27;72270,78;40631,70;98056,57;45719,45;74342,62;59340,78;92816,58;80141,11;65829,30;71733,83;91058,77;58443,72;147428,64;85349,79;55774,52;158380,66;98179,92;60317,28;68841,69;104463,17;72540,49;87715,77;89189,21;62670,24;82440,26;69147,63;78829,89;70918,42;76169,95;50889,27;80358,01;66511,24;62722,17;94399,82;72264,72;66837,82;75670,33;69220,20;89402,69;80313,82;75584,94;120062,87;51672,31;71316,88;84849,56;79612,84;49732,55;62130,56;51940,19;72980,80;75143,64;170020,44;88555,29;43038,61;48488,04;89389,21;50011,75;95675,24;75911,53;49033,15;58708,63;58084,07;72194,84;68291,05;129164,15;87173,88;77353,24;65222,10;71314,59;73391,68;74429,45;81449,86;91247,79;85172,49;67341,45;52299,47;66503,19;68856,37;55674,75;78425,36;85818,03;88067,73;85383,17;67751,38;58519,38;64300,30;78949,81;61350,60;84178,53;81058,70;56362,94;117382,34;94944,61;116373,60;140274,50;122744,54;118630,92;100091,31;81765,82;64336,92;104604,49;101859,17;71063,13;78033,14;56009,93;122689,30;136792,81;96233,02;185078,22;94697,29;110708,56;102528,43;69955,41;109061,17;178569,68;52247,63;101093,79;164280,28;213594,56;140281,71;112594,50;100354,58;122787,55;39461,76;94005,07;115109,74;108711,32;155883,94;91452,79;70212,53;68990,20;24770,51;52500,33;8088,84;12465460,66
"510025 Alta Floresta";-;-;-;-;-;615,91;815,26;5565,52;12630,58;116349,37;128664,24;156930,62;147220,76;128964,70;103686,27;136933,37;103815,53;174413,17;89885,86;117876,29;118999,37;106531,81;123795,13;126855,80;122984,71;138242,38;152100,64;160471,45;148656,22;125678,04;148985,20;159509,69;142026,50;114633,95;96843,97;150880,70;147358,33;188731,88;143728,74;145200,83;156178,78;165139,11;133476,58;159962,14;153517,17;156927,95;213411,72;160851,92;173926,66;170177,06;131968,34;151007,56;169202,50;147978,89;131958,03;228205,99;131677,77;241981,21;32824,97;75882,71;55823,94;153106,22;94484,21;58800,66;43571,28;76909,02;117388,40;161846,27;117674,21;158095,78;146074,86;171306,68;188016,76;237728,09;135520,06;193575,30;205370,91;231271,95;212515,51;246042,27;191327,24;226367,26;255890,63;230659,52;208084,46;216179,80;177412,89;263923,94;232062,70;168610,57;142604,73;290585,16;317138,01;169947,44;134417,15;244981,09;225134,02;184280,98;172440,99;224993,72;188306,61;225662,30;169583,46;212534,28;223129,92;168873,19;225110,71;243743,24;175895,87;249068,85;238288,24;239229,99;219852,33;217234,50;238778,37;200604,76;223829,08;185780,19;142508,48;245600,38;167970,44;256690,32;250988,52;271332,83;182648,56;236971,68;217864,57;271306,98;238891,83;252397,13;219863,48;206470,62;298327,95;319665,75;282421,85;264617,02;258247,15;297913,36;221338,19;216763,72;305690,29;259645,82;192849,96;186139,51;255365,49;261773,99;237332,16;283785,72;215834,47;248125,49;219957,88;222904,95;237299,49;233550,08;212307,83;234161,25;164044,40;206137,05;220350,55;232907,56;225449,05;241442,64;238318,17;306894,19;276550,80;202001,31;230594,33;30072725,66
"510030 Alto Araguaia";-;-;-;-;-;-;5627,83;6034,10;28782,32;31744,97;26464,16;30175,26;32549,63;49791,95;35232,82;33288,22;52779,91;20263,77;35217,37;25613,51;24529,67;69842,47;30721,61;32985,20;41807,38;44129,61;45912,36;67535,66;40244,46;44949,55;99514,48;33283,11;24160,43;71115,93;43173,63;32617,41;33731,53;38531,99;37084,37;35198,32;74534,84;62574,26;76000,55;40500,88;43643,76;58797,94;47517,79;44470,51;33143,82;48359,74;34566,47;37958,81;30321,30;29806,51;39922,19;16305,10;18133,63;41628,44;32683,34;36557,83;56912,37;29508,78;72461,00;32623,65;52103,77;31195,98;63212,17;52147,31;83297,34;47707,96;28381,93;34422,60;55746,02;36112,18;40281,52;49126,92;53233,65;48670,12;45894,03;62556,18;32174,57;54498,28;33442,95;62701,87;57121,07;29623,72;82739,90;43036,76;76451,23;65164,27;26341,18;38108,44;22208,47;43083,05;48781,37;89005,61;71117,91;46519,05;64269,45;69370,90;49798,09;45064,64;77896,60;82418,94;73899,74;59237,37;72505,84;63223,08;81863,36;69708,02;106574,19;61864,92;75688,69;41040,71;31998,51;48775,54;80417,22;55878,11;46439,17;85706,53;59336,53;116603,81;97605,60;106146,08;111304,05;53377,91;85490,56;65576,16;92877,91;88192,00;81894,36;102655,85;81559,49;50375,19;70064,97;79195,54;57663,53;86278,66;58983,98;114039,00;82340,44;58162,28;56747,88;86965,41;81515,57;89740,83;70778,80;98975,97;84357,92;141935,09;106639,43;62977,95;82195,58;74951,78;66828,49;66353,54;62713,01;99637,04;65477,85;92385,50;42779,96;42475,49;84919,05;118442,17;92583,94;78802,19;15666,59;9259988,43
"510035 Alto Boa Vista";-;-;-;-;-;392,92;-;449,54;2257,54;820,46;3237,87;7343,40;7069,47;6949,12;7425,30;6674,70;4596,65;5977,33;5494,80;8683,93;2538,07;8863,43;3451,71;4823,99;7731,87;4124,71;5607,18;2429,71;7039,36;7102,23;13043,83;7269,78;5658,96;3138,83;4612,69;4810,63;5057,60;6278,78;6340,23;5891,48;8843,17;5280,03;4102,28;2764,15;4163,56;6231,47;15414,34;2965,62;6194,42;5194,10;7641,95;3974,07;16998,86;15274,30;29516,54;5542,27;13049,07;4668,01;6014,93;11172,87;4568,77;4853,76;3728,23;10551,88;5937,75;13768,44;8169,49;6434,85;10164,40;6463,94;7598,05;2213,49;4205,29;12010,00;25552,80;11752,29;19330,02;20903,84;4492,36;7833,87;9758,72;4017,72;6890,05;5357,98;4976,03;4184,91;13868,55;4672,36;14187,41;20022,61;6012,91;626,03;2514,12;21267,30;6249,21;10842,70;5429,33;4394,84;6802,77;19956,57;19995,97;6558,91;4794,32;3698,12;5060,66;3204,61;10754,37;5065,99;10132,08;8812,18;5898,65;6376,74;25639,15;25352,91;33290,67;13349,90;8646,48;4551,32;31781,98;8825,85;10711,69;10041,71;7889,37;7087,17;5990,27;8023,06;6149,12;4859,22;14050,57;3104,00;5474,82;8970,15;10662,43;9383,60;13482,47;9336,57;6410,24;6172,63;13929,36;9042,44;9618,02;25662,21;6569,27;4876,96;16520,39;23876,35;13509,94;15269,99;10239,07;10766,18;5513,89;6545,03;6894,91;8196,35;11974,75;31064,73;7600,28;9400,70;19860,32;5738,10;6707,01;8483,22;32989,97;44981,54;31135,87;15409,57;15909,76;1538635,88
"510040 Alto Garças";-;-;1891,44;-;-;-;-;939,40;8019,82;20606,42;27913,07;10316,58;28682,36;10996,91;9026,73;19482,50;19223,78;3570,71;15051,18;4847,38;33125,66;24595,18;13510,84;16671,44;17371,85;32311,43;16456,81;30830,31;11175,89;10396,86;21696,95;13161,69;10557,48;17201,11;6022,57;14610,82;32859,05;23917,66;8573,24;19549,59;24177,05;28474,19;24168,23;11864,55;23475,25;23278,53;24910,49;14145,10;46268,46;39807,43;9899,75;13881,26;21344,17;19867,88;25459,41;25233,45;19385,80;15482,83;9972,55;14708,70;31104,61;72683,66;74519,33;73037,10;31073,76;27672,22;47281,86;13233,86;25473,82;27583,13;33662,71;32645,11;24255,50;12834,08;43355,08;15288,14;19830,48;25318,02;40852,28;65423,75;15229,61;14790,93;34351,83;38631,91;30637,90;42235,81;24198,40;17386,33;35577,87;39503,76;49753,84;27377,22;27862,95;14735,27;29899,20;51638,41;56396,65;32502,25;61576,67;36442,57;48443,07;50836,07;25734,68;28956,58;26000,31;52051,17;34428,00;34131,75;20801,18;43646,65;27367,65;24398,61;36119,56;19662,50;28685,95;20728,22;36167,20;29781,84;46819,66;45690,16;24865,00;57202,62;38757,23;38727,03;86140,52;93478,42;35566,52;26962,01;27938,20;25021,86;51821,83;39899,68;33618,02;19023,21;72093,43;31626,42;42275,67;68445,85;55273,38;37589,83;23720,51;29489,47;27596,30;30357,03;47188,52;58129,07;59104,14;145660,36;47330,13;169314,91;75886,55;33778,26;58452,76;144452,05;91088,07;100212,28;43338,35;22338,27;25739,53;82713,01;60860,09;17203,87;94513,09;55405,09;28445,57;68797,51;6555,69;5643275,69
"510050 Alto Paraguai";-;-;-;-;-;-;357,34;-;11028,48;22244,32;7613,98;14011,33;20536,22;7590,57;11621,31;11562,57;16228,31;8413,79;9993,33;10188,24;26736,19;7367,65;5217,75;12005,44;7658,57;16392,08;8495,00;26740,13;15533,61;11382,97;9007,68;17328,67;4694,50;3392,09;8984,32;13396,04;26755,90;16426,58;17731,28;17233,22;10128,50;15895,74;14115,91;14854,77;13211,67;13501,35;21408,12;13194,11;24269,55;33690,35;16248,41;13993,46;33186,42;13685,09;20226,27;25640,67;13781,07;9413,35;10550,68;15718,94;30615,76;15944,94;14715,80;20411,44;14364,38;19686,78;22718,67;41976,22;13646,17;20371,08;16098,97;69643,08;27598,21;14266,67;12028,37;20084,24;41872,93;13705,37;16490,36;19968,46;9862,74;20999,76;11250,32;54933,16;36048,76;20243,46;10827,60;13282,39;15254,52;23572,76;25537,77;23901,85;43549,69;25779,17;14482,02;59603,64;54879,50;26865,47;23462,23;33874,04;25219,51;19127,35;28629,18;25876,66;30973,90;31350,42;32357,69;51119,68;35113,86;47216,87;21446,02;20454,31;27780,18;18682,86;28742,40;16252,54;134707,32;27980,49;24803,10;32313,17;38279,20;37829,34;39397,86;19319,00;19824,85;25330,85;15698,35;16161,77;6074,00;32784,10;28747,00;15284,42;11509,97;29246,88;45992,68;33349,17;23539,22;31052,96;32634,37;38197,85;45025,57;50167,23;14728,47;32361,35;31381,19;57780,87;38374,24;43859,53;34951,59;30368,42;19662,64;26657,33;21837,35;113505,79;33923,09;18188,02;7805,93;7934,93;9393,58;30212,00;68305,18;76143,73;59380,91;77011,85;28393,58;17816,17;18538,62;4019113,15
"510060 Alto Taquari";-;-;-;-;-;-;260,41;2358,71;10722,05;30411,01;9132,55;12754,90;10545,80;2550,35;4921,37;21222,50;18485,66;4625,46;2158,24;2774,92;7953,61;5400,99;3382,36;7328,96;9770,99;4809,61;13094,75;8330,42;5221,04;5930,26;4678,47;6564,48;11546,47;4641,81;2542,94;10514,50;9049,62;11584,38;5634,84;1333,90;8306,29;27478,03;8809,29;14959,82;7905,51;42219,56;37946,74;25181,71;36099,18;27961,53;34708,16;13299,39;26378,99;28691,08;20877,63;37885,15;29227,22;40012,62;18807,75;39641,84;56019,23;24035,62;18348,92;18164,47;23497,21;24369,76;14461,19;22031,78;85288,88;36632,24;10899,95;24296,22;16385,94;57882,33;40609,10;27485,00;28577,53;21110,29;32994,86;15814,69;17554,39;20966,44;14630,90;35124,74;25865,47;23507,56;24166,15;35261,38;61311,60;15842,81;16743,01;14510,45;15787,85;20993,67;19877,33;20988,81;15317,18;35639,04;20285,46;20726,55;22863,71;22574,34;13228,22;19428,44;36191,34;21898,81;20876,84;11429,68;21102,43;19705,47;29188,99;33268,37;20078,46;47157,58;52255,47;21970,71;8606,68;44722,71;25610,93;39533,48;24972,41;17507,60;37476,21;75243,67;54750,33;24119,15;10927,84;16777,06;15991,65;30064,37;10502,97;50047,93;35291,02;13321,49;52406,14;38529,33;25288,52;19440,60;24272,87;29767,39;55572,08;41038,73;36066,64;34239,39;61501,82;52738,13;42260,79;54730,91;41723,90;12122,14;36158,95;15316,70;17556,86;20480,81;9777,30;25144,95;30594,06;8474,88;16193,12;34580,32;40721,82;38719,04;63779,28;30451,89;30771,57;54088,54;11910,39;3927748,04
"510080 Apiacás";-;-;-;-;-;-;130,98;731,14;15110,99;17150,04;13767,43;18397,62;25732,02;18457,74;34986,14;26907,42;20495,68;11735,17;21014,13;21510,89;26954,20;31691,68;26531,13;30471,88;49089,88;23243,06;24903,60;15932,51;26353,49;28640,96;40980,53;40126,52;18590,61;17474,33;17809,96;21904,95;28043,92;24495,59;26430,32;20750,06;29118,96;22770,53;41977,33;37665,86;48156,73;28085,16;35529,18;26344,78;19273,09;22872,69;23726,03;22510,56;26786,43;19771,80;21380,68;23412,75;22964,58;21351,64;53747,79;34725,47;17496,86;22505,78;21577,45;18796,16;22854,95;24619,31;25559,29;24001,69;21834,07;16106,89;24490,52;27081,10;22869,81;29647,54;31505,45;25454,60;40004,01;19426,81;23495,62;22093,25;20139,04;24987,07;29584,77;43683,67;48344,21;55109,86;28721,45;32744,00;25007,54;25437,50;20908,57;29751,43;23163,12;27057,79;22629,38;25333,53;32360,91;27949,45;32169,71;23064,23;46521,80;43383,18;25888,59;33342,31;75068,02;26984,58;20622,39;32126,50;17370,03;26345,57;34583,56;31035,11;23534,03;27652,49;26922,79;32946,13;36072,88;37703,52;16292,43;35922,19;24277,24;27046,55;58326,46;57326,76;31039,20;56219,54;27364,84;17617,94;25777,54;56293,59;17396,62;31734,09;38188,32;19487,95;29733,02;49908,46;48824,37;16169,14;29942,07;25582,69;21774,85;28583,22;36774,27;33577,75;42074,98;52461,36;61963,00;42894,06;65667,30;62472,11;36750,42;63044,38;33699,04;34883,29;27038,86;16728,13;19905,65;21570,68;45211,88;24198,66;27436,36;29873,16;70723,72;39929,75;43853,75;25014,65;8149,43;4803116,20
"510100 Araguaiana";-;-;-;-;-;-;199,24;4446,07;6955,30;8775,19;8538,17;9484,37;1975,04;4117,14;5505,85;5477,30;2589,76;5331,64;2825,75;1975,16;2764,82;1456,33;1276,57;2371,94;2209,31;1702,83;10151,51;32069,37;6857,35;1070,51;15043,92;2231,23;10454,97;2800,44;11229,70;8682,94;2499,14;2308,17;1056,05;2059,34;4590,13;3654,74;2272,29;1310,53;-;6518,28;3227,67;3149,71;962,88;4081,61;6737,05;6208,92;5234,49;1368,12;8493,29;9397,13;2412,28;4845,00;5310,34;4102,50;2616,15;1799,40;13381,39;1805,42;3915,15;6195,22;1491,04;1351,51;5381,83;2512,25;2293,71;1077,31;5150,16;1587,16;1237,42;1038,81;1559,19;3942,27;4561,79;10772,78;1420,41;5617,99;1645,94;5070,88;8965,31;4140,47;9554,14;634,03;4219,80;5742,79;2940,48;5803,92;1824,51;1945,10;3021,35;11744,83;3057,97;1989,04;14232,04;41195,56;4758,06;5677,30;2493,21;1747,28;12319,49;14267,68;2211,17;9628,85;4142,86;21240,50;5578,43;10233,93;8477,71;5901,72;15922,28;3150,46;4794,05;2357,23;6489,08;225,16;18611,14;20848,45;3198,29;4777,61;7318,67;12270,93;6545,57;3697,03;6174,44;32598,59;6092,77;6075,37;5930,12;11855,90;14338,71;29712,65;6604,05;8114,99;8311,68;2954,20;5678,70;7125,52;13565,62;9882,11;3369,66;6182,28;17657,00;3968,89;7840,32;7415,54;12394,23;21637,65;19014,49;12583,65;4480,66;5982,98;8311,39;7217,26;4058,58;9288,45;10689,50;26153,14;4827,48;55314,51;15245,32;3498,88;857,46;1142694,78
