 Morbidade Hospitalar do SUS - por local de residência - Pará
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2000/Fev";"2006/Fev";"2007/Jan";"2007/Fev";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"150010 Abaetetuba";-;-;-;-;-;-;-;310,37;9886,36;19358,18;97055,70;330663,44;497178,69;442727,69;485348,95;543284,18;484184,31;477201,30;498654,99;472028,46;506948,27;470324,15;505206,53;508962,80;576825,31;490896,88;588527,82;605845,91;570112,59;685435,83;603836,62;596828,27;618672,71;600841,04;605557,37;604516,34;594727,77;518964,76;643711,60;619805,74;552108,59;639328,76;527358,97;549350,36;610349,86;503161,35;533343,61;594836,82;624753,74;524696,87;566321,81;543578,41;562101,97;559007,13;622163,68;646881,83;660602,85;531272,67;435240,92;567243,37;546875,30;559926,99;664292,98;619263,31;540392,92;506104,36;580020,65;563864,88;527358,86;444835,70;630427,20;652354,21;629991,43;589383,15;617771,68;595692,54;506587,58;573343,16;594188,36;559459,63;482778,64;581505,12;543381,76;672688,36;513779,06;521738,17;586646,69;508808,82;545258,28;613878,65;637211,63;564311,52;602801,33;539145,73;637081,92;558481,99;629917,91;584951,14;673869,66;562005,85;753860,52;628321,38;664746,04;622552,23;758868,62;715570,84;747164,72;550990,92;663868,34;640014,73;524883,44;443455,26;524811,34;582084,55;653652,25;623853,59;747533,41;751416,18;603077,53;746217,40;675752,10;651219,89;799077,60;535943,17;863819,88;634825,48;637028,84;758385,86;627309,67;800426,20;686470,47;594375,49;746916,46;711152,14;816503,67;632981,28;740534,52;771704,76;641210,61;774581,04;692372,16;900935,62;718216,53;619907,19;704792,17;702816,60;655942,36;567824,05;563033,86;608828,06;762509,68;778995,00;764141,07;774399,66;749805,61;753162,78;929099,91;748323,73;844977,21;683636,97;617278,30;692754,50;548661,95;639540,89;701631,68;688893,47;927436,48;641350,03;590889,71;299752,95;98209584,22
"150013 Abel Figueiredo";-;-;-;-;-;-;-;-;-;-;-;2186,29;21278,26;2632,73;16785,27;22673,11;21584,20;22316,59;16139,63;29203,74;26453,67;28117,64;32950,48;13992,35;28675,09;30113,70;55324,63;25413,01;37490,85;21582,46;20970,84;33881,10;22025,34;30786,60;42794,65;21559,58;21738,81;33965,11;36456,78;21716,85;26449,56;21450,28;24677,85;25341,13;38998,94;30484,14;36394,49;30244,12;43522,16;38669,82;20816,46;4837,29;20462,29;76629,55;30049,66;29587,22;39204,61;21153,69;23962,75;23553,09;25029,22;48181,54;34459,38;29924,42;32840,08;28680,54;33240,31;24439,50;31917,11;20453,40;27201,97;14887,70;20292,31;26097,83;58362,07;24488,69;25725,68;44963,38;30741,55;44355,59;28830,14;32392,06;41412,78;25023,49;22735,66;20448,85;22624,62;43008,09;33650,64;24637,18;23723,13;41590,26;37418,54;29335,07;18839,11;22633,77;27206,91;26859,24;26703,42;27613,43;25214,64;14616,83;37847,90;25748,48;17954,42;20267,32;14860,55;11069,10;15239,45;21756,86;14328,13;36171,89;33309,30;35838,74;13433,34;17598,78;18519,06;19869,91;9646,54;15200,36;19956,91;61924,74;44544,41;40046,02;35382,97;23180,60;24567,50;19472,85;18730,82;19633,63;45679,90;23385,83;18316,72;10644,16;18138,77;15830,81;22762,70;29076,58;33201,37;28417,45;15843,25;26824,75;22685,03;17750,97;49664,80;30248,07;33547,04;23913,82;23710,84;31423,74;27948,82;24466,91;30075,59;51015,53;32050,11;34576,63;33486,13;12483,28;15140,39;15872,46;8726,95;15206,47;29034,03;15159,86;18537,39;38859,08;13998,44;17128,50;20750,12;21297,43;4273079,89
"150020 Acará";-;-;-;-;-;-;-;481,70;1337,29;10409,19;9755,37;56862,55;131450,00;97026,05;113620,51;170488,36;119538,94;141933,71;144892,50;132567,58;143170,45;122379,35;104512,16;153498,60;112654,39;105340,89;131832,74;105095,73;108837,73;137957,10;152630,35;156546,65;162856,24;139650,87;160421,56;151241,38;129820,25;120845,45;152372,29;109659,86;127635,98;110559,19;119404,87;168939,64;170345,04;234008,29;153595,89;184210,57;125234,20;108109,59;193002,15;153360,85;145752,51;161366,84;158982,24;118468,97;143232,35;183905,09;133248,16;121904,41;186992,65;155308,82;180099,28;143593,48;175997,38;139989,29;112843,29;161990,57;159362,28;167688,90;175545,56;116453,97;156268,93;117142,29;174680,28;183563,12;151886,16;168382,23;116302,33;214453,17;138749,71;175263,41;125627,51;149603,90;164810,48;204602,56;207229,33;193898,75;184919,39;148248,47;173508,82;147581,45;178651,09;212786,52;190627,77;164645,06;129988,30;144131,79;200352,11;139006,55;181096,93;143642,45;155682,88;164697,84;159305,38;184623,04;175507,28;206599,60;237423,40;164946,09;252810,84;139151,66;222134,42;214416,47;225559,53;242372,70;255969,40;210099,23;226088,86;163383,62;253119,76;181352,42;170615,57;192465,26;231070,36;204965,70;277939,98;220182,71;268196,59;200373,93;193700,52;240348,82;222988,30;230683,25;165720,04;223681,94;281729,50;196888,28;204739,17;222373,76;225776,31;246290,18;207905,92;198501,74;193890,64;202205,05;253100,90;141786,43;180529,28;136510,17;226057,62;270694,16;298851,37;238769,78;355953,70;260300,64;233239,97;220207,97;265971,64;129753,36;245635,15;226194,03;214483,16;318261,44;216837,44;258285,12;220236,96;184083,45;143038,35;52428,44;28214159,42
"150030 Afuá";-;-;-;-;-;-;-;842,26;2253,55;1858,55;4974,16;25162,64;59013,04;53806,53;46473,90;46647,13;60254,18;57657,24;55561,52;59578,38;59024,12;63601,53;88403,93;45967,33;40735,17;32684,05;47785,79;51435,21;81712,30;80208,94;62504,91;84140,64;74653,29;81976,77;68083,87;57541,42;64690,77;46951,62;100370,12;95412,90;80851,47;97827,48;72234,81;78052,52;63807,76;86883,85;64615,40;58791,44;67624,11;84862,43;66215,62;64816,08;67269,03;86077,06;92381,90;76446,63;86799,00;76532,96;72018,05;50161,45;62560,57;76105,88;77393,58;64338,68;84678,06;70020,99;74536,53;47760,60;59312,37;64000,21;47838,00;44971,19;49247,44;44009,95;60900,96;71496,38;79080,05;68345,72;76021,80;70698,97;69861,16;73193,68;56974,94;53439,93;86387,42;64086,29;62321,32;94381,05;61612,92;56518,93;60017,70;59623,31;55590,77;75844,73;56877,93;68383,12;70132,50;79773,65;80042,64;75717,40;68247,44;69670,97;90769,64;65799,84;73669,89;68565,63;71702,44;66630,44;80180,92;58883,02;68954,52;71233,42;93901,14;62315,18;66209,26;66117,99;58725,00;61591,77;55770,82;47099,42;53535,49;63000,33;82199,98;81629,04;100406,31;109741,05;80998,13;91651,67;73400,49;100510,33;74186,12;56709,31;70943,55;73174,49;76616,80;91069,22;122913,48;106695,38;93828,70;98857,47;97437,37;101464,64;85904,29;89207,07;94563,36;93851,28;107353,55;110886,14;84077,03;126205,19;144485,98;67354,85;98877,03;95341,92;122300,84;67452,10;70301,31;77194,12;94308,34;58992,77;60318,82;61290,00;127260,72;100386,72;132588,63;112189,74;120783,56;106483,24;71713,45;17990,35;11817006,63
"150034 Água Azul do Norte";-;-;-;-;-;-;-;1973,49;1395,74;7453,14;8738,86;30779,30;43335,23;46571,70;65738,42;71185,11;64185,27;54193,95;48624,05;56674,07;59022,84;74401,34;86116,70;78790,18;52833,31;81833,31;92920,44;93315,67;87302,41;73913,93;78354,46;63049,24;66375,42;86486,43;72878,39;68705,12;74962,10;84148,53;85883,12;54212,04;120040,06;71015,42;55767,65;57381,80;66080,19;100245,36;95183,11;56622,48;71173,97;63161,31;83890,56;68064,96;51107,06;64935,39;48382,07;58314,13;60410,06;56217,91;78494,34;57063,28;41891,90;40801,95;51448,83;50722,37;44396,91;38589,94;47446,37;46498,82;53980,37;56779,93;50546,57;23364,63;48415,72;88707,59;78373,86;105991,64;76621,53;63666,99;57324,33;62384,12;42071,39;47544,33;30902,22;23483,42;65738,38;53114,95;81713,62;68890,38;40670,72;35276,30;48920,86;59371,87;54583,08;79503,71;59758,37;45275,01;45725,39;38957,34;46677,60;64063,55;43318,98;52595,51;36578,65;46238,99;41558,03;34934,77;42412,67;37231,59;72502,95;64663,28;80929,96;73251,76;82188,07;41926,50;53762,08;60960,66;51588,23;54318,29;65284,89;67970,40;65832,11;79387,12;72007,23;72851,78;80579,41;71011,98;59919,58;56996,33;73451,94;86190,43;92554,63;73660,88;85036,51;68094,31;44939,25;56861,96;56358,96;56580,25;34745,73;61226,64;60646,76;58296,46;58019,51;134302,60;65607,29;59706,98;90137,34;72581,84;77111,19;101048,94;39312,06;56495,58;80071,44;93705,14;82766,63;63016,31;61965,46;65086,95;61528,00;41006,51;43031,05;83994,64;118148,61;71807,83;68523,59;60994,40;79840,27;32231,25;153147,99;51806,84;10198544,03
"150040 Alenquer";-;-;-;-;-;-;-;-;-;10957,74;98643,48;187508,43;191872,75;190335,25;200029,12;234946,39;228120,82;217334,20;198706,18;172870,13;209529,76;203018,46;241641,02;204504,97;244303,44;196080,27;254931,62;251368,18;229401,73;253142,87;233177,88;186672,11;241619,99;236665,58;216558,23;232501,80;221732,09;218673,07;227152,40;215655,48;224916,06;205945,87;237061,96;213589,73;134602,51;80633,22;198807,08;203709,16;291995,73;262244,96;237016,81;251985,16;235798,79;143795,00;154439,39;145807,92;205078,94;182591,73;222625,24;187177,03;210442,66;210575,62;245683,37;224999,66;229497,21;200276,97;201969,34;210917,39;194715,96;217978,73;242347,73;219621,52;175483,64;222846,27;226819,11;261754,18;210044,14;191981,14;214541,48;207659,96;230244,35;190608,99;175678,71;178107,96;160096,14;156832,82;247388,98;231340,84;227241,38;197777,43;187731,39;122910,93;157415,73;138295,83;164471,40;159021,02;134719,85;163243,08;151538,02;167734,73;206053,95;120557,86;177842,71;219189,31;30961,22;30636,43;48575,98;51841,33;64225,72;76135,73;50562,93;45957,35;138682,48;50866,07;46104,09;38259,52;83243,04;24352,84;23296,98;70179,50;53905,08;30657,25;41469,09;48463,51;48067,43;67563,67;67682,79;112796,42;44221,95;131734,26;117674,46;183207,41;159709,85;173864,39;169034,02;215254,26;214071,29;163003,08;215332,97;212544,61;189308,32;185071,64;188631,83;192721,29;246891,62;205529,04;188171,78;207457,27;212826,18;185846,15;200471,29;201049,25;224484,20;223824,91;193161,28;318194,30;186471,35;192051,40;147411,85;106951,56;131447,47;162469,37;171650,08;153166,03;164546,11;178451,47;163660,74;217537,55;269817,55;180845,59;28189934,69
"150050 Almeirim";-;-;-;-;-;-;-;-;-;4142,83;7659,19;49487,48;54795,14;76780,95;74936,62;117761,28;86316,30;75954,36;51521,70;92612,92;65819,83;72676,38;81846,31;50719,67;54635,15;76921,32;64190,31;102772,65;90534,59;87453,58;96467,09;94339,31;71854,93;83671,17;94607,71;97703,39;86358,03;101614,77;94721,27;77692,93;102617,23;93520,39;97958,70;76446,64;89917,45;76056,03;49108,53;29908,27;60197,08;42672,98;48978,95;32392,40;60357,52;55235,63;36257,23;53070,07;68548,07;60451,59;72607,20;77755,16;69338,16;74104,69;65120,59;90308,61;74308,55;72662,46;64579,72;46413,54;47212,07;73142,26;51639,66;83748,03;72790,92;63202,52;80285,55;59007,03;54257,77;127827,29;70133,68;60020,83;42132,67;59337,04;51691,48;73918,09;66661,88;106109,60;62374,05;69064,18;85859,89;63128,53;70986,23;70628,62;57804,26;80296,26;76648,21;57410,42;85278,57;63900,97;47993,37;64050,24;82001,99;63007,33;56177,55;59434,92;73473,54;71595,34;95713,81;50839,45;74443,72;72087,03;59052,90;74850,22;67950,72;67671,65;60001,28;97553,96;65370,88;69810,64;49769,10;55095,89;53127,95;81691,13;81943,72;84727,07;68613,10;82591,64;86214,46;103808,15;66024,99;89483,94;86348,60;39540,93;131933,14;141976,62;98794,42;106849,15;50024,61;61776,19;75793,83;82005,74;85983,23;93225,74;91886,72;167157,01;102706,30;125707,03;130844,00;122905,66;73350,07;91080,34;107131,17;84986,65;125320,77;94871,13;87038,54;104619,16;61832,67;85131,88;146139,06;66947,88;40873,12;113165,75;108370,57;70498,47;88271,80;78073,18;94097,39;96178,01;38078,77;27934,51;12221582,65
"150060 Altamira";-;-;-;-;-;-;-;865,00;2351,78;65006,73;103427,08;270258,04;449746,10;454839,87;450332,09;426327,91;454522,94;557022,39;475912,00;516446,33;473363,57;605011,73;576808,31;537654,21;656402,57;564721,79;758289,37;690595,25;732482,87;685018,37;628303,13;609911,57;558816,18;651403,64;597292,80;614861,69;693275,77;641313,85;748391,11;537696,79;728608,73;646692,35;624063,61;603977,80;529964,78;618279,70;599135,72;634894,55;534290,26;590470,39;799119,12;649015,63;678375,46;650851,35;623945,54;620474,51;678430,34;691492,07;664788,44;621778,93;546479,29;812024,69;752386,05;672297,27;715173,68;681694,68;447991,99;546092,33;677695,39;691345,57;697228,77;748893,00;687169,62;568092,76;703643,96;756803,16;789815,99;779879,96;872530,34;837275,86;987696,53;870236,26;846819,50;833019,50;748910,20;800797,75;871677,09;786853,29;678613,65;747300,94;829669,72;861851,23;756928,14;815624,44;679578,14;732263,76;685139,21;664343,43;646832,08;672331,57;711133,94;564723,65;605007,96;635461,62;641180,66;662447,67;586753,48;693221,75;569821,55;582579,31;634658,56;666476,36;672169,33;682165,04;638240,80;657835,41;670212,65;599725,27;548215,78;568017,72;676426,12;732275,26;673367,24;586411,57;687883,46;636857,71;593143,58;608314,16;674334,86;723092,08;662907,11;601836,28;717067,15;606839,26;777315,04;731329,75;611296,66;570079,56;645908,26;688580,94;517460,29;712261,66;540057,63;590917,91;668503,51;627504,45;693644,70;825027,13;651738,89;592340,92;807166,81;656965,26;666719,73;676227,07;604450,20;613212,75;683481,67;753619,68;681203,55;535198,01;726996,77;987815,71;1092018,10;764519,50;754214,00;612967,77;581828,99;595214,61;525281,19;249001,01;104861196,93
"150070 Anajás";-;-;-;-;-;-;-;-;-;10814,64;12723,75;29625,81;38492,77;43273,47;68155,21;41894,66;50880,48;53139,71;52737,51;67586,63;54153,36;50714,06;41804,21;27370,73;32203,39;34193,72;30800,44;51955,53;53840,39;55613,27;72145,35;58391,95;67513,88;36957,98;46112,99;62770,20;75574,99;52830,78;55754,48;48977,01;52877,38;89806,69;72105,54;75989,37;62687,30;55780,70;56353,11;60154,20;63596,83;42111,58;51894,51;65486,66;56958,29;56039,72;93223,63;64060,17;50999,56;62049,41;58588,51;68251,61;47647,22;61367,16;72349,26;72298,35;45479,24;61177,05;41669,82;76970,44;46095,52;41129,86;38326,51;38951,75;35636,95;55290,80;36891,77;43519,32;58541,41;41089,75;41543,22;43913,75;66917,60;60184,83;41178,28;69202,90;76841,63;56791,29;65957,21;53938,83;59553,85;55046,06;64254,99;66029,51;59877,11;75883,07;63994,66;21825,93;67633,84;58480,27;106326,54;38274,64;79381,69;59807,92;62603,30;70746,89;55513,50;75245,50;66863,84;65937,15;58540,11;62617,07;56190,65;78463,42;35218,30;29703,03;72359,04;78577,25;98384,75;59887,55;108612,78;60145,37;77709,29;45685,67;71972,01;116970,36;106751,89;60464,09;56619,19;51373,63;104844,75;104547,87;57547,80;105463,46;61135,49;66698,21;83581,62;73256,07;132730,86;91048,28;98922,80;95162,07;113316,28;98145,31;77139,83;80485,41;115236,89;86919,72;69755,74;70404,99;63871,05;85791,67;99390,18;100108,18;99891,32;115446,11;112969,67;100656,02;89131,04;88141,56;107457,28;101064,07;69561,74;137247,10;96720,34;81769,20;97014,78;110154,41;87296,33;53305,82;39905,31;17167,09;10628849,27
"150080 Ananindeua";-;-;-;-;-;-;-;13724,36;92667,70;246643,76;462706,60;1268593,89;1822561,56;1651582,52;1738943,87;2064216,59;2032939,00;1886140,35;1922299,34;2078545,85;2140155,67;2041372,92;1983252,33;2266363,95;2208146,48;1933891,26;2380983,25;2209381,38;2176319,03;2181095,90;2217492,23;2383715,01;2406294,29;2420017,57;2373240,94;2270339,47;2599137,42;2697740,01;2809234,92;2552298,61;2833490,46;2496752,70;2390030,23;2716512,81;2715369,92;2467985,85;2440634,53;2479171,45;2867070,61;2277906,33;2826589,57;2550002,30;2676773,63;2504227,97;2116037,07;2403481,13;2180856,80;2362071,73;2275333,01;1893200,53;2349553,74;2071062,94;2463901,33;2155881,05;2389590,79;1850848,26;2111700,06;2458581,55;2222678,27;2531489,96;2239923,62;2061108,08;2469151,09;2286460,18;2525147,57;2775489,87;2283328,02;2073204,63;2277795,91;2307907,47;2458169,97;1979480,25;2128579,34;2966400,57;2453152,98;2300299,72;2258837,89;2389453,08;2588266,94;2344794,48;2637149,59;2317344,85;2560602,19;2284505,13;2458252,95;2474976,04;2647835,85;2299198,23;2726556,39;2386513,67;2632431,47;2350277,63;2233749,75;2291717,69;2502871,61;2416955,64;2218753,80;2085080,18;2212774,36;2090509,88;2604904,68;2309472,98;2322390,33;2816801,67;2282175,75;2463610,66;2391164,54;2451448,92;2321027,90;2614654,97;2708936,10;2337902,23;2956585,39;2677178,77;2606649,80;2660689,79;2440464,38;2740512,56;2733789,85;2703478,41;2775098,19;2572951,65;2950724,53;2681316,05;2821403,18;2766462,70;2530654,23;2875319,24;2891086,94;3014744,41;2480317,87;3340394,46;2871282,23;2731162,85;2717310,30;2419949,95;2438094,97;2304995,34;2432969,39;2124344,39;3072326,45;2720570,83;2969794,36;2752223,35;2751448,15;2616026,24;2540836,26;2677525,91;3052706,72;2871481,45;4384896,25;2888309,78;2773647,75;2777525,56;2991624,14;3085804,97;3147553,74;2524871,10;1598371,51;528896,92;390216697,16
