 Morbidade Hospitalar do SUS - por local de residência - Rondônia
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"110001 Alta Floresta D'Oeste";-;-;2;2;3;1;1;-;4;-;-;1;1;-;-;1;1;3;-;3;1;4;4;3;1;-;2;2;1;1;-;1;4;3;1;3;-;1;1;2;3;3;1;2;2;5;1;1;-;1;3;1;-;2;2;3;2;2;2;-;-;2;4;3;5;2;3;1;4;1;5;2;2;3;3;2;4;2;2;-;2;6;4;5;1;1;-;3;2;1;6;2;9;1;1;7;3;3;5;4;2;3;3;1;2;4;6;5;2;3;4;5;5;4;7;2;4;6;6;8;4;6;2;3;9;6;4;5;2;5;5;6;4;5;5;3;3;5;5;4;4;5;5;4;8;2;4;3;4;3;4;5;3;2;3;8;5;3;5;1;6;3;473
"110037 Alto Alegre dos Parecis";-;-;-;1;-;1;1;1;1;-;-;-;-;-;-;1;-;1;-;1;-;2;-;3;1;1;1;-;1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;1;1;1;-;2;2;1;2;1;-;-;-;-;2;1;2;1;-;1;2;1;-;1;1;3;-;3;-;1;-;-;3;-;-;1;1;1;1;2;1;1;1;-;-;5;-;2;-;-;2;-;2;-;-;-;-;2;2;2;2;-;-;-;2;2;1;3;1;2;5;1;-;2;2;1;-;2;-;-;2;3;-;-;1;-;1;2;-;-;3;1;1;1;1;2;-;1;-;1;2;2;-;1;5;1;2;-;-;-;142
"110040 Alto Paraíso";-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;2;1;-;-;1;-;-;1;-;1;-;-;-;1;1;1;1;1;1;4;1;1;1;2;2;-;1;1;-;1;-;-;2;1;-;2;1;1;5;-;-;-;-;-;1;1;-;2;1;3;1;2;3;2;-;2;3;1;-;1;3;3;3;4;-;2;2;3;2;-;3;1;3;1;1;2;1;1;1;4;2;1;4;2;1;2;4;2;4;4;4;1;4;3;1;1;1;4;3;2;2;4;3;4;3;7;-;2;1;4;1;1;5;2;-;2;1;3;3;3;2;-;2;2;3;2;2;1;1;1;1;1;3;3;1;-;3;4;5;2;6;3;1;3;2;2;-;261
"110034 Alvorada D'Oeste";-;-;-;-;-;-;3;1;1;1;1;-;-;3;1;-;1;2;1;1;-;-;-;-;-;-;-;-;-;1;2;3;2;3;2;2;3;2;2;1;-;-;1;2;3;-;2;-;5;1;-;-;2;1;1;-;4;2;1;2;-;3;-;1;3;-;2;3;-;5;3;-;-;-;1;1;-;-;1;1;-;5;3;-;2;1;-;1;2;1;2;1;3;3;3;1;1;4;3;-;1;2;7;3;3;2;2;3;2;2;2;2;2;1;3;1;3;-;2;-;1;2;3;5;1;2;2;-;1;1;4;-;2;4;4;3;2;2;3;2;1;4;3;-;2;-;-;1;2;4;1;1;3;2;3;4;1;2;-;3;-;-;250
"110002 Ariquemes";-;-;1;2;11;4;7;8;10;5;5;2;5;3;3;11;7;3;8;10;3;8;5;6;6;16;11;6;4;7;15;10;16;15;10;16;19;12;16;9;11;13;9;11;8;4;14;9;11;7;10;10;17;13;13;11;8;12;7;10;17;14;5;20;18;14;10;15;14;17;12;12;7;9;16;12;22;13;13;28;19;18;11;19;10;15;28;20;16;23;18;16;26;21;16;21;21;20;13;17;16;17;16;24;19;26;21;20;19;20;16;15;22;18;18;27;17;14;16;21;11;20;10;12;16;21;18;26;19;12;12;20;16;13;19;15;9;19;16;8;15;16;12;16;18;23;18;13;15;12;14;6;21;11;18;31;29;16;29;31;10;3;2250
"110045 Buritis";-;-;-;-;1;-;1;2;3;-;-;-;-;-;1;-;-;2;1;3;1;1;1;5;4;1;4;1;1;1;1;3;-;-;2;1;1;-;3;2;2;1;1;2;2;5;1;4;1;5;1;2;2;7;1;2;1;4;3;1;3;-;1;4;2;3;2;7;3;4;-;2;5;5;2;5;9;5;1;4;2;6;1;3;2;4;4;4;4;6;4;2;4;-;6;1;2;3;6;7;5;5;7;5;6;5;8;9;5;8;3;2;6;3;7;5;5;3;3;2;3;3;3;3;6;1;8;1;3;4;3;4;4;4;2;4;4;2;2;9;4;4;4;4;5;6;1;5;2;5;6;7;6;6;3;9;5;7;5;8;3;1;514
"110003 Cabixi";-;-;1;-;-;-;1;-;1;-;-;-;-;1;-;2;-;1;-;-;-;1;1;1;3;-;1;-;-;1;1;-;1;2;1;1;2;1;-;1;-;2;1;1;1;3;1;-;4;1;-;-;1;-;-;-;-;1;-;-;-;-;5;1;1;1;-;1;2;-;-;-;1;-;1;-;4;-;2;1;2;-;2;-;-;3;-;-;1;1;-;3;-;2;1;-;-;-;1;2;2;-;2;-;-;2;-;-;1;2;-;-;1;-;3;-;-;-;1;1;1;-;-;1;1;1;2;1;2;2;-;2;1;2;-;-;1;3;3;3;1;-;1;2;-;3;-;1;-;2;-;1;1;3;2;3;2;-;2;2;2;-;148
"110060 Cacaulândia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;1;-;-;-;-;1;1;-;-;-;-;2;-;-;1;-;-;-;1;-;1;-;1;2;1;-;2;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;1;2;-;1;1;-;1;1;2;-;-;-;-;2;1;2;-;1;-;1;-;-;-;1;-;2;1;2;-;-;-;-;-;-;1;1;1;-;-;-;2;-;-;1;2;1;1;1;-;1;-;2;1;1;2;2;-;1;-;-;2;-;-;-;-;1;-;73
"110004 Cacoal";-;-;-;1;2;8;5;7;4;10;5;11;4;8;2;2;9;4;8;8;10;5;7;16;9;9;15;6;13;11;12;17;7;9;8;13;17;6;7;13;14;8;14;14;13;10;10;11;14;7;13;13;13;12;18;13;10;12;20;15;21;15;18;19;15;18;15;14;8;10;13;23;11;17;14;15;12;17;16;27;28;22;21;18;18;25;20;25;15;16;10;14;17;25;17;16;14;20;21;18;19;23;34;23;27;27;31;23;23;22;18;27;23;30;26;25;15;24;30;20;22;28;16;25;29;17;14;25;22;22;21;23;29;20;30;28;28;18;26;35;29;21;30;18;21;20;16;18;15;18;20;13;13;28;24;22;23;27;19;9;-;-;2632
"110070 Campo Novo de Rondônia";-;-;-;-;-;2;-;1;-;1;1;-;1;-;1;2;3;-;1;1;-;-;1;2;-;-;-;1;-;1;-;1;1;-;-;2;-;1;-;2;-;-;1;-;-;1;1;-;-;-;1;-;1;1;-;-;1;-;-;-;1;-;1;-;3;-;1;-;-;1;-;-;3;1;-;1;3;-;2;1;-;1;1;2;-;-;-;1;6;2;-;1;1;-;-;-;-;1;-;1;1;-;1;2;-;1;2;1;3;3;1;-;1;2;3;-;-;-;2;2;-;-;2;-;-;-;2;2;1;1;1;-;-;-;-;1;2;-;1;1;5;1;-;1;1;3;-;2;-;-;1;-;2;1;1;1;5;1;2;1;2;1;138
