 Morbidade Hospitalar do SUS - por local de residência - Rondônia
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Fev";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"110001 Alta Floresta D'Oeste";-;-;157,12;-;7589,98;28563,93;57113,60;78693,63;78372,91;70839,67;136623,29;78730,38;90406,93;74955,03;67715,22;83574,60;93732,14;81714,38;104369,02;83414,37;84331,21;93590,20;85373,40;98488,62;77481,75;100210,54;108486,06;90708,03;91669,48;71236,01;59681,72;80227,39;104327,94;94665,02;111670,89;115717,22;99732,71;94508,72;93211,99;107130,69;111539,18;116548,53;103802,21;74508,18;98355,25;72833,12;56768,10;112199,58;61542,18;90841,18;100583,05;130208,27;113191,65;58649,80;120639,09;67454,99;26772,92;76033,78;109552,05;91183,17;74320,12;87151,06;73541,79;84154,37;85572,83;73619,99;93987,53;86477,10;113793,16;83956,62;91480,62;110828,56;87764,09;87420,14;122693,98;86822,89;155333,67;92638,81;135790,00;109066,78;88848,43;86494,02;131964,15;123611,77;111967,76;119638,85;115776,25;146612,45;118995,39;133199,17;100696,97;138016,58;151641,83;150119,06;198468,10;172021,59;137966,58;162109,34;170790,58;142177,02;126800,24;115484,37;101694,12;107929,66;146138,39;112488,32;138883,36;127312,33;98665,78;86119,10;171332,53;75438,36;74669,85;128677,51;90906,77;73832,78;265575,66;138238,63;117948,60;148204,59;112490,05;152468,93;110419,01;108834,84;109623,83;108526,15;102914,94;132539,03;113637,42;112034,09;129001,98;109464,55;170974,27;108161,66;158313,81;125798,12;142312,09;162187,91;106014,26;141085,89;124964,70;121988,94;144844,57;167420,52;205329,89;138752,64;175707,41;153004,36;125147,78;95003,79;97833,97;118876,59;136762,50;72565,72;61162,40;52423,01;115102,74;170644,94;119685,08;105471,89;93956,21;82372,41;100708,76;50557,66;17303184,33
"110037 Alto Alegre dos Parecis";604,33;-;-;-;2569,13;5047,21;5776,41;10290,74;10709,22;13586,65;9771,95;8940,80;13320,25;18521,14;13101,47;13192,84;13580,75;16998,63;17373,82;16400,60;20964,17;26758,63;18632,11;61087,48;37020,53;26823,39;15598,61;23332,62;11737,28;16685,40;18574,96;23542,66;14212,29;22222,40;19576,65;36901,28;43433,74;38444,73;24208,88;30354,77;37268,02;41014,77;56148,50;35264,58;35360,28;38650,67;30353,75;24607,60;31480,11;30909,63;35340,77;34884,80;34199,35;35172,41;32184,44;29445,34;28086,97;36998,23;39701,23;27586,51;38472,47;33442,16;34836,94;20999,64;22907,57;11444,47;24445,87;18096,22;29234,77;21116,17;30355,43;24331,87;24392,35;41700,93;53495,21;21485,01;22607,48;25263,53;30924,90;31975,31;29824,89;20216,05;55552,77;50219,88;31853,81;46578,56;216094,13;26625,86;34651,63;38236,06;52053,20;48497,49;41447,54;47422,39;55166,36;45784,45;37982,30;30322,28;27467,03;43065,50;46569,83;40140,76;34488,34;28820,01;46661,41;36934,90;113727,88;43718,36;41388,08;35145,26;40274,91;43817,20;27924,71;34678,82;48440,69;45981,79;61732,21;56944,84;56462,49;31891,29;42825,41;44131,24;38362,75;53702,47;58400,86;31282,06;62296,12;30698,88;71041,29;59750,94;62145,03;49590,00;26623,01;26679,64;23766,73;37989,47;29591,35;25572,89;51095,60;38394,00;30391,16;35510,53;67757,40;44950,76;62765,68;48290,78;38454,44;71250,77;64748,83;38750,51;39206,64;48790,59;24040,90;18533,01;29544,86;33779,67;32423,78;56537,22;57333,19;24066,80;25515,58;29154,40;40466,71;16185,90;5713280,59
"110040 Alto Paraíso";-;-;-;347,62;969,28;666,61;8143,58;9292,41;9892,52;9380,09;11459,45;13407,94;18925,98;24020,76;14707,11;26454,34;16429,67;21910,40;21048,53;23110,31;39398,75;38751,06;17431,46;23839,61;21208,89;24548,08;22650,57;24179,89;16949,88;22272,96;23296,56;19241,52;40436,63;41358,40;27647,96;31243,27;60509,86;45207,32;36881,47;66799,79;48719,82;43367,25;99085,05;79144,79;110470,29;45129,75;46302,21;80262,68;36512,52;97628,35;41925,74;36749,36;58800,45;46286,49;42832,89;62403,74;59575,22;53194,63;56133,21;45287,77;25673,89;34205,96;20216,10;50554,24;48208,99;37092,13;21457,39;46020,16;55632,63;49735,20;41842,29;27864,20;67944,06;78158,88;64946,32;74578,72;95169,81;84747,28;58145,76;66189,59;44015,56;45345,00;92714,90;74786,22;57206,98;78600,21;57200,40;95215,28;40006,04;39812,12;41683,54;47940,81;36094,10;59778,38;76660,06;65534,28;75978,07;40833,98;93572,36;68967,99;51732,40;30461,62;58528,86;45557,73;113732,18;77275,07;54239,12;84688,75;88241,85;100764,50;116097,32;65897,32;72654,38;59629,23;69834,41;59178,19;57796,74;55023,23;96280,35;78723,59;126666,80;81280,51;123970,74;86808,36;79532,24;107042,79;98788,98;85826,86;74536,69;71123,03;69689,81;77843,17;49072,12;100081,49;76736,41;89455,32;84201,71;29355,76;59679,30;70277,44;62285,73;86239,87;50028,16;56333,47;40645,59;97474,08;54959,55;92161,46;136322,36;51905,11;98974,05;48359,75;51122,19;61767,49;87459,90;127510,34;110970,15;211759,48;91738,02;77120,48;79006,07;90224,00;41951,39;17289,07;9346076,75
"110034 Alvorada D'Oeste";-;-;-;-;2246,95;4927,79;124825,10;24816,32;12210,97;25310,58;20284,54;32704,62;35147,14;36487,94;18595,13;52512,81;44423,16;47278,07;46532,10;46859,06;65803,32;75192,23;60294,31;39368,19;42913,81;52937,55;27848,99;39470,82;50272,76;58822,34;51519,26;69495,97;62701,91;70242,68;36348,39;71454,54;41834,40;60798,44;52731,53;36860,59;53176,97;65240,22;128120,63;49580,44;51920,97;43448,78;38109,00;64478,38;39176,07;30237,59;70093,20;62478,94;46424,07;50831,13;33840,31;34630,02;39030,20;31003,07;34438,41;67633,21;38534,16;46856,31;31464,62;39417,88;32324,86;56079,49;41214,78;29618,88;45366,96;39022,63;52649,76;55295,01;41911,29;39131,65;30636,16;28759,36;29563,78;60866,94;58549,46;41510,40;40152,64;28986,96;22658,80;85177,39;136596,47;33576,89;68753,85;55305,23;47878,83;63397,42;24458,54;75242,97;46756,26;38801,61;59808,48;45453,42;58216,62;38438,83;82884,90;43886,85;45780,50;26223,77;67794,72;39397,92;84050,12;37266,43;44678,68;43848,88;68069,12;65429,10;50203,83;53947,33;45220,12;30185,82;38745,72;59989,00;58809,98;37243,70;58563,14;56476,23;47961,38;49801,78;48773,67;127165,05;78846,31;39062,75;43370,30;84287,29;79627,55;51306,34;58918,12;55270,44;43729,50;69260,00;44806,90;49454,74;53681,21;65610,47;34749,73;43389,94;50421,49;40885,39;62437,63;38256,96;115050,71;30707,29;71104,45;32302,04;40707,23;40238,71;37617,24;57853,99;32660,56;53343,63;47516,65;43491,04;43445,83;54200,09;28339,14;15919,02;62005,47;115209,99;24316,19;5916,88;7936118,46
"110002 Ariquemes";-;-;-;681,53;10715,14;15844,01;134826,72;123470,32;123592,02;175156,25;197528,31;156471,04;185757,41;150500,16;194724,76;188098,48;172051,17;164154,15;134448,08;210744,65;252896,49;244356,01;242432,05;185662,11;194648,12;190673,10;250039,50;206353,23;203533,16;155740,24;185469,62;194439,61;329905,68;277479,73;279715,95;332366,52;278355,79;330440,24;302392,61;285141,97;314296,45;240523,25;275754,86;264609,74;342488,94;287812,69;365677,98;271197,09;283215,50;369600,45;421779,95;279197,59;287868,08;277727,61;266719,06;235825,85;270861,32;297437,56;253245,07;277381,68;223811,63;280980,34;243622,30;260305,74;259843,85;249966,89;317503,68;424801,15;406569,61;368157,57;473352,07;443843,82;445780,53;378155,34;445811,89;338831,76;495030,75;344675,12;454918,23;431098,37;457709,26;456749,32;497473,92;471792,74;355373,62;453548,73;455891,19;541166,58;461586,19;375997,33;468272,75;440921,49;522783,69;544617,11;487054,10;720292,45;612572,58;486913,59;442644,27;438248,79;376920,23;527737,19;473904,05;440818,19;428740,60;482868,09;648298,69;732472,83;755231,06;619356,25;448872,56;671785,07;531299,19;493441,18;518799,02;612946,75;761159,30;602423,68;529282,84;575900,45;538041,42;694875,10;418736,23;554538,42;534699,17;684189,47;485021,09;487437,14;584194,40;625536,05;618351,85;558255,60;528605,36;510448,38;519004,12;535466,03;490505,64;499088,26;531710,20;538348,74;592587,57;529016,10;696579,71;483789,16;560712,23;608761,88;537256,53;619581,96;583807,95;728987,64;529146,31;553887,81;515117,13;409455,41;637459,27;678318,00;851269,82;783976,56;819523,72;640679,12;888733,42;802795,76;310208,29;86853,26;66740511,49
"110045 Buritis";-;-;668,31;578,97;1297,23;4156,49;7397,63;10251,29;9666,57;10446,71;20529,66;15170,57;36850,40;23314,08;14549,44;21615,14;18882,12;10155,08;26731,42;15879,62;17846,30;16594,97;65345,02;31882,83;21960,00;37971,74;32136,67;30783,09;29604,86;19129,85;17438,21;43541,35;29296,90;50893,55;18661,60;38978,63;36639,28;46029,45;37332,32;25786,58;41622,98;29164,90;60699,92;32744,30;28718,04;36150,40;41745,28;72615,99;78201,29;25258,98;98194,18;35287,80;29264,18;28404,34;32193,19;41051,16;39252,78;38623,17;26357,21;24649,17;28857,04;102019,07;39507,56;42232,62;34859,84;42112,45;41818,02;72439,86;51810,64;147527,69;99105,51;103372,32;68194,71;113024,74;122835,78;102915,80;126855,94;109300,69;142643,35;73788,38;101249,46;122683,89;118112,10;133937,03;102664,25;145780,78;105681,39;167612,04;132670,54;131720,63;112327,79;70942,53;143521,43;96320,81;72735,79;88779,96;119022,59;120700,21;76089,98;228070,55;104768,43;168393,48;88438,86;86759,07;105744,06;103319,66;184917,80;187012,65;131980,60;225934,67;123038,73;134546,25;82023,15;131312,45;93209,58;117393,29;194580,11;114663,43;155841,84;96264,71;105594,78;115049,13;153281,63;173145,97;217463,22;233940,71;230994,61;83372,16;100603,59;125550,38;191432,23;135500,36;210316,52;100864,44;109257,07;199476,23;111533,39;115959,13;87293,66;63512,22;131043,13;135767,92;151435,08;211493,73;140535,57;101676,67;79966,62;113803,45;127015,30;148792,89;136840,48;105113,84;150322,14;130916,02;147592,10;190412,00;162943,52;201145,93;176280,65;155344,83;120996,62;130883,54;93806,95;27906,04;14558358,22
"110003 Cabixi";-;-;-;-;6547,49;2171,45;6252,86;8898,63;7701,75;1781,91;6938,20;21984,17;14958,71;6434,62;6749,47;12458,84;4271,45;8996,01;11840,69;13597,21;22875,68;11425,02;11795,30;20038,66;10887,33;17868,42;14718,07;17362,42;14519,93;10874,95;18298,22;17097,38;30563,31;12901,06;21745,86;30580,50;18885,92;34395,28;21588,83;15133,22;17095,93;20484,16;26984,06;13426,63;13167,51;22191,62;22966,97;36647,95;19094,03;17405,67;27638,61;40229,75;15796,54;12122,23;9271,05;19241,71;17157,06;29297,72;15331,01;21788,18;20979,53;13358,04;22478,44;28032,74;31157,06;19848,74;20215,45;19581,59;24623,00;14039,99;13226,49;17115,54;33085,22;11439,42;98711,03;14276,14;25759,98;30654,99;34329,98;16862,19;24932,95;26953,93;22168,63;31774,56;40783,27;16887,64;23287,00;34924,39;30352,32;27445,98;17702,57;23915,58;43028,88;45903,48;34840,47;42791,47;20216,63;27569,54;23892,30;33443,36;19861,34;21022,96;45168,36;26059,17;29664,36;23127,22;10509,60;36802,71;13105,48;34020,29;44916,14;43983,04;23160,12;58118,41;81753,72;15868,57;31706,68;16642,76;14914,94;19658,53;81653,50;14230,57;30257,77;19502,94;14922,28;55557,41;32421,60;14309,18;31273,25;20642,31;27145,10;35551,50;28553,24;25571,15;47243,11;14476,05;16545,81;32681,69;21629,72;40710,50;52749,61;33550,79;63047,54;21369,26;52478,60;11394,60;24738,39;24372,09;33335,59;20709,62;27698,19;21207,24;22223,07;16953,03;25563,19;56841,42;16345,97;21038,94;11225,32;14766,63;27338,79;47990,47;50702,07;8642,73;3956293,95
"110060 Cacaulândia";-;-;-;545,15;404,91;177,20;5080,89;3860,04;6055,68;7641,64;5585,58;5206,80;8950,44;8699,43;6171,58;3969,74;6890,23;11020,82;20576,48;20791,68;20199,72;11936,15;10667,65;13082,18;19542,96;11554,91;18234,40;14333,62;9097,73;12117,70;18127,19;11617,98;19047,18;19963,36;15090,98;16049,20;11024,91;70649,54;17065,55;22241,41;24317,36;36067,21;21383,23;19076,24;15381,42;12628,49;15043,02;17028,67;16764,40;14792,99;18121,05;6882,65;11506,97;10815,26;20897,92;15769,16;12268,16;12802,38;11086,08;14866,79;8108,26;9429,11;17084,39;13502,39;16436,57;130138,16;32715,05;19002,26;14073,86;13697,80;11178,45;12974,07;10242,33;9884,05;7421,82;15655,35;9981,17;9910,89;9250,84;14394,44;7488,04;19297,34;23102,94;17713,73;8667,94;14501,93;6246,58;9572,86;9823,05;17632,49;44988,07;30921,31;32459,18;23389,19;23539,47;30461,47;12904,36;31342,79;16249,92;14185,30;26668,25;36660,43;33550,80;6219,96;18426,92;40106,05;29325,22;14318,36;17251,35;14914,29;27402,76;25664,61;19890,57;28362,07;22473,23;9816,28;21694,47;7328,32;6424,22;6458,50;25925,29;9043,65;39998,27;28149,69;106333,57;6168,33;13416,28;12561,94;7216,18;10024,07;18028,96;123412,69;48276,31;19175,85;18068,19;10768,19;3801,43;22126,82;13057,89;5341,76;20712,12;16951,17;26187,57;19538,46;25105,22;22885,65;8589,17;44915,95;58481,89;42866,74;47010,12;19677,80;11200,69;9820,27;23341,01;17045,20;17340,82;21475,88;24463,41;6524,25;33205,64;2968,50;367,44;6433,06;3071301,33
"110004 Cacoal";-;-;393,99;477,79;16879,61;18168,11;156354,69;135572,31;171607,97;168880,55;189740,78;193783,84;175712,49;147979,20;203208,82;257086,70;186806,31;147078,83;170909,11;161892,42;223177,65;210135,95;190527,08;243730,67;177577,15;222537,08;254528,16;242789,54;192912,47;167015,82;180016,97;198866,08;232046,31;250853,23;190547,71;185686,95;198131,94;260149,59;232946,18;216079,25;229630,70;216585,17;178544,55;208874,12;223991,36;264605,63;216951,28;231063,85;219213,11;235692,22;223059,08;267721,45;257824,88;163321,23;181309,72;251232,69;247534,44;286681,13;284859,54;279208,71;238836,73;287313,07;265969,82;284938,07;228792,49;313187,37;196565,64;250739,47;293782,89;299544,84;273086,08;299343,42;265120,63;497962,37;349738,01;492196,24;366109,05;353954,95;520077,70;456619,02;437692,72;556532,46;493540,71;375008,09;447142,96;363467,00;367699,27;482174,12;433306,02;347886,51;390915,31;274071,41;308808,16;408102,43;342364,31;349581,97;334023,61;364743,55;327365,90;465405,30;438077,95;318137,35;384838,37;320837,77;315985,52;478377,25;456297,37;390825,76;438370,25;471611,61;357267,63;323111,51;275165,56;345465,14;281696,33;407713,22;384341,77;350385,27;403440,29;424003,45;408956,20;423386,32;486497,29;508164,53;363946,32;468335,63;315756,32;434494,10;495001,34;493357,76;610637,25;469646,55;502413,90;516551,61;448944,66;487901,73;658412,46;691875,40;593258,10;436278,42;459427,05;631992,59;564510,18;569862,59;495178,14;473290,07;606664,00;439610,98;329914,23;379743,82;424932,86;369289,81;298903,08;324776,77;325987,85;440325,79;329306,08;439396,02;473408,72;426643,45;322618,85;286538,12;145479,18;83878,04;52865847,36
"110070 Campo Novo de Rondônia";-;-;-;-;1711,12;1195,70;19058,00;20436,45;5035,36;5466,24;11898,42;10288,82;25738,38;19741,56;20950,04;20091,46;21537,74;21746,86;43745,37;54062,22;50204,94;34487,43;82028,41;21754,97;22549,05;46342,54;37562,53;36760,62;29909,79;48076,63;33730,70;19360,73;68954,34;49102,02;35984,27;17268,42;31997,61;62601,46;37558,85;39283,83;44643,95;37300,21;32254,03;33919,99;53295,72;47104,73;74015,82;30070,10;33656,72;48228,94;48661,42;37678,15;25755,98;38062,42;37051,48;19979,78;19626,09;20518,30;25275,79;25893,82;29981,82;32799,06;34492,87;30434,65;35634,46;45528,26;56166,33;31012,62;128662,86;33370,19;59737,43;32272,55;58963,74;36696,61;50192,48;46162,73;58837,66;41379,05;65838,07;40561,03;145518,23;38516,49;68901,42;41866,87;47738,29;26066,76;45178,27;46530,46;43423,70;49421,58;201665,78;30228,62;48718,95;37960,72;38290,68;22588,63;28220,07;36751,23;36972,91;66565,35;50312,75;58551,55;37458,51;60626,21;54534,83;81303,29;69016,95;64276,75;47855,66;70578,66;50865,56;53231,64;68362,62;23730,35;21361,14;42247,75;24134,03;37697,59;20743,90;45080,42;36433,88;62200,63;60486,45;62552,27;64741,96;31631,16;62273,06;74404,24;36788,59;25509,48;37572,58;55567,64;37748,14;53149,25;56823,69;27902,64;21582,69;24054,99;43050,55;39631,06;41130,18;21466,86;37482,24;43968,12;96390,13;23711,25;38105,45;28523,47;40662,40;35120,91;29475,50;68541,68;13647,85;9072,65;22305,54;53039,13;40954,93;46206,80;76670,36;34842,25;61474,55;19407,87;30939,29;20909,50;6721189,82
