 Morbidade Hospitalar do SUS - por local de residência - Roraima
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"140005 Alto Alegre";-;-;1;-;-;1;-;1;1;-;1;1;-;-;-;1;-;-;2;1;-;3;1;1;1;1;1;1;5;1;1;1;2;3;3;1;4;2;2;1;1;2;2;1;3;1;2;1;2;-;1;-;4;2;3;2;1;3;-;2;3;2;1;1;-;1;4;1;2;2;1;3;2;1;1;-;2;2;1;-;3;1;2;-;1;1;1;1;-;2;2;3;-;-;1;2;1;2;-;1;1;-;-;2;1;1;-;2;2;4;4;2;-;4;2;3;4;2;2;1;2;1;-;4;2;3;2;-;1;4;4;1;3;3;2;1;3;3;2;3;5;6;5;2;1;2;3;3;4;2;4;3;8;4;3;2;1;4;2;2;5;284
"140002 Amajari";-;-;-;-;1;1;-;-;1;1;-;1;-;2;-;-;-;-;1;-;-;1;-;3;1;2;1;3;2;1;-;1;1;-;-;2;2;-;-;-;1;1;1;1;-;-;2;1;1;-;1;-;2;1;-;1;1;-;-;-;-;-;1;2;-;2;1;3;1;1;3;-;1;-;1;1;2;2;2;1;-;-;-;-;-;1;-;-;-;4;4;1;-;1;1;1;1;3;1;3;1;-;-;-;2;-;2;1;-;-;3;4;-;3;-;1;2;2;-;1;4;3;3;2;2;2;3;1;5;1;-;-;2;1;3;1;5;-;1;2;2;4;1;1;-;1;1;2;3;1;5;4;9;2;-;2;3;2;1;2;4;200
"140010 Boa Vista";1;4;14;24;13;23;24;20;30;36;31;25;30;29;38;25;29;21;45;39;36;33;47;47;46;42;32;39;38;50;34;43;41;50;41;52;62;54;36;52;34;52;46;31;48;53;39;40;49;48;37;33;42;33;45;55;48;50;44;57;42;44;32;36;38;39;34;42;44;40;51;42;25;42;39;32;34;31;45;45;55;51;37;54;42;56;59;50;46;41;63;49;71;49;53;49;51;42;55;46;73;57;61;65;74;78;67;64;60;57;65;72;57;76;71;84;96;80;81;81;73;67;65;97;67;62;95;81;111;93;94;103;91;84;70;93;78;73;80;105;88;114;112;105;95;104;92;105;75;90;59;201;228;120;76;72;84;99;108;210;146;9540
"140015 Bonfim";-;-;-;1;-;-;-;-;-;-;3;2;1;1;1;1;2;-;1;2;-;-;1;2;2;1;2;2;2;2;4;1;2;4;1;-;2;1;3;1;-;1;-;1;-;2;-;1;-;1;-;-;-;-;-;1;3;1;1;-;1;1;1;2;2;2;3;-;3;2;1;-;1;1;3;1;-;1;-;3;2;1;3;1;1;5;1;2;1;3;-;1;-;-;-;-;2;-;2;4;1;1;-;-;-;3;1;4;1;5;2;2;1;1;3;3;2;2;-;3;4;-;3;-;1;4;2;2;2;-;4;2;4;1;-;1;-;1;1;2;3;3;-;2;1;3;3;2;2;1;3;3;1;2;2;-;2;4;2;3;5;233
"140017 Cantá";-;-;-;-;-;-;1;-;1;-;2;2;-;-;2;-;-;-;1;1;1;1;1;1;3;1;-;2;-;1;1;2;1;1;3;6;3;1;2;1;1;1;-;-;-;2;2;4;2;-;-;3;1;-;1;2;2;6;1;2;1;1;1;4;1;1;1;-;2;-;1;-;1;1;1;2;-;4;2;5;1;3;1;1;-;1;-;-;3;3;2;2;1;2;1;4;2;1;4;2;1;2;1;1;2;3;-;1;1;3;-;1;3;3;3;5;2;6;4;1;3;1;4;2;2;1;-;2;3;5;1;-;4;2;4;3;3;-;-;4;1;3;2;3;-;4;1;-;1;3;3;3;10;5;2;3;-;4;2;4;9;285
"140020 Caracaraí";-;-;1;-;1;-;-;1;2;-;-;3;1;-;1;1;-;1;1;1;-;-;1;1;2;1;3;1;1;-;3;1;4;3;1;2;1;1;1;1;3;2;2;2;-;-;5;1;2;3;1;-;2;3;-;2;1;1;-;1;-;2;2;1;1;-;4;1;1;3;-;-;-;-;-;1;1;1;2;-;1;-;1;1;3;1;1;1;2;1;1;3;3;-;2;-;-;2;-;3;3;2;2;3;-;4;3;3;2;2;2;2;1;-;1;3;4;5;3;4;4;-;3;5;1;3;-;1;1;6;4;3;6;1;1;1;4;-;1;1;4;5;-;1;2;1;3;1;1;6;2;1;16;6;2;3;2;2;3;14;3;292
"140023 Caroebe";-;-;-;-;-;-;-;1;-;-;-;2;3;-;1;-;-;-;-;-;-;-;1;-;1;-;1;2;1;2;-;2;1;-;-;-;2;-;-;1;1;3;1;1;1;-;3;3;1;1;-;-;2;-;1;-;1;1;1;1;-;-;-;1;2;1;1;1;-;2;1;1;-;-;-;-;1;-;-;1;-;-;2;1;1;-;2;2;-;-;-;2;3;1;-;-;1;1;-;1;-;2;-;1;-;1;-;-;-;1;-;1;1;-;1;2;-;2;1;-;1;1;2;2;-;1;1;1;2;3;2;-;1;1;-;1;1;1;1;2;1;-;-;2;-;1;-;1;-;-;-;3;2;1;1;3;-;1;2;1;-;128
"140028 Iracema";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;2;1;2;-;-;1;1;1;1;-;-;2;-;3;1;1;1;2;-;1;-;1;1;3;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2;-;-;2;1;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;2;-;-;-;-;-;-;1;-;1;1;1;-;-;1;2;1;-;-;-;-;-;-;-;-;-;2;-;1;1;-;1;-;-;1;-;2;1;2;2;-;1;3;-;-;2;3;-;3;2;2;3;1;1;2;1;-;-;-;1;2;4;2;1;-;1;1;1;1;-;105
"140030 Mucajaí";-;1;-;-;1;-;-;1;-;-;-;2;-;-;-;4;1;3;-;1;1;-;2;3;1;4;1;1;-;1;3;-;3;4;-;1;1;2;2;1;2;1;2;1;3;2;3;1;2;1;2;2;4;-;3;-;1;-;1;2;1;-;-;3;2;5;1;1;3;-;2;1;1;1;2;4;1;1;1;2;-;1;3;3;1;4;-;2;4;2;2;2;1;-;1;2;1;1;1;1;2;2;5;2;4;2;2;3;2;1;-;1;-;2;2;1;1;5;-;5;3;-;5;2;3;3;3;1;3;3;4;3;4;4;-;6;2;7;1;4;2;7;3;6;3;6;-;2;-;4;2;4;8;3;2;5;2;3;4;3;5;319
"140040 Normandia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;4;-;-;3;2;-;1;1;1;-;1;2;-;1;-;-;1;1;-;-;3;1;-;-;-;2;-;2;-;1;2;2;1;-;-;-;1;1;1;-;1;-;1;-;1;1;2;-;-;1;1;-;1;2;-;1;2;2;2;1;-;1;1;2;-;-;1;1;-;-;1;-;1;1;3;-;-;-;-;-;2;2;3;2;-;1;-;1;1;4;-;2;2;1;1;1;3;-;-;1;2;3;-;1;3;3;2;1;3;2;1;3;2;-;1;6;2;-;1;3;-;-;-;2;2;1;1;1;2;5;4;1;-;-;2;2;1;2;161
