 Morbidade Hospitalar do SUS - por local de residência - Roraima
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jun";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"140005 Alto Alegre";-;-;-;191,07;10012,76;12826,27;33148,67;23353,08;27384,59;30200,67;39343,49;37809,47;43722,83;39924,82;46433,10;44113,81;32129,95;44692,37;31634,75;38341,11;47795,77;41036,43;54147,23;45942,05;62563,38;81420,29;86785,57;49861,32;47956,76;62141,24;69882,19;67542,49;45157,76;66952,41;55615,01;53449,23;67536,88;57631,81;46450,00;58038,32;58766,61;42574,45;36624,78;39142,91;57569,34;31614,29;58134,39;46249,40;55295,55;58602,04;74664,75;55788,77;62759,59;70793,02;36064,65;57078,84;95780,72;77697,62;64734,26;72742,27;93431,84;74176,67;73345,52;45927,72;66497,73;25415,54;54329,92;38096,46;56940,46;43682,89;46049,05;54865,69;112977,84;55127,22;170124,31;70171,36;78206,45;87024,26;44251,70;38233,84;84869,10;64577,34;65488,79;77390,27;116910,87;66642,88;72799,61;49805,31;52829,73;45597,07;42045,38;42976,23;46126,71;42218,84;74617,73;62662,86;93328,30;78700,66;57515,99;48884,31;80427,47;43139,81;70097,13;48486,88;65048,90;45311,80;66571,33;92460,72;68420,49;126422,87;104920,25;62254,23;111687,17;66621,16;95899,29;90429,45;85364,32;101707,88;83167,59;71953,45;78263,82;81545,01;75920,07;80011,17;72250,18;55730,18;59628,95;49116,05;84595,33;69393,84;61823,41;64454,70;68474,29;80422,27;84075,87;84142,28;64415,21;54042,47;70415,23;55228,30;91636,47;66513,74;89118,44;69864,57;65596,41;113971,08;77435,55;91235,75;97167,25;77124,01;88708,95;91111,57;70409,47;53966,81;37408,47;78993,37;72728,32;81762,52;49896,40;52897,31;85323,75;63906,34;74094,36;32680,39;10218603,77
"140002 Amajari";-;266,02;-;736,05;4319,65;5131,33;13885,04;5869,43;10674,12;7090,69;18751,01;14157,07;16267,53;13210,87;11042,78;17166,33;56238,45;16276,88;18006,54;18379,27;11123,36;16425,95;5556,52;12006,24;17797,77;17754,53;39909,46;24196,86;24016,71;20156,24;29411,71;20879,50;20558,91;64253,01;17563,35;17449,08;17328,12;26315,48;18211,39;34911,51;16479,11;44718,64;21202,95;19311,44;27390,66;24023,16;26170,41;29111,57;23728,88;32233,72;20025,23;32730,31;28007,32;29800,84;22982,56;35050,36;49504,83;19144,29;21149,58;26535,42;32929,97;25813,85;20974,85;14225,54;16706,15;30210,46;37044,59;12391,93;38961,32;30634,09;45076,76;22802,37;23874,57;43964,90;14724,46;48213,69;33604,62;23062,27;25505,98;27040,66;38581,40;44047,24;25323,37;27723,71;37205,87;48074,66;24086,20;51195,36;24481,12;28598,45;30943,20;15482,48;55329,62;44707,54;32873,11;16074,90;28719,70;31177,78;50167,62;30244,56;41765,70;23043,79;41736,22;28306,17;37596,39;29407,78;42003,11;39318,17;31836,81;38179,47;49306,67;32191,17;27012,24;29177,57;38019,09;60292,20;59226,78;40130,33;42513,68;45093,10;52599,21;50839,24;30224,82;36292,90;35401,13;50046,47;52938,68;41467,88;57967,41;42255,58;44598,85;60154,25;46440,04;68652,76;76280,49;56875,59;35258,75;53928,44;44384,15;58000,91;40654,98;54629,94;58752,02;54114,93;45963,08;29688,16;48356,87;37489,09;52215,25;36983,56;43992,18;35766,99;48015,66;55581,83;57579,99;59458,33;31109,11;39668,30;39433,18;39631,33;55884,18;29397,75;63975,31;26429,22;5360932,19
"140010 Boa Vista";413,69;4247,11;3544,95;29171,82;289150,77;364039,58;595524,70;573689,31;667799,30;689052,68;840249,26;724273,77;782353,90;837767,34;738330,61;777630,67;951554,11;959652,95;872469,56;880218,09;1132437,81;1158772,79;966715,38;993150,68;1053737,02;1096106,40;1228404,25;1112461,25;1220840,14;1077152,81;1111883,61;1016426,07;1264852,16;1258449,78;1319842,00;1367920,46;1414308,43;1457448,98;1386602,02;1241618,39;1155915,62;1091292,26;1240530,64;923068,66;935795,56;1072289,66;1236814,79;1408335,27;1275444,79;1207489,74;1330526,28;1379774,12;1207063,39;1169903,54;1342898,66;1263061,47;1294312,29;1330655,14;1453554,28;1462365,60;1202860,68;1410205,75;1344578,93;1108813,23;1193317,62;1219699,21;1220238,05;1146688,62;1359365,15;1199303,92;1260235,69;1445890,97;1460217,81;1397091,52;1557187,08;1316579,72;1301918,67;1226969,18;1283928,75;1218686,65;1473408,86;1566511,29;1524442,06;1367039,99;1370330,28;1517446,78;1557739,74;1449936,55;1458538,11;1448122,21;1598562,42;1330240,31;1406395,50;1617789,31;1552716,94;1841573,49;1883089,87;1909246,29;1904984,31;1677728,37;1681932,96;1549280,64;1839730,17;1672111,21;1960387,53;1903636,49;1868378,72;1875639,78;1984367,82;1943545,35;1792076,68;1877259,11;1747728,90;1983072,28;1973106,51;1723059,03;2145846,26;1916451,38;2186941,28;2333069,54;2109540,18;2332809,88;2162411,25;2070302,78;2243984,95;2136056,32;2205313,80;2086462,27;2221303,31;2264678,19;2356235,97;2439019,74;2340220,79;2712139,06;2301469,54;2392317,91;1962583,15;1840129,88;2085042,84;2077523,78;2453453,94;2382844,05;2414623,68;2140190,86;2358180,29;2541644,23;2744828,67;2476729,86;2555219,60;2369523,42;2659461,44;2469065,30;2386636,24;1796485,32;2400095,95;2650062,00;2440981,62;2456081,54;2448011,95;2724671,93;2964586,58;2298132,12;2431958,58;1287926,14;257719538,78
"140015 Bonfim";-;-;-;772,22;7381,47;7290,80;17278,19;13791,79;19749,05;14239,29;20096,90;20668,04;20012,39;31104,53;17262,78;26710,56;24970,92;22064,44;44712,74;21311,49;29786,45;23426,62;54680,47;24818,55;24358,97;31453,92;68160,53;43564,39;45731,37;62368,70;35680,32;25476,98;32615,46;39922,69;83019,67;48541,23;30833,84;36910,80;52102,19;21929,33;31963,45;26853,08;28089,59;14031,99;18810,73;22386,53;28968,17;31510,35;31182,02;22902,40;39683,04;31780,28;30456,82;24677,48;21239,03;25300,05;34270,50;37374,38;39889,54;27721,22;20158,56;45891,27;28545,76;17477,52;20422,82;60148,36;65883,15;41838,59;37496,45;35169,81;32492,51;51941,58;40441,99;37368,54;54819,95;57884,74;64014,55;66130,23;32810,93;27726,29;38897,60;24729,61;30283,88;25195,70;34285,08;58818,56;31115,28;36161,86;103227,76;31576,39;57270,06;22477,97;33822,26;23959,46;51944,26;27317,19;40672,45;49569,30;46353,84;40091,78;36858,21;56441,64;38219,52;48722,87;48351,46;31686,00;55936,05;68399,18;48125,34;66991,32;80627,44;61318,94;45499,86;56075,72;81000,14;45346,18;61297,35;39911,84;43526,72;76733,10;47666,50;47214,07;64202,35;91368,90;62564,04;51292,55;56326,88;73501,04;71836,30;57036,56;37168,58;62831,66;50427,21;90208,46;68219,76;59908,45;52185,90;42321,30;82552,66;70132,33;57208,16;69183,52;75583,95;56985,62;52814,72;58219,36;70828,95;96938,84;76765,79;60294,33;60427,92;58180,04;61213,43;42803,03;73887,95;39030,46;60279,12;60968,16;61289,68;87675,56;91677,06;55613,49;46936,10;53528,25;7218692,49
"140017 Cantá";-;97,67;-;232,22;7924,47;12406,82;17363,59;22249,62;13915,71;17432,23;18328,45;16261,35;25985,85;33273,42;25378,34;18758,03;18370,43;25997,52;24220,29;19137,31;28728,49;51452,78;30543,79;32866,44;36278,24;33516,50;49178,92;40757,47;37152,09;36612,55;50869,54;35773,80;32144,34;35610,44;34425,73;41754,99;42629,20;60749,12;60734,09;44503,12;45363,03;38305,28;70133,62;23224,47;37501,27;50786,57;30533,52;33055,48;50468,32;38129,79;83457,60;49712,97;44388,83;49569,57;33977,31;39548,37;50777,61;53322,14;44289,08;51737,08;67404,24;36092,26;46807,82;30593,87;38473,73;26930,71;35241,10;41554,83;33142,30;51324,40;43785,57;39451,95;42525,52;66503,95;43564,32;46696,30;37582,91;37577,09;38810,03;43946,30;54085,49;58061,42;71529,28;62657,74;67832,92;34939,27;62421,47;53152,27;59828,25;34692,70;40912,41;63732,98;60186,03;57848,34;45888,39;50330,49;44526,42;54264,27;54951,18;53827,82;56647,86;45542,41;54628,33;36455,77;103546,13;32043,49;53103,59;51726,76;46386,42;68467,10;43444,91;52745,32;38260,19;30090,48;44515,23;47837,08;62695,77;58601,01;78553,68;56191,77;67290,06;58516,04;74606,71;69891,00;73738,22;76077,42;84014,28;157713,30;73320,84;57021,40;63384,60;72797,67;69990,35;56330,39;52007,95;182466,91;51477,91;54810,02;64187,68;50736,00;43339,32;62970,25;48238,90;37958,27;60091,14;64897,47;53567,76;54365,60;58942,98;93044,57;59464,34;64943,32;74747,26;69441,16;74276,70;54980,47;117217,20;104491,85;78943,01;54544,79;74178,80;67922,88;46479,53;46355,82;8122840,65
"140020 Caracaraí";-;-;-;-;4892,20;11529,72;24888,95;55789,64;30972,60;32476,25;30551,72;42761,32;33586,51;23242,15;41286,28;59449,39;30333,99;37335,80;26421,47;30600,04;38766,49;39772,99;30705,64;46368,30;31818,58;29495,74;48154,01;33200,87;33520,84;32207,47;38357,80;27606,95;88257,35;50156,69;79345,16;84539,93;54870,58;41505,25;36325,75;41958,53;38170,39;35447,36;34182,99;33000,28;40477,15;55816,08;31676,66;65458,49;38263,56;64658,87;39016,98;40636,56;44488,69;50980,37;36939,39;45151,75;83842,25;44808,12;55947,99;48640,83;77097,10;57836,03;88428,25;42422,11;59479,84;49024,40;52887,79;40602,22;38270,20;58921,83;61651,44;78404,77;65618,88;46285,35;53741,28;56782,14;26750,23;37375,42;43442,93;40531,29;55292,01;45046,16;43825,15;40189,02;66578,61;43589,26;60291,83;97540,06;57874,72;49478,75;80227,96;63170,35;58376,64;33278,14;51187,56;88348,73;64274,78;40138,02;126276,37;53061,48;42175,90;39993,34;76475,21;39961,09;47352,09;36978,85;35466,51;69628,41;53096,11;83575,77;58449,73;84113,42;50812,98;78286,75;47759,58;31247,39;54559,71;67647,97;61798,48;61436,05;58195,85;65062,59;77604,60;127058,23;95189,06;84029,42;203345,63;52780,44;64190,14;41048,19;49666,85;64092,56;92359,82;124950,41;62526,75;74173,83;46447,38;64042,82;43710,52;64026,36;61102,13;85569,84;71231,26;68093,80;53753,43;72837,25;57380,17;61216,78;76203,39;56767,37;60556,26;45750,15;56992,92;29505,46;64869,41;70212,23;87045,79;86986,32;52247,97;59418,74;120648,13;112750,96;80136,76;29676,37;8940526,49
"140023 Caroebe";-;-;-;980,07;2826,06;6011,56;20857,61;17669,98;16926,10;17634,02;14878,17;19253,06;19466,06;17095,40;16116,16;20664,62;12587,79;7536,64;8734,88;22791,12;33196,96;20167,80;26084,44;18922,24;20598,56;21123,55;18113,42;30172,29;31497,23;24693,79;33673,75;28342,89;30259,00;19444,82;55033,54;25737,56;21941,20;38881,24;22355,72;27522,67;21240,15;14145,24;28795,04;26513,04;44422,27;19196,01;20370,97;60777,72;32325,46;27221,21;29809,93;16042,35;12606,68;17045,56;11945,76;35728,09;9939,75;22837,98;40242,00;18668,21;20324,89;16301,34;10200,39;7644,48;25158,45;10501,29;17947,24;9690,08;44066,69;31723,84;21557,94;35658,99;20134,65;25095,15;28903,31;21086,75;19853,25;28290,34;34785,82;16445,48;22636,52;28055,64;26989,33;18538,46;24123,44;32604,36;57548,63;24722,27;26576,06;34917,41;22098,09;15578,67;16621,12;26323,79;26641,83;42154,74;31698,98;25481,51;13135,28;23292,31;20355,11;14267,17;15686,11;34022,25;20807,25;19453,67;11709,00;20153,96;11843,42;29393,89;26681,93;12003,25;18666,08;53833,42;27444,68;18687,00;15779,73;38141,61;64099,01;43229,69;37147,54;25090,76;24659,71;41310,93;25503,73;49480,70;51679,03;18160,10;35383,62;31242,73;21194,84;38911,13;77245,09;23256,18;25762,60;35285,85;17464,93;18288,18;26139,85;23087,28;37338,25;26842,70;22103,84;20829,31;18387,10;26970,80;38117,07;30928,53;30167,84;19142,49;47060,07;30058,50;34795,56;18202,16;31899,40;34946,54;25471,80;78148,17;84447,08;51918,23;39407,84;28581,11;33433,75;11624,64;4268149,99
"140028 Iracema";-;-;266,02;-;2662,54;3777,94;5868,22;7477,57;9164,28;6579,56;9654,37;7973,11;6482,25;5502,54;6075,61;6176,03;9076,76;6576,49;9261,91;8337,84;95859,06;13482,18;7523,83;13118,47;8633,88;14626,56;28608,85;18528,98;13689,08;9845,26;25129,18;8112,60;44204,03;31197,42;17680,63;14779,62;11237,92;29536,69;31114,23;14576,74;20366,87;23856,38;33517,44;8359,09;7166,91;19039,79;18531,48;28724,58;10832,94;33908,59;17904,41;16967,49;13289,26;13792,67;22493,40;8211,16;22213,52;17645,19;22737,53;9553,12;17882,08;14436,91;16880,66;9135,11;11473,38;12685,56;28087,44;29710,38;18335,47;35270,30;19898,70;21942,09;15199,52;10847,71;10376,01;16885,51;30838,45;27291,50;10193,76;9192,03;26227,89;22291,95;31360,90;16907,54;16286,06;17368,02;29402,82;24477,88;7603,01;52525,94;10470,53;9083,29;42559,14;12460,02;30794,85;14109,49;26958,86;12153,93;20416,59;15109,92;14020,68;20679,83;19921,32;27862,44;23356,84;104100,45;23372,50;12569,92;17270,31;26430,53;19369,69;34185,59;13750,75;13257,96;24468,66;22982,77;24650,63;15042,61;46990,13;35439,80;25861,62;19436,60;28130,42;13910,77;15975,15;17649,85;28979,93;19148,86;29122,74;28645,22;35728,69;44243,44;25419,50;37723,83;46902,89;31737,87;51657,47;19910,62;37139,55;18802,21;31220,97;30163,58;52532,40;24741,43;24708,93;42019,10;18581,98;29757,72;24237,77;39240,46;18126,97;26055,32;8831,72;11185,62;43042,93;27161,17;34437,78;35935,32;17708,03;32821,34;41846,71;19670,32;19040,87;9260,73;3514821,08
"140030 Mucajaí";-;-;-;-;11554,13;10584,38;26336,11;21457,89;23093,95;29417,82;28443,42;35113,42;30974,30;21545,01;34275,16;36898,93;27793,50;45629,99;30801,92;33606,93;42927,30;33247,58;32876,28;63833,31;42630,88;48380,52;45120,45;40004,93;51473,75;28191,52;47482,08;69009,73;39726,32;39795,10;43896,56;60923,14;59993,45;71348,35;118819,58;35938,00;34973,84;43610,75;29668,59;33897,16;46608,71;45497,81;38937,76;53740,75;71831,31;40140,99;56284,57;44247,60;53972,16;43847,16;33409,77;64493,64;56519,46;50820,08;68414,64;35556,29;52539,11;41046,68;56065,45;39572,43;47123,85;48012,35;64469,64;55334,01;77792,44;54570,83;43655,11;55632,94;36954,48;48838,91;32886,72;43815,32;48362,51;56672,61;46762,42;33409,71;34809,57;28951,93;47662,22;31132,67;51030,04;54001,86;45098,65;30440,86;51436,89;57746,11;27031,79;56462,71;73929,12;59094,00;106007,85;68126,99;90996,82;77496,06;42809,65;39996,37;46486,56;53700,32;42946,99;74139,20;54741,49;54931,39;45313,98;71809,35;53516,67;96683,21;86362,16;81827,35;85710,41;70712,69;73600,87;49169,40;57529,48;64539,38;111893,61;63607,32;79171,35;75916,28;75785,16;74879,90;76618,51;82121,22;69761,24;57676,19;74281,52;81895,38;63661,21;161624,15;76772,43;95110,61;77862,67;88953,88;200630,77;68932,41;78411,82;61062,58;89660,86;67328,87;54717,44;63383,50;141924,83;73825,67;77445,97;108680,90;103107,62;76245,09;68067,21;52477,82;50304,11;35715,31;61380,69;58223,68;86430,66;62909,87;60635,03;97018,71;72528,08;70357,01;63926,02;40865,65;9264910,12
"140040 Normandia";-;-;442,36;-;4646,97;7815,60;12899,71;8695,46;12483,17;12073,55;11034,05;14393,85;13780,34;16228,97;19082,04;16106,52;16152,76;18481,26;23407,89;13092,61;15392,63;13988,10;37304,00;39075,80;29328,59;35222,51;53712,56;49718,49;44863,90;72286,72;52832,30;29386,93;60848,07;57855,71;54812,20;39195,18;57507,45;38142,69;43086,09;51101,86;26225,00;37206,65;52998,47;20986,85;24483,59;23668,68;72686,89;47385,50;40212,10;35955,01;43936,79;57280,54;33486,01;24530,35;24940,14;22905,63;27907,12;17536,43;29527,75;32397,63;35038,55;43292,71;31791,71;35834,41;19758,43;18328,38;29634,19;24037,65;45636,52;22500,59;29403,15;53425,21;57350,08;23141,32;17229,76;32079,90;47333,97;31360,82;30261,40;33863,89;36954,83;23637,75;43732,17;28538,84;25133,93;30808,65;36625,53;36010,14;24017,34;42163,74;36486,46;31231,90;37159,23;26225,96;31247,87;36837,46;56095,96;63382,25;45806,84;32959,47;42690,10;33081,99;42680,09;45378,48;46911,70;21613,34;58166,54;44913,99;73799,71;56634,96;56932,47;26858,03;39758,81;43996,12;32938,09;51327,27;58630,63;67806,14;44166,39;35310,07;43342,92;59913,39;47052,61;42893,79;47284,45;48552,37;66161,24;30998,26;32528,34;78252,09;67566,53;50980,44;49457,17;54112,74;42713,75;69098,57;49474,81;44645,18;39993,99;51944,55;57878,00;56006,77;40174,84;35356,66;38962,47;67827,04;54388,30;44490,25;42757,62;55716,11;65846,05;73896,04;58706,76;36888,09;33452,44;50683,13;67014,95;49748,22;47582,13;49254,34;63447,59;56877,42;55874,88;20743,26;6343230,45
