 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2006/Dez";"2007/Fev";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"170025 Abreulândia";-;-;-;-;-;-;597,89;2608,17;4213,25;15505,45;3369,15;4950,51;6236,51;8334,21;2929,04;3714,46;11916,89;4109,08;5481,56;1133,14;2712,48;2986,76;2866,88;5887,36;4727,27;3638,95;4262,10;5089,45;7346,43;5605,91;3800,46;6261,91;6903,72;9385,49;2204,11;7962,53;2483,40;4125,21;4841,15;13434,73;9667,66;3966,01;7916,91;26310,45;7347,79;6908,32;1552,54;13460,45;6059,61;7525,81;6196,56;10706,92;7170,09;13742,80;7580,29;9357,39;5992,19;10864,78;22091,86;3374,77;17102,54;14209,16;18505,67;17662,64;20789,26;6384,88;3037,67;6615,10;12540,54;6589,04;9417,54;5963,42;7522,17;14439,90;11226,76;4073,26;4019,52;5581,48;8673,44;4831,83;5286,76;11834,76;9011,72;7070,98;28673,41;12471,79;20455,73;10976,87;10625,50;5920,44;47277,19;9221,08;12893,42;8107,98;70068,13;7022,82;7395,72;14667,99;5625,91;10175,54;20077,99;9546,44;2541,41;24205,91;11549,90;228,00;1959,49;3789,98;4380,02;4244,71;5534,21;7191,00;4228,10;4694,95;5426,92;30839,70;4025,38;16308,04;3174,79;7743,96;2591,51;13758,48;22282,83;7584,01;5597,92;2910,03;6960,55;8778,28;3982,91;5258,98;881,55;2208,58;4859,95;728,44;8755,20;6166,73;3222,40;7194,66;7893,76;7267,33;4355,08;2826,65;4182,12;26493,42;10669,19;8222,97;10983,35;12394,68;6058,77;8364,05;7814,99;11269,66;8455,59;28440,33;18610,68;9458,48;7809,17;27503,13;21454,00;21883,12;18668,19;1522,63;3552,32;-;1533,06;-;-;1466489,00
"170030 Aguiarnópolis";-;-;-;-;-;-;1014,21;2623,88;3467,37;11601,17;22452,76;21275,89;13251,96;12457,30;5933,06;12143,70;11110,23;15030,32;17298,58;8964,26;26037,53;30547,86;11204,60;17597,55;17209,10;21931,41;19122,00;18144,92;14422,62;14820,09;49276,15;18947,76;35152,37;76413,83;11632,05;14415,65;36725,37;13853,53;32144,92;6420,14;25855,81;24439,99;17022,50;8355,68;20802,28;24848,89;18056,76;29848,13;27013,45;34454,87;31170,98;18646,04;16525,03;12544,56;13651,79;14495,48;21620,12;16576,57;13465,80;27867,64;16110,79;21263,28;33636,32;7692,61;21605,81;12594,01;31567,42;18549,38;28895,90;25802,24;34553,71;33761,47;26258,71;14075,68;32555,21;16480,35;15354,41;28652,78;19316,82;14785,54;16268,99;17729,09;12952,95;23013,25;16038,52;7712,24;13728,99;15308,12;29436,52;13034,52;35600,18;14516,29;7095,68;12260,30;8248,91;16521,99;12607,53;10457,02;11468,75;28048,44;18112,11;6950,11;15389,65;19174,49;12849,09;31833,28;22366,75;23493,63;15836,84;15024,80;14783,71;6576,94;12563,11;14051,30;10120,06;15351,73;9264,02;8892,87;9509,36;15553,50;45430,13;59397,99;17294,66;10374,61;22720,27;14278,99;15632,47;24240,65;18547,78;12858,72;40340,57;36695,35;15906,78;19489,35;25775,34;18927,65;27799,40;34032,82;13526,35;12126,74;4798,59;11870,02;4664,18;16944,31;9449,87;25355,00;9924,76;10965,69;9024,14;19069,06;30102,64;19807,66;29409,30;12387,01;21670,23;37918,97;13108,67;42513,20;22107,36;22481,79;12816,46;36666,99;3882,90;2532,20;5898,73;3192,75;1792,82;3060916,50
"170035 Aliança do Tocantins";-;-;-;-;-;-;-;6076,89;6580,72;9115,74;9888,36;16825,14;22425,31;17941,51;10019,48;17565,62;14374,67;19231,20;36317,02;11986,65;17550,37;7124,25;16351,36;9865,82;16196,49;13410,17;8373,24;19378,78;18193,40;37590,05;21543,81;13086,07;17620,19;31971,91;31394,47;29872,99;22144,62;17109,39;14865,75;29871,78;17429,51;13834,52;23271,08;9973,07;11219,34;7581,82;20766,20;15883,12;62390,82;10738,45;39401,56;49130,63;15673,32;29248,19;57091,54;50265,48;41144,40;25770,82;40916,29;30017,16;25308,13;32440,94;7732,97;10984,68;56499,94;28817,72;30795,59;23248,02;28224,31;28122,13;42827,01;57841,58;37364,13;41200,74;83516,56;47160,89;44510,03;53385,56;14188,47;24863,83;16819,14;7533,07;28632,97;21250,15;40590,36;46317,14;23686,73;25077,58;19095,44;28537,76;20341,23;18090,82;12427,87;43599,44;11928,07;13184,32;20954,33;29428,29;29529,16;53958,44;6961,63;38724,14;47493,28;18941,09;16229,42;37026,24;8524,67;10931,06;19496,25;25650,13;15497,16;18506,85;25641,77;27869,51;9405,28;25747,33;32297,74;21435,84;33919,30;21701,00;27733,83;33090,00;34407,17;24978,24;38808,59;31106,55;15286,43;16361,97;47032,44;14660,01;7945,98;12845,65;13769,50;11118,84;8964,19;20139,54;37941,01;19547,20;24816,62;33615,84;21585,94;43769,15;10173,80;13919,56;23784,85;31083,82;29800,42;9861,07;19275,76;37844,88;38774,69;35328,33;15627,80;15853,66;30024,42;26587,64;30517,91;22798,75;7980,31;25702,24;9618,89;25959,10;2846,78;4838,73;7364,82;671,51;-;3871390,20
"170040 Almas";-;-;-;-;-;-;568,98;2063,68;13252,53;17905,51;13195,45;13524,26;25490,86;19601,89;15889,01;18531,21;30715,82;42832,20;18191,10;11360,96;36847,28;37866,30;22532,47;14275,99;25336,36;16187,13;19688,69;19732,03;39579,80;26023,12;20470,13;24007,83;14736,70;20744,53;22427,77;23628,66;25323,79;14267,75;16822,00;31861,20;38443,07;36850,56;44287,17;45015,73;35504,56;31706,72;31551,16;50900,17;34605,05;31131,67;34153,31;23623,58;33634,03;31168,27;44318,26;44166,55;39149,20;23688,37;20954,27;31480,76;24960,75;19401,31;24632,52;21512,31;39988,47;14285,17;35425,12;22847,59;33836,57;36261,95;33349,58;13816,13;8999,86;13098,63;25982,83;14672,45;24878,30;19256,24;14162,49;15184,82;25631,22;18265,70;24021,33;16875,61;21204,37;40591,55;34894,15;23312,31;17910,08;22568,21;46051,19;51374,29;12311,71;9435,50;7172,08;7133,47;10506,19;51693,90;8622,13;8263,53;25899,59;7688,30;10511,35;14460,86;9449,20;16696,01;23088,70;69509,58;41847,77;38224,22;22054,30;17381,46;23315,73;17692,35;17866,21;14753,16;12690,92;26044,97;18360,89;21810,69;21922,33;37884,21;29870,69;31231,98;64920,68;73348,42;30090,57;25254,31;31206,95;20864,83;34428,02;10220,97;16800,78;13504,92;25447,79;7703,64;14805,09;5985,09;15676,50;7666,56;33778,58;37599,59;28206,07;8756,05;27466,57;37259,25;19553,36;8592,31;16297,03;13210,77;14724,82;42118,23;12116,10;17470,07;27392,75;21732,18;17824,04;9085,90;28691,72;30740,34;6971,70;12889,65;5139,59;-;-;-;-;3782004,32
"170070 Alvorada";-;-;-;-;-;-;-;3524,33;7210,38;31462,94;11931,43;12308,63;16980,08;21545,98;15396,68;19352,96;22130,70;17212,01;17501,25;14321,85;19377,74;51680,73;19107,08;27684,16;20247,96;10516,17;45549,84;40069,33;21765,13;19220,85;53456,26;18212,69;35440,98;11784,52;33770,99;38094,10;25200,66;38168,33;36520,61;24495,85;40162,81;25317,11;25047,34;28125,83;29900,32;21543,27;18185,86;48479,11;49228,27;18284,02;10778,90;8512,29;45683,87;22375,40;36237,64;36355,64;43909,92;42391,26;45187,92;49834,19;55714,45;43699,26;42799,22;37361,97;53020,87;57591,82;36942,32;49154,41;24064,46;51078,63;47834,74;59591,95;52123,51;51726,22;60861,61;40769,34;39964,64;31280,79;47185,39;63563,62;39379,58;48189,26;80323,56;42447,42;60943,76;69486,18;33067,53;62189,04;49717,73;52630,05;56936,15;47293,54;59323,75;22107,61;37911,95;57480,85;69180,96;30414,07;38466,51;21469,09;52840,66;45360,14;49679,02;50033,88;41743,15;28557,42;33541,94;68159,30;36423,25;32018,13;27092,23;61876,29;28364,86;36979,84;63183,39;49402,12;55125,88;33385,68;65114,32;60964,33;63543,64;38509,49;68323,25;38577,61;34197,47;52514,74;45511,86;33765,51;33079,97;53266,74;27852,01;76184,39;38954,02;50342,36;60352,26;44848,96;37302,34;45488,96;30586,31;24808,45;22208,78;40896,42;37335,24;53059,95;65506,24;34647,01;42320,92;47051,92;47795,57;43868,59;35656,79;52724,67;56723,44;72264,15;25439,38;50124,69;34404,66;53408,74;28031,62;41051,74;68060,30;27448,71;5495,39;472,43;-;-;-;6175925,50
"170100 Ananás";-;-;-;-;-;3045,71;1485,17;7539,40;17018,23;62463,59;26061,37;40301,78;37099,78;42164,56;43706,75;45826,13;47017,58;27853,91;58590,95;36172,51;39066,21;50093,99;64354,99;47154,16;42776,56;37334,07;32467,23;38037,64;41336,37;42713,25;49330,23;50575,81;62321,39;39671,61;32415,25;35867,75;38403,31;39855,81;38598,41;50603,16;69699,37;77706,99;60814,88;36315,79;42005,94;40779,70;45063,07;99023,33;85467,96;67259,87;46351,10;45256,35;34799,21;33234,00;30265,31;49240,30;32205,24;28925,79;68440,88;58156,24;71896,45;42139,72;102406,45;59737,08;49998,18;39431,01;27747,25;43115,68;66697,28;50484,70;36794,71;77565,26;49031,55;88982,72;56392,47;36043,68;34273,38;30013,82;32050,59;59955,68;43918,51;34180,20;40369,97;79287,99;48188,73;69195,20;25752,36;57264,75;73818,89;90858,33;58175,91;75011,46;25455,60;23349,77;41787,53;35559,76;75402,38;36118,99;38766,24;51612,97;41151,08;68016,90;97339,28;33957,60;39380,66;70241,93;24354,96;28197,35;65674,40;26428,54;60310,86;33695,70;63876,59;20814,58;47438,98;46470,27;21883,25;16534,05;23028,31;45884,99;32505,34;44196,82;42049,27;55350,85;56292,64;33301,98;34845,97;29308,85;39282,30;35153,09;40243,42;51224,37;32908,19;53461,94;27747,96;32145,56;26298,99;83285,75;53148,98;57257,81;58853,68;86062,55;76375,31;37443,76;81299,85;47499,59;44682,49;70935,33;34227,54;60233,11;54630,11;58013,64;54718,04;72345,47;59029,96;50432,58;36407,49;37458,27;40593,73;89866,37;91375,87;55778,17;166901,76;719,15;31072,22;2288,85;3318,73;7736423,12
"170105 Angico";-;-;-;-;-;-;-;-;-;1363,68;6584,82;6265,29;3382,89;4181,78;6892,71;3343,67;14880,00;6186,33;881,69;3864,85;3957,21;8012,30;4550,97;7056,44;4158,05;9911,42;9988,90;6141,17;9150,73;11450,42;8048,57;13284,85;7344,16;5441,29;2157,29;14440,26;7211,90;3111,56;9845,87;4036,18;8775,06;8366,74;8001,14;6458,42;5592,59;11571,27;17339,85;8338,09;8005,88;13188,39;7308,62;30609,39;23716,14;31885,00;21837,30;10558,51;5058,98;9918,16;18893,70;14932,29;11264,31;29089,92;28703,39;5735,22;4258,32;12018,71;12497,48;7189,63;6291,51;16632,24;4651,58;10135,95;11249,10;2819,30;9918,23;18308,60;7067,13;16324,95;10825,74;19302,81;18327,67;17637,99;11468,84;5780,96;3854,87;12574,15;10187,82;2751,41;6448,80;5998,49;12794,38;15574,70;9796,74;6107,13;16843,65;21552,30;8564,10;7004,47;6554,39;2440,43;6537,94;2042,60;5366,98;3889,39;3556,62;4809,00;5050,50;3412,91;10375,72;21584,81;13973,68;33356,12;8271,17;5592,67;3922,12;32199,82;6075,73;23617,19;16551,59;25875,79;22235,08;29994,90;36076,58;34874,26;21321,08;30152,73;10747,07;7205,85;37262,64;9258,57;13269,84;7278,41;11401,68;8854,77;3443,93;15963,93;4790,04;28367,02;27196,05;5208,01;7515,72;10678,67;8339,73;12887,88;8712,08;4887,13;5272,61;5351,71;11524,46;7443,67;5678,59;11996,47;8508,36;6258,80;9549,83;4448,14;7096,71;10044,45;4682,59;7575,58;3166,65;4397,75;1970,08;-;402,54;1500,00;-;1694885,17
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;569,70;1960,70;12556,51;14023,27;4941,73;6975,17;11559,24;40164,56;17331,78;12279,77;15250,74;7797,55;12492,94;23185,21;13497,78;10418,25;16095,55;17547,86;11797,66;25439,66;8422,43;21046,81;17869,11;32776,17;6396,24;9942,91;8115,95;23766,69;19137,29;22147,95;11742,84;7640,16;17365,15;15638,06;5113,03;12299,99;25352,36;12745,84;23240,82;14792,19;23225,69;9639,66;18262,92;21087,46;41213,13;8675,86;9679,33;27626,47;18455,74;32547,18;21603,87;19144,85;20882,02;31250,19;27655,11;27105,62;9288,13;22459,91;35025,89;26524,84;40781,63;73752,89;26481,44;10197,82;20174,87;33727,29;48179,79;22883,57;29808,47;62429,08;35634,79;16373,07;36775,08;26788,44;9985,67;28070,24;14886,43;32690,06;23064,39;76602,82;41860,38;16757,49;10186,00;20391,21;32694,70;29614,06;34310,34;27487,88;34955,95;26578,96;16860,10;25346,69;24085,29;25250,77;45436,22;37851,14;18632,90;7019,44;22808,22;16042,38;9986,15;30240,99;41066,46;29522,08;36685,94;47045,48;20731,49;16916,11;7141,38;54126,93;45664,31;53654,65;16572,27;20726,31;23748,38;27124,94;24508,65;19432,04;14152,34;25152,82;16582,89;12643,68;15900,76;5279,88;21775,86;24614,46;12186,86;18652,62;48354,03;14502,36;24517,30;11924,69;20970,22;33447,19;13695,08;50546,02;28504,54;33746,60;35576,80;33798,89;47375,03;35289,24;39306,80;22098,42;29232,11;180274,16;32425,13;21282,28;24376,27;21155,66;16925,17;35825,45;43311,39;23936,95;15516,98;6802,36;957,33;232,00;-;-;-;3863992,63
"170130 Aragominas";-;-;-;-;-;-;-;1359,42;12340,41;12993,80;18376,65;18038,39;16129,96;11481,28;30896,99;14054,22;14074,32;19110,59;8125,08;16270,24;14711,26;17852,87;16087,99;15133,94;17389,41;34435,98;19136,49;20511,59;16546,28;16145,65;18315,45;10775,78;25412,45;15552,69;12508,19;25439,51;8351,79;31259,46;19970,03;42540,34;31875,17;20742,55;42796,44;36566,06;30599,55;23779,61;14883,95;28379,13;17457,90;19004,86;4905,79;15915,14;17977,58;10279,72;23406,04;20293,07;13517,04;23637,40;21307,04;25201,71;17546,57;27594,60;23161,61;6784,11;25909,98;26612,40;23178,40;19156,12;21584,91;37325,72;13455,11;71371,33;41688,95;55905,60;15156,45;45703,34;56042,50;33567,01;20025,66;35229,20;33605,20;5447,29;15398,99;22310,55;30479,03;15398,83;8796,62;10299,51;24885,77;10522,24;62263,16;27138,71;24019,15;23192,79;22355,93;15381,65;17023,34;22255,78;13957,29;6812,31;28765,12;41759,94;29966,15;28766,82;14506,20;26983,32;28289,62;10710,87;18458,10;19221,61;32156,33;14917,15;17705,05;11925,34;6386,80;21438,68;8773,79;16373,78;14332,48;21537,67;19900,74;6030,46;36551,79;21186,63;35916,67;23539,71;15728,96;23184,59;11076,58;29129,39;8212,97;7831,22;13279,10;27180,32;28913,15;24997,12;13753,96;8241,24;12623,75;29614,69;14067,63;45008,73;12640,30;16357,48;20863,54;15674,67;12267,04;18044,07;15256,39;59058,24;52599,54;54080,02;29564,01;14618,11;23469,49;12136,48;6881,66;32647,39;12477,85;27039,04;40847,96;16086,91;8092,83;3293,32;1512,70;2517,51;-;3439368,73
"170190 Araguacema";-;-;-;-;-;-;-;1913,74;13474,58;13113,41;20489,49;16857,65;35311,09;24219,20;16794,79;15797,31;15959,11;39091,27;16793,82;35340,90;20050,57;35870,32;15623,94;26481,28;21080,06;14333,19;23834,22;13742,45;15956,76;17266,72;16119,65;58854,43;13655,69;22428,72;20813,84;37931,15;35720,29;14840,38;42291,92;17223,68;14627,71;9660,61;11305,22;23489,79;13436,43;23558,08;17988,42;43300,05;28996,65;24918,26;33653,83;16490,10;21126,13;21601,86;25004,83;27388,64;20051,78;26492,68;15165,93;34724,76;14402,38;23421,44;15349,75;54961,24;26951,84;31067,59;17817,17;24541,25;17776,13;23863,17;12119,15;13930,89;14901,92;15072,11;25196,98;49822,33;23957,16;32849,22;43158,08;39313,31;48306,17;53836,29;30632,01;29298,54;12760,53;25546,47;22274,17;13777,25;22342,91;18057,47;28373,18;24176,73;12474,02;33838,04;30787,50;24618,16;19981,90;19473,55;17076,53;15715,05;38315,31;36650,54;18616,20;20720,59;15427,35;19242,65;36241,34;34419,60;10842,58;36123,79;42992,62;13950,04;19031,50;20730,36;20253,21;17152,81;17780,75;17777,11;27689,88;29260,43;20039,23;50201,24;28907,15;18249,58;14946,04;13407,64;17075,85;11061,22;20348,45;29909,92;39237,36;14403,79;15161,05;28425,00;11474,23;18620,33;16889,40;20631,89;21093,80;36322,81;18581,46;25415,00;5043,52;54945,30;19398,25;23739,31;18321,94;14609,09;19399,59;24660,27;20089,06;14956,53;23435,05;29551,49;24427,13;10945,54;11085,88;27374,65;34031,71;17585,93;30451,48;4537,60;1679,89;885,74;-;-;-;3640853,01
