 Morbidade Hospitalar do SUS - por local de residência - Pará
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"150010 Abaetetuba";-;-;263,98;-;2419,06;3271,22;2192,70;3132,00;6433,86;3189,85;869,56;293,60;285,60;1150,40;832,80;1896,62;615,52;1870,56;943,28;2174,52;2243,03;311,76;1846,56;311,76;1886,56;903,28;1558,80;1255,04;935,28;-;631,52;623,52;2158,32;4940,16;2134,32;1566,80;6866,72;15350,69;20375,48;10298,94;16409,88;14924,66;11183,36;8645,34;5624,39;1534,80;2182,32;2142,32;287,76;911,28;1838,56;2741,84;10471,84;15882,94;22954,05;10456,28;8361,52;1838,56;927,28;1526,80;2454,08;3093,60;3421,36;1255,04;1870,56;3181,60;5037,59;5587,68;13605,44;1862,56;4260,64;3972,88;311,76;-;2908,92;1924,51;-;2789,84;927,28;311,76;623,52;967,28;-;327,76;935,28;311,76;631,52;927,28;777,38;895,28;-;1215,04;337,19;599,52;-;1590,80;1822,56;2486,08;963,50;2510,08;4207,18;3373,36;8681,28;3884,27;607,52;347,98;329,19;1256,47;1894,56;2206,32;2284,27;3469,36;935,28;2502,08;1526,80;1830,56;999,28;1311,04;303,76;303,76;663,52;319,76;1007,28;319,76;343,76;975,28;303,76;343,76;-;319,76;-;-;319,76;-;-;303,76;303,76;-;655,52;-;367,76;367,76;319,76;-;-;-;-;-;643,58;-;359,76;-;-;-;-;-;-;-;311,76;-;-;-;-;376382,52
"150013 Abel Figueiredo";-;-;-;-;261,60;-;285,60;539,20;792,80;1316,00;-;-;-;261,60;-;-;-;2014,32;1726,56;863,28;863,28;863,28;-;-;287,76;-;-;575,52;-;575,52;575,52;-;-;-;-;879,28;575,52;575,52;863,28;4504,72;2014,32;287,76;287,76;287,76;-;575,52;575,52;-;-;287,76;575,52;575,52;1726,56;2014,32;2302,08;1726,56;-;575,52;1151,04;287,76;-;-;-;-;-;287,76;863,28;287,76;1438,80;575,52;-;-;-;287,76;287,76;287,76;-;-;-;287,76;863,28;-;-;287,76;287,76;-;-;-;287,76;575,52;-;287,76;-;287,76;-;-;-;-;-;287,76;-;-;-;-;287,76;575,52;-;-;-;-;-;-;-;287,76;-;287,76;287,76;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;287,76;287,76;287,76;575,52;-;-;-;287,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;46825,12
"150020 Acará";-;-;-;-;1831,20;2877,60;5276,22;1569,60;3139,20;4185,60;2092,80;523,20;523,20;523,20;261,60;-;1438,80;1438,80;2637,11;5755,20;2302,08;2014,32;287,76;-;575,52;287,76;863,28;-;-;287,76;631,52;287,76;911,28;634,38;287,76;287,76;303,76;591,52;879,28;1642,69;303,76;287,76;295,76;388,47;1806,56;-;-;-;-;-;-;-;-;623,72;903,28;1191,04;575,52;-;-;-;-;-;-;-;-;-;631,52;303,76;-;-;-;-;-;-;-;-;303,76;-;599,52;303,76;-;287,76;-;-;-;-;-;591,52;-;-;-;647,52;-;-;295,76;-;295,76;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;887,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;311,76;-;-;-;-;311,76;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60200,11
"150030 Afuá";-;-;-;-;-;-;-;261,60;261,60;614,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;287,76;-;287,76;-;311,76;-;-;-;-;-;381,71;-;-;325,71;325,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;343,76;448,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5600,68
"150034 Água Azul do Norte";-;261,60;-;1569,60;5493,60;7324,80;4708,80;12556,80;16480,80;5003,40;-;523,20;-;261,60;523,20;1909,68;1726,56;1151,04;2014,32;6330,72;4604,16;3453,12;3165,36;863,28;575,52;287,76;1167,04;-;1454,80;1151,04;879,28;3740,88;5771,20;6042,96;3453,12;1726,56;1151,04;3165,36;941,43;3453,12;575,52;2030,32;1454,80;2318,08;6394,72;2318,08;575,52;-;287,76;-;575,52;287,76;591,52;1438,80;1726,56;4364,40;3453,12;1726,56;303,76;575,52;-;287,76;-;863,28;-;1175,04;3181,36;2677,84;1766,56;3025,70;287,76;-;575,52;863,28;287,76;863,28;1183,04;287,76;-;287,76;575,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;591,52;303,76;1750,56;2589,84;591,52;919,28;303,76;1734,56;287,76;287,76;-;287,76;-;287,76;-;6418,72;18249,12;16115,80;7593,76;7649,76;591,52;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;1151,04;2078,32;3306,36;2366,08;303,76;-;55,27;44,22;591,52;-;303,76;892,28;662,64;630,79;619,74;-;-;55,27;-;-;-;-;-;-;244840,90
"150040 Alenquer";-;-;-;-;-;-;1308,00;1569,60;5256,00;1046,40;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;599,52;599,52;-;287,76;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;2054,32;2014,32;1475,94;-;1462,80;-;-;44,22;-;-;-;-;-;351,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;718,93;330,23;-;-;-;-;-;-;287,76;-;-;-;-;287,76;287,76;-;-;-;319,76;-;-;-;-;575,52;287,76;-;-;-;-;-;-;-;-;-;-;-;23729,32
"150050 Almeirim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;529,96;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1984,76
"150060 Altamira";-;-;-;-;-;-;-;-;-;-;-;-;-;301,60;261,60;-;-;-;-;-;-;-;-;-;-;-;10597,31;16754,32;18081,36;25722,88;13074,90;16962,08;5683,44;12258,06;13530,91;4995,92;4140,46;7439,95;4436,40;6442,72;8167,47;11588,59;20585,29;30066,70;14460,24;11262,88;15381,12;8353,28;11949,56;9456,32;5001,87;7666,24;11039,12;14928,60;15443,92;23970,91;8466,72;15387,80;3317,36;7871,02;12188,11;7450,24;9024,80;10038,03;8249,52;7825,96;11990,01;13906,32;15052,88;7387,92;10855,60;6872,67;13069,92;2166,32;12166,64;6530,96;8409,52;6656,85;5635,68;7786,00;11996,88;5707,68;8961,04;7200,43;4644,40;4996,16;2502,08;6842,72;7695,15;4994,11;5843,44;6504,91;16235,48;6187,20;7400,19;2741,84;5811,44;4300,64;1526,80;1215,04;3349,36;3069,60;3061,60;4844,16;6081,15;2478,08;1343,24;911,28;3211,55;1231,04;903,28;607,52;303,76;1518,80;1822,56;2134,32;1806,56;1279,04;303,76;1846,56;911,28;2238,32;-;607,52;-;855,52;903,28;303,76;303,76;943,28;357,71;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;311,76;335,76;2249,29;975,28;2159,12;387,98;-;715,42;-;790,05;-;-;-;-;-;-;779380,57
"150070 Anajás";-;-;-;-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599,52;287,76;599,52;583,52;303,76;295,76;-;-;-;-;-;295,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;287,76;287,76;295,76;-;-;-;-;-;295,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;335,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6472,56
"150080 Ananindeua";-;1308,00;4708,80;1650,60;9309,84;19370,77;16372,20;13927,37;32516,27;20965,82;9285,00;3782,52;6040,80;5325,18;7038,56;11535,48;14525,07;13966,49;17679,55;17795,13;6219,40;951,72;1750,56;1195,26;1609,46;634,38;2892,81;939,34;1596,87;4620,16;12973,86;21385,92;21193,32;19502,07;18069,40;20500,11;16664,22;18625,73;19544,42;19678,52;18088,10;15365,16;21137,96;28014,02;16688,67;19026,49;10224,00;12422,12;17247,79;16785,91;18738,89;25403,32;23371,76;31087,37;27619,89;21661,43;12070,36;10479,36;9729,93;3251,31;4636,16;5203,88;2038,32;3259,51;3914,22;8129,28;9983,84;11383,71;9304,32;5202,28;575,52;1463,00;1151,04;607,52;1774,56;1454,80;2078,52;2038,32;2989,80;2605,84;1750,56;287,76;343,03;1463,00;325,71;575,52;287,76;575,52;287,76;901,23;710,91;2323,64;1351,45;327,76;863,28;-;575,52;1188,99;1252,99;631,52;3744,79;2437,62;1766,56;575,52;1236,18;-;287,76;287,76;319,76;-;287,76;303,76;-;-;311,76;287,76;-;-;-;-;-;-;-;-;599,52;-;303,76;311,76;319,76;311,76;-;911,28;-;1641,40;319,76;319,76;303,76;303,76;943,28;1087,69;928,34;-;327,76;311,76;-;631,52;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;913918,55
