"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";22;37;13;3;-;1;-;1;-;-;-;1;78
"120005 Assis Brasil";7;11;7;6;7;6;1;-;1;2;3;-;51
"120010 Brasiléia";6;13;13;11;5;9;3;2;1;-;-;-;63
"120013 Bujari";8;2;5;1;2;-;-;-;-;-;-;-;18
"120017 Capixaba";30;32;54;49;23;4;1;-;-;-;-;2;195
"120020 Cruzeiro do Sul";23;18;14;2;2;2;-;2;-;-;-;3;66
"120025 Epitaciolândia";6;17;10;3;5;2;-;-;-;1;-;-;44
"120030 Feijó";2;5;97;43;5;1;1;-;-;1;-;-;155
"120032 Jordão";3;-;-;-;-;-;-;-;-;-;-;-;3
"120033 Mâncio Lima";2;3;-;-;-;-;-;-;-;-;-;-;5
"120038 Plácido de Castro";4;4;2;1;-;-;-;-;-;-;-;-;11
"120080 Porto Acre";12;14;2;3;2;1;-;1;-;-;-;1;36
"120040 Rio Branco";8204;4540;2636;1083;277;93;49;47;36;47;48;708;17768
"120042 Rodrigues Alves";-;1;-;-;-;-;-;-;-;-;-;-;1
"120043 Santa Rosa do Purus";-;1;-;-;-;-;-;-;-;-;-;-;1
"120050 Sena Madureira";8;1;69;46;13;7;1;1;-;2;-;-;148
"120045 Senador Guiomard";148;8;10;-;-;-;-;-;-;5;1;-;172
"120060 Tarauacá";3;3;-;2;-;-;-;-;-;1;-;-;9
"120070 Xapuri";2;1;-;1;-;-;-;-;-;1;-;1;6
"Total";8490;4711;2932;1254;341;126;56;54;38;60;52;716;18830
