"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";14;5;5;3;1;-;4;2;-;6;6;14;60
"120005 Assis Brasil";-;4;-;-;-;-;-;-;-;-;-;-;4
"120010 Brasiléia";4;7;11;4;3;-;3;3;4;16;37;57;149
"120013 Bujari";-;-;-;-;-;-;-;-;-;2;6;-;8
"120017 Capixaba";1;4;4;2;1;-;-;-;-;2;-;1;15
"120020 Cruzeiro do Sul";322;216;177;122;25;4;5;15;11;45;31;99;1072
"120025 Epitaciolândia";3;6;3;-;-;2;3;1;-;5;13;1;37
"120030 Feijó";1;-;-;1;17;29;32;47;216;440;409;27;1219
"120033 Mâncio Lima";2;1;2;-;6;-;13;25;91;73;184;191;588
"120034 Manoel Urbano";3;2;1;6;70;24;9;4;9;41;16;-;185
"120038 Plácido de Castro";7;3;4;1;10;7;13;6;33;72;222;92;470
"120080 Porto Acre";1;3;4;5;2;-;1;1;-;7;35;13;72
"120039 Porto Walter";-;2;-;-;-;1;-;-;-;-;-;-;3
"120040 Rio Branco";98;128;124;122;122;94;105;90;85;144;203;405;1720
"120042 Rodrigues Alves";8;10;12;11;18;3;2;1;1;3;3;15;87
"120050 Sena Madureira";2;3;2;3;1;5;1;-;35;212;608;242;1114
"120045 Senador Guiomard";-;2;5;5;5;1;2;-;-;-;3;-;23
"120060 Tarauacá";3;1;2;1;28;4;3;4;6;122;93;14;281
"120070 Xapuri";10;11;30;15;12;9;16;6;1;10;15;7;142
"Total";479;408;386;301;321;183;212;205;492;1200;1884;1178;7249
