"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";14;6;-;-;-;-;-;-;-;-;-;1;21
"130008 Anamã";5;9;1;1;-;-;-;-;-;-;-;-;16
"130010 Anori";4;5;7;1;1;-;-;-;-;-;-;-;18
"130014 Apuí";-;-;2;-;1;1;-;-;-;-;-;-;4
"130020 Atalaia do Norte";-;-;1;-;-;-;-;-;-;-;-;-;1
"130030 Autazes";9;8;6;-;-;-;-;-;-;-;-;-;23
"130040 Barcelos";65;44;47;13;11;13;6;11;17;2;3;11;243
"130050 Barreirinha";-;4;-;-;-;-;-;-;-;-;-;-;4
"130060 Benjamin Constant";4;3;2;1;-;-;-;-;-;-;-;-;10
"130063 Beruri";1;-;1;-;-;-;-;-;-;-;-;-;2
"130068 Boa Vista do Ramos";1;-;-;-;-;-;-;-;-;-;-;-;1
"130070 Boca do Acre";79;42;48;1;1;1;-;1;-;-;1;1;175
"130080 Borba";4;22;5;-;1;-;-;-;-;-;1;-;33
"130090 Canutama";-;1;-;2;-;-;-;-;-;-;-;-;3
"130100 Carauari";1;1;-;-;-;-;-;-;-;-;-;-;2
"130110 Careiro";71;73;36;13;9;1;2;-;1;-;-;5;211
"130115 Careiro da Várzea";1;3;3;-;-;-;-;-;-;-;-;-;7
"130120 Coari";111;109;28;19;6;3;-;-;-;7;-;10;293
"130130 Codajás";33;113;48;2;-;-;-;-;-;-;-;3;199
"130140 Eirunepé";1;2;-;-;-;-;-;-;-;-;-;-;3
"130150 Envira";-;1;1;-;-;-;-;-;-;-;-;-;2
"130160 Fonte Boa";1;-;-;1;1;-;-;-;-;-;-;-;3
"130165 Guajará";2;1;2;-;1;1;-;-;-;-;-;-;7
"130170 Humaitá";3;8;12;2;1;2;-;-;-;1;-;-;29
"130180 Ipixuna";1;1;-;-;-;-;-;-;-;-;-;-;2
"130185 Iranduba";2;9;65;9;4;1;-;-;-;-;-;-;90
"130190 Itacoatiara";137;219;418;248;43;7;1;1;1;2;1;2;1080
"130195 Itamarati";-;1;2;-;-;-;-;-;-;-;-;-;3
"130210 Japurá";13;2;1;2;-;1;-;-;-;-;-;-;19
"130220 Juruá";3;1;-;1;1;-;-;-;-;-;-;-;6
"130230 Jutaí";1;11;5;-;-;-;-;-;-;-;-;-;17
"130240 Lábrea";181;186;63;5;5;3;-;-;-;1;1;5;450
"130250 Manacapuru";472;439;301;40;37;23;-;3;-;1;1;20;1337
"130255 Manaquiri";2;13;7;5;-;-;-;-;-;-;-;-;27
"130260 Manaus";7729;19854;17233;4720;1911;1017;501;434;261;246;252;576;54734
"130270 Manicoré";5;43;86;32;-;-;-;-;-;3;3;6;178
"130280 Maraã";14;9;5;2;1;-;-;-;-;-;1;2;34
"130290 Maués";5;23;23;5;-;-;-;1;-;1;-;-;58
"130300 Nhamundá";3;1;-;-;-;-;-;-;-;-;-;-;4
"130310 Nova Olinda do Norte";25;127;58;5;1;-;-;-;1;-;-;-;217
"130320 Novo Airão";13;37;17;1;1;-;1;-;-;-;-;3;73
"130330 Novo Aripuanã";49;92;94;30;8;3;2;1;-;2;-;-;281
"130340 Parintins";29;29;19;5;2;-;-;-;-;-;1;1;86
"130353 Presidente Figueiredo";5;11;8;2;7;-;-;-;1;1;-;-;35
"130356 Rio Preto da Eva";5;5;7;-;1;-;2;-;-;-;-;1;21
"130370 Santo Antônio do Içá";1;-;-;-;-;-;-;-;-;-;-;-;1
"130380 São Gabriel da Cachoeira";7;23;35;8;18;6;12;29;49;50;54;9;300
"130400 Silves";-;1;-;-;-;-;-;-;-;-;-;-;1
"130406 Tabatinga";8;6;5;20;77;34;7;8;3;-;1;1;170
"130410 Tapauá";1;-;-;-;-;-;-;-;-;-;-;-;1
"130420 Tefé";1004;403;114;26;17;20;34;14;1;9;16;55;1713
"130426 Uarini";-;-;2;-;-;-;-;-;-;-;-;-;2
"130440 Urucurituba";-;4;3;1;1;-;-;-;-;-;-;-;9
"130000 Município ignorado - AM";-;-;-;-;-;-;-;-;-;-;-;1;1
"Total";10125;22005;18821;5223;2168;1137;568;503;335;326;336;713;62260
