"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";-;-;-;-;1;2;14;2;-;-;-;-;19
"130008 Anamã";-;1;-;-;-;-;-;-;-;-;-;-;1
"130010 Anori";-;-;-;1;-;-;-;-;-;-;1;1;3
"130014 Apuí";1;3;1;1;-;-;-;-;-;-;-;1;7
"130040 Barcelos";-;-;6;13;58;20;1;1;1;4;1;-;105
"130070 Boca do Acre";-;3;2;-;1;-;-;-;-;-;-;-;6
"130080 Borba";1;-;2;-;-;5;1;-;1;-;-;1;11
"130110 Careiro";-;-;-;-;2;-;-;-;-;-;-;-;2
"130120 Coari";-;-;-;-;-;-;-;-;1;-;-;-;1
"130160 Fonte Boa";1;-;-;-;-;-;-;-;-;-;-;-;1
"130165 Guajará";10;13;6;1;-;-;-;8;3;2;-;1;44
"130170 Humaitá";-;3;1;-;-;1;1;-;-;-;-;3;9
"130190 Itacoatiara";16;28;32;27;8;6;3;1;1;-;-;4;126
"130240 Lábrea";-;4;1;-;-;-;1;1;-;-;1;-;8
"130250 Manacapuru";4;1;-;-;3;-;1;-;-;1;-;1;11
"130260 Manaus";128;187;230;136;147;118;121;100;108;76;60;212;1623
"130270 Manicoré";3;8;13;5;1;-;-;-;-;-;-;-;30
"130290 Maués";-;1;1;-;-;-;5;10;30;54;19;38;158
"130310 Nova Olinda do Norte";-;2;14;9;-;1;-;-;-;-;-;1;27
"130330 Novo Aripuanã";70;93;43;20;7;1;-;-;1;1;5;18;259
"130340 Parintins";1;13;155;206;75;33;17;20;3;-;-;-;523
"130353 Presidente Figueiredo";1;-;-;-;-;2;-;3;6;-;-;-;12
"130370 Santo Antônio do Içá";-;1;2;1;-;-;-;-;-;-;-;-;4
"130380 São Gabriel da Cachoeira";14;10;8;18;12;25;8;15;7;4;11;12;144
"130390 São Paulo de Olivença";-;3;-;-;-;-;-;-;-;-;-;-;3
"130400 Silves";-;-;-;1;-;-;-;-;-;-;1;-;2
"130406 Tabatinga";127;52;38;15;12;8;5;2;8;4;8;37;316
"130410 Tapauá";-;3;-;5;9;17;36;9;6;9;23;8;125
"130420 Tefé";8;9;14;17;14;10;3;2;-;-;-;1;78
"Total";385;438;569;476;350;249;217;174;176;155;130;339;3658
