"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";1;-;1;-;-;-;-;-;-;-;-;-;2
"130010 Anori";-;-;-;-;1;-;-;-;-;-;-;-;1
"130014 Apuí";1;2;1;-;1;-;-;2;-;-;2;-;9
"130030 Autazes";-;16;5;1;-;-;1;-;-;-;-;-;23
"130040 Barcelos";-;-;2;-;2;-;-;1;-;-;-;-;5
"130050 Barreirinha";-;2;-;-;-;-;-;-;-;-;-;-;2
"130060 Benjamin Constant";-;-;-;1;-;-;-;-;1;-;8;10;20
"130063 Beruri";6;15;1;-;-;-;-;-;-;-;-;1;23
"130068 Boa Vista do Ramos";-;-;7;10;6;-;2;2;-;-;1;-;28
"130070 Boca do Acre";-;2;2;-;1;-;-;-;-;-;-;-;5
"130080 Borba";2;1;4;9;3;5;3;4;5;4;17;12;69
"130100 Carauari";-;-;1;1;1;-;-;-;-;-;-;-;3
"130110 Careiro";-;2;2;6;6;-;-;-;-;-;-;-;16
"130120 Coari";1;11;24;17;-;2;26;8;2;12;6;3;112
"130150 Envira";-;-;1;-;-;-;-;-;-;-;-;-;1
"130160 Fonte Boa";-;-;-;1;-;-;-;-;-;-;-;-;1
"130165 Guajará";2;3;3;8;9;26;4;3;2;1;4;1;66
"130170 Humaitá";4;16;5;5;-;-;-;-;-;-;-;-;30
"130185 Iranduba";1;3;5;3;2;-;-;-;-;-;-;2;16
"130190 Itacoatiara";17;22;17;16;19;9;7;3;4;-;-;1;115
"130210 Japurá";-;-;-;4;1;2;-;-;-;1;6;-;14
"130240 Lábrea";2;11;6;4;1;4;1;-;-;-;-;-;29
"130250 Manacapuru";6;6;7;9;1;4;7;-;-;-;1;2;43
"130255 Manaquiri";-;-;1;-;-;-;-;-;1;-;-;-;2
"130260 Manaus";378;624;972;1297;744;481;217;116;111;138;133;140;5351
"130280 Maraã";-;-;1;1;-;-;-;-;-;-;-;-;2
"130290 Maués";28;32;22;25;11;9;6;3;-;5;4;7;152
"130310 Nova Olinda do Norte";-;2;15;49;20;5;8;2;3;-;5;-;109
"130320 Novo Airão";3;3;-;2;11;21;13;6;4;2;5;3;73
"130330 Novo Aripuanã";12;55;95;102;32;2;2;2;-;-;-;2;304
"130340 Parintins";1;-;4;4;4;-;-;1;-;-;-;-;14
"130353 Presidente Figueiredo";5;-;8;13;1;1;-;-;-;-;-;-;28
"130380 São Gabriel da Cachoeira";7;-;1;2;14;95;66;22;4;1;-;-;212
"130400 Silves";1;-;2;4;-;1;1;-;-;-;-;-;9
"130406 Tabatinga";13;83;77;61;29;10;15;19;11;7;7;11;343
"130410 Tapauá";19;35;13;-;-;-;-;-;-;-;2;15;84
"130420 Tefé";-;-;4;4;8;9;11;6;19;4;9;3;77
"130430 Urucará";-;1;-;54;5;-;-;-;-;-;-;-;60
"130440 Urucurituba";1;1;8;27;4;1;7;1;-;-;-;-;50
"Total";511;948;1317;1740;937;687;397;201;167;175;210;213;7503
