"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160020 Calçoene";-;-;11;5;11;-;-;-;-;-;-;-;27
"160023 Ferreira Gomes";9;23;38;6;-;-;-;-;-;-;1;-;77
"160025 Itaubal";-;-;1;-;-;-;-;-;-;-;-;-;1
"160027 Laranjal do Jari";-;-;-;1;1;1;1;-;-;-;-;-;4
"160030 Macapá";51;80;152;123;82;34;18;27;27;24;12;6;636
"160040 Mazagão";53;18;17;6;-;-;-;-;-;-;-;2;96
"160050 Oiapoque";90;31;140;124;17;2;2;2;-;7;13;5;433
"160015 Pedra Branca do Amapari";18;9;3;64;5;-;-;5;1;2;-;-;107
"160053 Porto Grande";25;43;28;43;20;1;11;1;-;-;-;-;172
"160060 Santana";6;18;14;11;1;3;7;21;5;-;3;1;90
"160005 Serra do Navio";24;8;2;2;2;4;-;2;-;-;-;-;44
"Total";276;230;406;385;139;45;39;58;33;33;29;14;1687
