"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";18;13;21;5;4;7;5;4;-;-;-;-;77
"210010 Afonso Cunha";5;11;10;6;-;-;-;-;-;1;-;-;33
"210015 Água Doce do Maranhão";-;3;-;5;2;-;-;-;-;-;1;-;11
"210030 Aldeias Altas";-;1;-;-;1;-;-;-;-;-;-;-;2
"210040 Altamira do Maranhão";-;7;37;9;1;-;-;-;-;-;-;-;54
"210047 Alto Alegre do Pindaré";-;1;1;2;1;1;-;-;-;-;-;-;6
"210050 Alto Parnaíba";-;2;15;-;-;-;-;-;-;-;1;-;18
"210055 Amapá do Maranhão";-;-;-;-;1;-;-;-;-;-;-;-;1
"210060 Amarante do Maranhão";16;16;9;-;-;-;-;-;-;-;-;1;42
"210070 Anajatuba";-;-;-;4;-;-;-;-;-;-;-;-;4
"210083 Apicum-Açu";-;-;5;1;-;-;-;-;-;-;-;-;6
"210090 Araioses";4;3;4;2;1;3;1;1;-;-;-;-;19
"210095 Arame";-;-;7;8;4;1;-;-;-;-;1;3;24
"210100 Arari";-;1;-;-;-;-;-;-;-;-;-;-;1
"210110 Axixá";-;-;2;1;1;-;-;-;-;-;-;-;4
"210120 Bacabal";-;1;-;2;7;-;-;-;-;-;-;1;11
"210125 Bacabeira";-;-;4;-;-;-;-;-;-;-;-;-;4
"210130 Bacuri";-;-;-;7;-;-;1;-;-;-;-;-;8
"210140 Balsas";3;2;7;19;2;-;3;2;1;2;9;3;53
"210150 Barão de Grajaú";-;1;2;-;-;-;-;-;-;-;-;-;3
"210160 Barra do Corda";2;123;55;28;5;3;1;-;-;-;-;-;217
"210170 Barreirinhas";-;-;-;1;-;-;-;-;-;-;-;-;1
"210173 Belágua";-;1;-;-;-;-;-;-;-;-;-;-;1
"210190 Bequimão";-;5;-;-;1;4;-;-;-;-;-;1;11
"210193 Bernardo do Mearim";-;-;2;-;-;-;-;-;-;-;-;-;2
"210197 Boa Vista do Gurupi";4;4;-;-;-;-;-;-;-;-;-;-;8
"210200 Bom Jardim";15;3;-;4;-;-;-;-;-;-;-;-;22
"210203 Bom Jesus das Selvas";-;1;20;1;2;-;-;-;-;-;-;-;24
"210210 Brejo";-;-;-;1;-;-;-;-;-;-;-;-;1
"210220 Buriti";1;-;-;-;2;1;-;-;-;-;-;-;4
"210230 Buriti Bravo";2;-;9;9;3;-;-;-;-;-;-;-;23
"210232 Buriticupu";-;1;-;1;-;-;-;-;-;-;-;-;2
"210235 Buritirana";-;1;2;-;-;-;-;-;-;-;-;-;3
"210237 Cachoeira Grande";5;1;8;7;-;-;-;-;-;-;-;1;22
"210240 Cajapió";-;-;-;1;-;-;-;-;-;-;-;-;1
"210250 Cajari";1;2;-;1;-;-;-;1;-;-;-;-;5
"210255 Campestre do Maranhão";1;-;7;4;2;-;-;-;-;-;-;-;14
"210260 Cândido Mendes";-;-;-;-;2;-;-;-;-;-;-;-;2
"210270 Cantanhede";-;11;10;8;-;-;-;1;-;-;-;-;30
"210275 Capinzal do Norte";-;-;-;-;1;-;-;-;-;-;-;-;1
"210280 Carolina";18;5;29;11;14;1;-;-;-;-;-;5;83
"210300 Caxias";5;7;28;30;8;7;2;-;-;1;-;1;89
"210310 Cedral";-;-;-;2;-;1;-;-;2;-;-;-;5
"210312 Central do Maranhão";-;-;-;-;-;-;-;-;-;-;1;-;1
"210315 Centro do Guilherme";-;-;-;1;1;-;-;-;-;-;-;-;2
"210320 Chapadinha";3;3;5;5;-;-;1;-;-;2;2;-;21
"210325 Cidelândia";20;12;20;6;-;-;1;-;-;1;-;5;65
"210330 Codó";1;-;2;1;1;-;-;1;-;1;-;-;7
"210340 Coelho Neto";2;1;1;8;2;-;-;-;-;-;-;-;14
"210350 Colinas";-;1;-;2;2;-;-;-;-;1;1;2;9
"210360 Coroatá";3;1;1;5;3;4;2;-;-;-;-;1;20
"210370 Cururupu";-;1;-;-;3;-;-;-;-;-;-;1;5
"210375 Davinópolis";3;1;3;2;1;-;-;-;-;-;-;-;10
"210380 Dom Pedro";-;1;1;2;1;3;2;-;-;-;-;-;10
"210390 Duque Bacelar";-;1;-;-;4;-;-;-;-;1;-;-;6
"210400 Esperantinópolis";-;1;-;1;-;-;-;1;1;-;-;-;4
"210405 Estreito";27;84;28;19;3;-;-;-;-;-;-;-;161
"210407 Feira Nova do Maranhão";-;-;17;1;-;-;-;-;-;-;-;2;20
"210408 Fernando Falcão";-;1;-;-;-;-;-;-;-;-;-;-;1
"210409 Formosa da Serra Negra";6;10;8;20;2;3;3;-;-;-;-;3;55
"210410 Fortaleza dos Nogueiras";4;1;2;4;-;-;-;-;-;-;-;-;11
"210440 Gonçalves Dias";-;-;9;6;2;-;-;-;-;-;-;-;17
"210450 Governador Archer";-;4;10;1;-;-;-;-;-;-;-;-;15
"210455 Governador Edison Lobão";-;3;4;2;2;-;-;-;-;-;-;-;11
"210460 Governador Eugênio Barros";4;2;4;-;-;-;-;-;-;-;-;-;10
