"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";6;6;1;1;-;-;-;-;1;-;1;2;18
"510020 Água Boa";47;27;43;67;31;13;2;-;-;1;15;4;250
"510025 Alta Floresta";402;300;202;170;58;57;41;28;33;28;63;44;1426
"510030 Alto Araguaia";3;13;22;12;6;2;-;-;-;-;-;-;58
"510035 Alto Boa Vista";5;2;5;5;-;-;-;-;-;-;-;6;23
"510040 Alto Garças";41;6;14;7;12;3;-;2;2;-;5;-;92
"510050 Alto Paraguai";30;14;8;8;5;-;-;-;-;-;-;-;65
"510060 Alto Taquari";30;20;8;5;2;-;-;-;-;-;-;1;66
"510080 Apiacás";1;1;1;2;4;1;-;-;-;-;-;-;10
"510100 Araguaiana";31;8;3;3;-;-;-;-;-;-;1;1;47
"510125 Araputanga";20;20;13;11;4;4;1;-;2;2;11;5;93
"510130 Arenápolis";10;2;2;2;-;-;-;-;1;2;2;2;23
"510140 Aripuanã";22;20;21;15;9;3;4;-;8;4;16;4;126
"510160 Barão de Melgaço";2;-;-;-;1;-;-;-;-;-;-;-;3
"510170 Barra do Bugres";114;79;13;14;3;-;-;-;-;-;-;5;228
"510180 Barra do Garças";220;357;255;99;20;2;4;3;4;1;9;18;992
"510185 Bom Jesus do Araguaia";5;9;4;8;5;-;-;-;-;-;-;-;31
"510190 Brasnorte";36;10;6;11;7;3;1;1;3;6;5;9;98
"510250 Cáceres";251;154;89;30;9;4;4;1;3;1;11;25;582
"510260 Campinápolis";5;7;4;2;2;-;-;-;-;-;-;-;20
"510263 Campo Novo do Parecis";189;156;249;419;135;24;4;2;1;3;8;7;1197
"510267 Campo Verde";260;113;57;59;9;3;3;-;2;2;4;42;554
"510268 Campos de Júlio";44;34;38;19;2;7;9;1;1;-;2;1;158
"510269 Canabrava do Norte";6;7;12;6;2;-;-;-;-;-;1;-;34
"510270 Canarana";32;41;46;53;22;4;-;-;-;-;2;1;201
"510279 Carlinda";32;59;18;8;-;2;1;1;2;-;1;-;124
"510285 Castanheira";31;14;6;6;5;-;-;-;-;1;1;-;64
"510300 Chapada dos Guimarães";5;5;9;1;1;-;-;-;-;-;1;2;24
"510305 Cláudia";23;12;17;19;6;4;6;-;1;-;1;-;89
"510320 Colíder";31;175;108;25;46;10;15;4;8;7;10;8;447
"510325 Colniza";31;26;18;9;9;-;-;-;-;2;36;39;170
"510330 Comodoro";97;87;55;38;24;6;12;6;3;5;8;15;356
"510335 Confresa";124;46;58;40;10;7;-;1;-;1;5;2;294
"510336 Conquista D'Oeste";2;1;-;-;-;1;-;-;-;-;-;-;4
"510337 Cotriguaçu";4;11;12;1;-;-;-;-;-;-;-;2;30
