"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";-;18;7;-;-;-;-;-;-;-;-;-;-;25
"510020 Água Boa";-;11;56;195;49;-;4;1;1;-;1;-;1;319
"510025 Alta Floresta";-;616;695;271;86;15;15;3;10;13;24;50;101;1899
"510030 Alto Araguaia";-;50;64;41;12;-;-;-;1;-;1;-;-;169
"510035 Alto Boa Vista";-;3;14;8;1;1;-;-;-;-;-;-;-;27
"510040 Alto Garças";-;-;16;9;3;-;-;-;-;1;-;3;2;34
"510050 Alto Paraguai";-;4;4;5;2;1;1;-;-;-;-;-;-;17
"510060 Alto Taquari";-;-;7;13;2;-;-;-;-;-;-;2;-;24
"510080 Apiacás";-;3;2;1;-;-;-;-;-;-;-;-;-;6
"510100 Araguaiana";-;-;3;-;1;-;-;-;-;-;2;2;2;10
"510120 Araguainha";-;8;3;1;1;-;-;-;-;-;-;-;1;14
"510125 Araputanga";-;22;12;8;3;1;1;-;-;-;-;-;-;47
"510130 Arenápolis";-;16;-;-;1;-;-;-;-;-;-;1;2;20
"510140 Aripuanã";-;208;198;38;5;6;3;1;1;14;5;16;42;537
"510170 Barra do Bugres";-;4;5;3;3;1;-;-;1;-;-;-;-;17
"510180 Barra do Garças";-;192;134;61;20;6;3;1;6;4;5;5;16;453
"510185 Bom Jesus do Araguaia";-;50;52;10;3;2;-;-;-;-;-;-;4;121
"510190 Brasnorte";-;10;9;3;1;1;-;1;-;-;-;1;4;30
"510250 Cáceres";-;1;5;5;2;3;7;2;-;-;-;3;7;35
"510260 Campinápolis";-;5;6;-;-;-;-;-;-;-;-;6;3;20
"510263 Campo Novo do Parecis";1;42;21;4;3;1;-;-;-;-;-;3;2;77
"510267 Campo Verde";-;152;151;44;33;12;4;5;1;-;3;6;17;428
"510268 Campos de Júlio";-;21;14;16;17;2;-;-;-;-;-;-;-;70
"510269 Canabrava do Norte";-;1;26;25;14;1;-;-;-;-;-;-;-;67
"510270 Canarana";-;57;133;132;22;6;3;2;-;-;2;-;6;363
"510279 Carlinda";-;74;37;9;-;-;-;-;-;-;2;5;2;129
"510285 Castanheira";-;19;7;9;1;6;1;-;-;-;-;2;3;48
"510300 Chapada dos Guimarães";-;12;2;3;-;-;-;-;-;-;-;-;1;18
"510305 Cláudia";-;1;4;-;3;-;-;-;-;1;-;2;3;14
"510310 Cocalinho";-;5;8;14;5;2;-;-;-;-;-;-;4;38
"510320 Colíder";-;96;275;183;54;20;6;2;-;-;3;8;13;660
"510325 Colniza";-;84;57;32;30;20;11;7;6;22;57;179;194;699
"510330 Comodoro";-;68;31;6;5;2;1;-;2;-;-;-;3;118
"510335 Confresa";-;26;49;18;7;-;1;-;-;-;-;-;1;102
"510337 Cotriguaçu";-;105;19;6;7;3;2;-;-;-;1;4;12;159
"510340 Cuiabá";-;467;369;132;141;95;75;77;147;139;114;122;244;2122
"510343 Curvelândia";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"510350 Diamantino";-;1;1;-;-;-;-;-;-;-;-;1;-;3
"510360 Dom Aquino";-;3;1;2;1;-;-;-;-;-;1;1;-;9
"510370 Feliz Natal";-;7;22;11;9;3;1;1;4;4;8;1;-;71
"510380 Figueirópolis D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"510385 Gaúcha do Norte";-;16;-;-;-;-;-;-;-;-;-;-;6;22
"510390 General Carneiro";-;30;18;9;-;1;-;1;-;-;-;-;3;62
"510395 Glória D'Oeste";-;2;-;-;-;-;-;-;-;-;-;-;7;9
"510410 Guarantã do Norte";-;438;216;42;6;2;1;1;2;6;3;4;33;754
"510420 Guiratinga";-;5;8;4;-;-;-;-;-;2;-;2;-;21
"510450 Indiavaí";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"510452 Ipiranga do Norte";-;16;15;9;24;24;20;2;-;-;-;-;-;110
"510454 Itanhangá";-;2;19;21;10;8;3;3;1;-;-;1;1;69
"510455 Itaúba";-;25;46;29;6;2;-;-;-;1;3;-;1;113
"510460 Itiquira";-;58;54;44;10;4;-;2;-;2;1;5;1;181
"510480 Jaciara";-;121;183;54;28;7;-;-;-;-;-;1;5;399
"510500 Jauru";-;10;3;2;5;2;-;-;-;-;-;1;2;25
"510510 Juara";-;167;270;65;18;6;-;-;1;3;6;4;6;546
"510515 Juína";-;323;229;47;28;12;6;4;2;5;2;7;62;727
"510517 Juruena";-;39;8;1;-;-;-;-;-;-;-;-;6;54
"510520 Juscimeira";-;1;14;13;2;1;3;1;-;-;-;-;-;35
"510525 Lucas do Rio Verde";-;38;28;16;2;1;1;-;-;2;-;3;33;124
"510558 Marcelândia";-;80;79;23;12;2;-;-;-;-;4;11;4;215
"510560 Matupá";-;153;77;17;11;5;1;-;2;5;13;18;26;328
"510562 Mirassol d'Oeste";-;57;31;5;-;3;-;2;1;-;1;1;3;104
"510590 Nobres";-;2;1;-;1;-;-;-;-;-;-;-;-;4
"510600 Nortelândia";-;16;9;3;2;-;-;-;-;-;-;-;1;31
"510610 Nossa Senhora do Livramento";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"510615 Nova Bandeirantes";-;13;-;-;-;-;-;-;-;-;-;1;-;14
"510620 Nova Brasilândia";-;1;6;1;-;-;-;-;-;-;-;-;2;10
"510621 Nova Canaã do Norte";-;3;51;36;15;4;3;1;-;-;-;1;-;114
"510880 Nova Guarita";-;72;39;11;-;-;-;-;-;-;-;-;12;134
"510618 Nova Lacerda";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"510890 Nova Maringá";-;4;2;-;-;-;-;-;-;1;1;-;-;8
"510895 Nova Monte Verde";-;15;32;18;12;2;3;-;-;-;3;14;30;129
"510622 Nova Mutum";-;75;73;49;14;3;-;2;-;1;-;-;5;222
"510617 Nova Nazaré";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"510623 Nova Olímpia";-;5;11;5;-;-;-;-;-;-;1;1;-;23
"510619 Nova Santa Helena";-;31;45;21;5;5;-;-;-;1;-;1;-;109
"510624 Nova Ubiratã";-;17;20;13;3;9;4;3;1;-;4;7;10;91
"510625 Nova Xavantina";-;63;64;17;2;1;-;-;-;-;-;2;-;149
"510627 Novo Horizonte do Norte";-;9;10;10;2;1;-;-;-;-;1;1;4;38
"510626 Novo Mundo";-;52;69;28;1;-;-;-;1;-;-;-;4;155
"510631 Novo Santo Antônio";-;1;1;1;-;-;-;-;-;-;-;-;1;4
"510628 Novo São Joaquim";-;11;6;2;-;-;1;-;-;1;-;-;3;24
"510629 Paranaíta";-;11;6;5;1;-;-;-;1;-;-;-;7;31
"510630 Paranatinga";-;82;62;36;7;2;1;-;-;6;8;2;1;207
"510637 Pedra Preta";-;1;3;1;-;-;-;1;-;-;-;-;-;6
"510642 Peixoto de Azevedo";-;264;181;100;40;18;7;1;1;-;1;4;19;636
"510645 Planalto da Serra";-;14;55;-;-;-;-;1;-;-;-;-;1;71
"510650 Poconé";-;6;9;7;4;2;1;-;-;1;-;1;6;37
"510665 Pontal do Araguaia";-;19;1;-;-;-;-;-;1;-;-;3;1;25
"510670 Ponte Branca";-;-;2;4;1;1;-;-;-;-;-;-;-;8
"510675 Pontes e Lacerda";-;105;76;70;26;14;-;2;4;4;9;6;7;323
"510677 Porto Alegre do Norte";-;6;78;55;42;7;-;1;-;-;-;-;-;189
"510680 Porto dos Gaúchos";-;12;1;2;-;-;-;-;-;-;-;1;4;20
"510682 Porto Esperidião";-;-;3;-;-;-;-;-;-;-;-;-;-;3
"510685 Porto Estrela";-;7;-;-;-;-;-;-;-;-;-;-;-;7
"510700 Poxoréo";-;13;7;4;4;-;-;-;-;-;-;-;2;30
"510704 Primavera do Leste";-;185;304;69;32;17;5;-;-;-;-;3;18;633
"510706 Querência";-;6;53;57;30;9;-;1;-;1;-;-;-;157
"510715 Reserva do Cabaçal";-;35;9;9;-;-;-;-;-;-;1;-;1;55
"510718 Ribeirão Cascalheira";-;26;17;3;1;-;-;-;-;-;1;1;11;60
"510719 Ribeirãozinho";-;4;11;12;3;-;-;2;-;1;1;2;-;36
"510720 Rio Branco";-;31;5;2;-;-;-;-;-;-;1;-;3;42
"510757 Rondolândia";-;5;19;1;1;-;-;-;-;-;-;-;-;26
"510760 Rondonópolis";-;34;87;76;17;3;-;-;-;-;2;4;4;227
"510770 Rosário Oeste";-;6;3;1;1;1;-;-;-;-;-;-;2;14
"510775 Salto do Céu";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"510724 Santa Carmem";-;2;9;-;1;-;1;-;1;-;-;2;-;16
"510774 Santa Cruz do Xingu";-;-;-;2;1;-;-;-;-;-;-;1;-;4
"510776 Santa Rita do Trivelato";-;25;2;-;-;-;-;-;-;-;-;-;-;27
"510726 Santo Afonso";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"510779 Santo Antônio do Leste";-;4;8;5;1;2;-;-;-;1;2;-;-;23
"510780 Santo Antônio do Leverger";-;1;13;1;-;-;1;-;-;-;-;-;2;18
"510785 São Félix do Araguaia";-;6;46;21;-;-;-;1;-;-;-;-;-;74
"510729 São José do Povo";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"510730 São José do Rio Claro";-;1;5;10;4;-;-;1;-;-;-;-;-;21
"510735 São José do Xingu";-;11;45;19;2;-;-;-;-;-;-;-;9;86
"510710 São José dos Quatro Marcos";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"510740 São Pedro da Cipa";-;2;-;-;-;-;-;-;-;-;-;-;1;3
"510787 Sapezal";-;5;22;10;3;-;-;-;-;-;-;-;-;40
"510788 Serra Nova Dourada";-;6;2;-;-;-;-;-;-;-;-;-;1;9
"510790 Sinop";-;387;371;169;102;65;29;43;31;13;17;39;94;1360
"510792 Sorriso";-;168;153;60;12;1;-;1;3;2;5;4;22;431
"510794 Tabaporã";-;45;52;31;55;8;9;1;-;-;1;4;11;217
"510795 Tangará da Serra";-;80;62;28;7;1;4;3;1;1;2;9;6;204
"510800 Tapurah";-;61;110;66;24;9;1;3;-;1;-;-;5;280
