"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510020 Água Boa";1;1;1;1;4;5;4;9;2;1;1;2;32
"510025 Alta Floresta";21;19;19;13;5;1;7;6;3;5;22;13;134
"510030 Alto Araguaia";1;-;4;19;57;15;3;1;-;-;12;12;124
"510035 Alto Boa Vista";-;-;-;-;-;-;-;-;-;1;16;10;27
"510050 Alto Paraguai";-;-;1;-;1;-;-;-;-;-;-;-;2
"510060 Alto Taquari";-;-;-;-;2;2;-;-;-;-;-;2;6
"510100 Araguaiana";-;-;2;1;-;1;-;-;-;-;-;1;5
"510125 Araputanga";2;-;-;1;1;2;2;-;-;-;-;2;10
"510130 Arenápolis";1;7;32;44;3;-;-;-;-;-;-;-;87
"510140 Aripuanã";3;3;2;2;5;2;-;-;-;-;4;4;25
"510170 Barra do Bugres";1;6;15;8;17;4;4;2;-;-;-;-;57
"510180 Barra do Garças";6;1;8;17;12;15;6;11;7;15;34;59;191
"510185 Bom Jesus do Araguaia";7;22;59;52;27;11;6;13;4;2;11;9;223
"510190 Brasnorte";3;1;4;4;5;1;-;-;-;-;-;1;19
"510250 Cáceres";16;41;22;11;2;1;-;-;1;-;14;30;138
"510260 Campinápolis";-;-;-;1;1;-;-;1;-;-;-;-;3
"510263 Campo Novo do Parecis";5;6;7;12;9;2;4;-;3;2;2;4;56
"510267 Campo Verde";1;3;2;2;3;1;4;2;1;1;2;5;27
"510268 Campos de Júlio";-;21;11;9;12;1;2;-;1;-;1;2;60
"510270 Canarana";4;6;11;16;9;8;-;-;1;7;6;5;73
"510279 Carlinda";-;-;-;3;2;-;-;-;-;1;1;-;7
"510300 Chapada dos Guimarães";2;7;4;3;-;-;-;-;-;-;1;-;17
"510305 Cláudia";-;-;-;-;-;1;-;1;1;-;2;4;9
"510310 Cocalinho";8;12;19;13;7;2;3;-;-;-;-;3;67
"510320 Colíder";-;-;1;-;3;-;-;-;-;-;-;-;4
"510325 Colniza";10;11;8;21;14;5;4;-;5;2;1;3;84
"510330 Comodoro";1;-;1;-;3;2;2;1;-;-;2;-;12
"510335 Confresa";2;8;18;38;36;25;14;24;7;3;17;33;225
"510336 Conquista D'Oeste";1;-;-;-;-;-;-;-;-;-;-;-;1
"510337 Cotriguaçu";4;1;1;-;1;-;-;-;1;-;-;-;8
"510340 Cuiabá";328;475;356;189;71;35;49;41;17;27;29;54;1671
"510350 Diamantino";2;2;2;3;-;-;-;-;-;-;1;1;11
"510360 Dom Aquino";-;2;-;1;-;-;-;-;-;-;-;-;3
"510370 Feliz Natal";-;-;-;2;4;2;-;-;-;1;2;1;12
"510385 Gaúcha do Norte";-;1;3;17;49;19;6;1;5;1;1;7;110
"510390 General Carneiro";-;-;1;-;-;1;1;-;-;-;-;2;5
"510395 Glória D'Oeste";-;-;-;-;-;-;-;-;-;-;2;-;2
"510410 Guarantã do Norte";-;1;1;-;-;-;-;-;1;-;1;1;5
"510420 Guiratinga";1;-;-;-;-;-;-;-;-;-;-;-;1
"510454 Itanhangá";-;-;-;-;-;-;-;-;-;-;2;1;3
"510455 Itaúba";-;-;1;-;-;-;-;-;-;-;-;1;2
"510460 Itiquira";1;-;-;-;-;-;-;-;-;-;-;-;1
"510480 Jaciara";4;6;-;4;-;2;2;2;-;-;1;1;22
"510490 Jangada";4;5;1;-;-;-;-;-;-;-;-;2;12
"510500 Jauru";1;-;-;-;-;-;-;-;-;-;-;-;1
"510510 Juara";1;-;6;11;6;2;1;-;-;1;2;1;31
"510515 Juína";3;3;-;2;-;1;-;-;-;-;-;1;10
"510517 Juruena";-;-;-;-;-;1;-;-;-;-;-;-;1
"510520 Juscimeira";-;-;3;-;-;-;-;1;-;-;-;-;4
"510525 Lucas do Rio Verde";1;4;5;6;4;5;2;-;1;1;1;1;31
"510558 Marcelândia";1;1;1;-;-;-;1;-;-;-;1;-;5
"510560 Matupá";9;9;11;3;2;-;-;-;-;3;6;2;45
