"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";39;59;40;32;7;5;5;12;7;10;11;6;233
"150013 Abel Figueiredo";10;6;1;-;2;4;1;-;-;1;-;-;25
"150020 Acará";-;3;3;1;1;-;1;-;-;-;-;-;9
"150030 Afuá";-;-;-;-;-;-;-;1;-;-;-;-;1
"150034 Água Azul do Norte";-;-;-;-;-;3;-;2;-;-;-;-;5
"150050 Almeirim";-;-;-;1;-;-;-;-;-;-;-;-;1
"150060 Altamira";90;162;359;99;57;44;21;27;39;19;32;35;984
"150070 Anajás";1;-;-;-;-;1;-;-;-;-;-;-;2
"150080 Ananindeua";114;88;65;19;11;11;18;13;12;7;11;14;383
"150085 Anapu";3;16;24;6;1;-;1;-;-;-;-;1;52
"150090 Augusto Corrêa";-;2;3;5;13;6;5;2;-;-;-;1;37
"150095 Aurora do Pará";-;2;6;1;3;-;-;-;-;-;-;1;13
"150110 Bagre";-;3;-;-;-;2;2;49;2;-;-;-;58
"150120 Baião";1;2;1;3;3;-;1;2;1;-;-;-;14
"150125 Bannach";1;1;-;-;-;-;-;-;-;-;-;-;2
"150130 Barcarena";15;14;15;7;9;14;11;7;8;8;7;9;124
"150140 Belém";394;386;428;232;146;86;69;52;33;35;33;70;1964
"150145 Belterra";-;1;1;7;4;1;-;3;1;-;2;1;21
"150150 Benevides";24;24;39;10;26;18;10;8;1;3;1;3;167
"150157 Bom Jesus do Tocantins";2;2;3;1;-;-;-;-;-;-;-;-;8
"150160 Bonito";-;-;1;-;-;-;-;-;-;-;-;-;1
"150170 Bragança";7;9;11;19;16;20;21;17;4;12;4;4;144
"150172 Brasil Novo";21;26;28;19;29;4;3;-;-;-;-;1;131
"150175 Brejo Grande do Araguaia";9;17;2;-;-;-;-;-;-;1;-;-;29
"150178 Breu Branco";25;136;135;138;16;-;-;-;-;-;-;-;450
"150180 Breves";1;-;1;1;-;-;-;-;-;-;-;-;3
"150190 Bujaru";-;-;3;3;-;2;1;-;-;-;-;-;9
"150195 Cachoeira do Piriá";2;2;3;5;22;1;6;1;1;-;2;-;45
"150210 Cametá";38;71;69;19;18;8;7;9;17;1;3;3;263
"150215 Canaã dos Carajás";31;124;23;13;9;-;-;-;1;-;1;-;202
"150220 Capanema";33;15;16;5;2;-;5;-;2;-;-;1;79
"150230 Capitão Poço";1;1;5;1;1;2;5;4;-;-;3;1;24
"150240 Castanhal";52;36;42;50;37;20;12;14;4;6;2;5;280
"150250 Chaves";-;-;-;-;1;-;-;-;-;-;-;-;1
"150260 Colares";-;1;-;-;2;-;1;5;2;-;-;-;11
"150270 Conceição do Araguaia";21;24;22;9;9;2;2;1;3;4;6;9;112
"150275 Concórdia do Pará";3;1;-;-;1;1;1;1;3;-;-;-;11
"150276 Cumaru do Norte";-;-;3;-;-;-;1;-;-;-;-;-;4
"150277 Curionópolis";1;18;24;26;3;-;-;-;-;-;1;1;74
"150290 Curuçá";1;2;6;2;4;9;6;2;1;-;-;-;33
"150293 Dom Eliseu";3;2;2;-;4;4;-;-;-;-;-;2;17
"150295 Eldorado do Carajás";11;16;17;7;1;2;-;1;-;-;-;-;55
