"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";15;7;6;3;6;7;47;50;9;4;6;4;164
"150013 Abel Figueiredo";1;2;-;1;2;-;-;1;-;-;-;-;7
"150020 Acará";2;-;-;-;-;-;-;-;-;-;-;-;2
"150030 Afuá";1;-;-;-;-;-;-;-;-;-;-;-;1
"150034 Água Azul do Norte";32;68;29;19;26;-;-;-;-;1;-;-;175
"150040 Alenquer";10;6;8;8;4;1;3;-;-;-;-;2;42
"150050 Almeirim";-;1;2;2;-;1;-;-;-;-;-;-;6
"150060 Altamira";2;6;8;3;2;4;9;2;4;4;1;6;51
"150070 Anajás";-;-;-;-;-;-;-;-;-;-;1;-;1
"150080 Ananindeua";4;18;20;9;5;2;-;2;-;4;2;3;69
"150085 Anapu";381;193;13;-;-;-;-;-;-;-;-;7;594
"150090 Augusto Corrêa";-;-;1;1;1;1;-;-;-;-;-;-;4
"150095 Aurora do Pará";-;-;-;1;1;-;1;2;1;-;-;-;6
"150120 Baião";-;-;-;-;-;1;-;-;-;-;-;-;1
"150125 Bannach";5;5;2;-;-;-;-;-;-;-;-;1;13
"150130 Barcarena";-;2;2;-;-;-;2;14;8;-;5;2;35
"150140 Belém";20;39;27;11;18;11;9;20;24;30;52;42;303
"150145 Belterra";1;1;-;-;1;-;2;3;-;1;-;-;9
"150150 Benevides";-;-;-;-;-;-;-;-;-;1;-;1;2
"150157 Bom Jesus do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;1
"150160 Bonito";-;2;1;-;-;-;-;-;-;-;-;-;3
"150170 Bragança";3;1;1;6;18;1;-;1;-;1;-;-;32
"150172 Brasil Novo";2;-;2;-;1;-;-;-;-;-;-;1;6
"150175 Brejo Grande do Araguaia";1;-;2;-;1;-;-;-;-;-;-;-;4
"150178 Breu Branco";75;115;151;-;1;-;1;1;-;-;-;-;344
"150195 Cachoeira do Piriá";-;11;9;-;-;-;-;-;2;1;-;-;23
"150210 Cametá";1;1;3;-;-;2;2;-;6;4;-;-;19
"150215 Canaã dos Carajás";10;6;3;3;-;-;1;-;-;1;1;5;30
"150220 Capanema";-;1;1;1;1;2;1;2;3;2;4;1;19
"150230 Capitão Poço";5;23;26;-;3;4;6;3;16;23;33;6;148
"150240 Castanhal";5;15;9;4;4;5;2;1;1;2;4;3;55
"150260 Colares";-;-;-;-;-;-;1;-;-;1;-;1;3
"150270 Conceição do Araguaia";34;49;37;11;1;1;-;1;-;-;2;5;141
"150276 Cumaru do Norte";-;10;1;1;-;-;-;-;-;-;-;1;13
"150277 Curionópolis";-;-;2;-;-;-;-;-;-;-;-;-;2
"150285 Curuá";-;-;-;-;-;-;-;-;-;1;-;-;1
"150290 Curuçá";-;-;-;-;-;3;1;1;-;-;-;-;5
"150293 Dom Eliseu";-;-;1;1;1;-;-;-;-;-;-;-;3
"150295 Eldorado do Carajás";1;-;-;-;-;-;-;-;-;-;-;-;1
"150304 Floresta do Araguaia";1;-;-;-;-;-;-;-;-;-;4;-;5
"150307 Garrafão do Norte";-;1;-;-;-;-;-;1;1;-;-;-;3
"150309 Goianésia do Pará";7;29;16;2;11;13;1;2;19;36;5;-;141
"150310 Gurupá";1;2;-;-;-;-;-;-;-;-;-;-;3
"150320 Igarapé-Açu";-;-;-;-;1;-;-;-;-;-;-;-;1
"150330 Igarapé-Miri";-;-;-;1;-;-;-;-;-;-;-;-;1
"150340 Inhangapi";-;1;-;1;1;-;-;-;-;1;-;1;5
"150345 Ipixuna do Pará";2;1;-;-;-;-;-;-;1;-;1;1;6
"150350 Irituia";-;-;2;1;-;-;-;1;-;-;-;1;5
"150360 Itaituba";8;13;10;2;2;2;1;-;-;3;1;3;45
"150370 Itupiranga";-;-;4;-;-;1;-;-;3;1;1;1;11
"150375 Jacareacanga";1;-;-;-;-;-;-;-;-;-;-;-;1
"150380 Jacundá";2;38;40;8;-;4;3;-;-;1;-;-;96
"150390 Juruti";-;1;4;10;-;3;-;-;-;-;-;-;18
"150400 Limoeiro do Ajuru";1;-;7;14;6;1;1;-;-;-;-;-;30
