"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";3;2;3;3;1;-;10;17;8;6;8;4;65
"110037 Alto Alegre dos Parecis";2;3;3;2;-;-;1;-;-;-;5;8;24
"110040 Alto Paraíso";-;1;1;3;8;8;4;2;1;5;4;5;42
"110034 Alvorada D'Oeste";4;2;6;1;4;1;12;2;3;2;6;41;84
"110002 Ariquemes";-;1;-;-;-;-;-;-;1;-;-;1;3
"110045 Buritis";4;4;2;3;-;3;3;3;4;2;-;-;28
"110003 Cabixi";1;4;5;8;11;-;2;8;1;1;3;6;50
"110060 Cacaulândia";-;-;-;-;-;-;-;1;-;-;-;-;1
"110004 Cacoal";1;2;1;1;2;2;1;-;1;-;3;4;18
"110070 Campo Novo de Rondônia";-;-;1;1;1;-;-;-;-;-;-;4;7
"110080 Candeias do Jamari";1;1;1;-;-;-;1;-;-;-;1;1;6
"110090 Castanheiras";-;-;-;-;-;-;2;-;-;-;-;-;2
"110005 Cerejeiras";21;21;18;11;5;6;6;-;2;-;9;11;110
"110092 Chupinguaia";-;3;-;2;2;4;11;7;3;14;6;4;56
"110006 Colorado do Oeste";13;11;45;25;11;7;6;1;1;1;1;7;129
"110007 Corumbiara";4;13;18;13;-;4;2;1;-;-;-;4;59
"110008 Costa Marques";3;10;23;16;2;1;-;-;-;-;-;-;55
"110094 Cujubim";-;1;-;-;-;-;-;-;-;-;-;-;1
"110009 Espigão D'Oeste";1;1;3;3;2;-;2;7;6;6;11;16;58
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;-;2;-;2
"110010 Guajará-Mirim";3;17;36;12;21;24;14;16;28;35;78;93;377
"110110 Itapuã do Oeste";-;-;-;-;1;1;-;-;-;1;2;-;5
"110011 Jaru";2;22;5;34;18;5;3;-;-;3;6;8;106
"110012 Ji-Paraná";1;-;6;1;-;-;1;1;-;-;-;1;11
"110013 Machadinho D'Oeste";1;1;-;-;-;-;-;-;-;1;2;1;6
"110120 Ministro Andreazza";-;1;-;-;-;-;-;-;-;-;-;5;6
"110130 Mirante da Serra";2;2;2;-;-;-;-;-;-;-;1;6;13
"110140 Monte Negro";-;-;-;-;-;-;-;-;-;-;1;-;1
"110014 Nova Brasilândia D'Oeste";2;3;1;-;3;2;1;1;-;-;1;-;14
"110033 Nova Mamoré";1;-;-;-;-;-;-;-;2;1;-;8;12
"110143 Nova União";-;-;2;4;-;1;1;-;-;-;-;2;10
"110050 Novo Horizonte do Oeste";-;-;3;1;1;-;-;-;-;-;-;2;7
"110015 Ouro Preto do Oeste";-;1;5;-;-;-;1;-;-;1;-;1;9
"110145 Parecis";3;1;11;2;-;-;-;-;-;-;1;-;18
"110018 Pimenta Bueno";8;1;-;-;-;-;1;1;2;1;4;5;23
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;-;1;1
"110020 Porto Velho";21;10;19;9;4;2;2;4;4;7;38;33;153
"110025 Presidente Médici";3;2;-;1;-;-;-;-;-;-;-;1;7
"110026 Rio Crespo";-;-;1;-;-;-;-;-;-;1;-;-;2
"110028 Rolim de Moura";1;1;-;7;7;3;3;17;1;5;13;38;96
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;-;-;-;-;1;1
"110148 São Felipe D'Oeste";3;11;6;6;5;14;15;21;1;6;23;25;136
"110149 São Francisco do Guaporé";18;9;5;9;6;1;1;1;-;-;4;5;59
"110032 São Miguel do Guaporé";30;10;1;-;1;-;-;-;-;-;-;3;45
"110150 Seringueiras";-;9;40;2;-;-;-;-;-;-;-;-;51
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;1;3;2;6;12
"110160 Theobroma";-;1;-;-;-;-;-;-;-;-;-;1;2
"110170 Urupá";1;9;-;4;-;-;-;-;-;-;3;3;20
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;-;1;1
"110180 Vale do Paraíso";-;-;2;-;-;-;-;-;-;-;-;1;3
"110030 Vilhena";108;109;99;111;173;204;106;67;21;68;68;73;1207
"110000 Município ignorado - RO";-;-;1;-;-;-;-;-;-;-;-;-;1
"Total";266;300;375;295;289;293;212;178;91;170;306;440;3215
