"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;2;1;2;2;40;83;30;5;17;21;28;231
"110037 Alto Alegre dos Parecis";-;-;-;1;-;-;-;-;1;-;12;23;37
"110040 Alto Paraíso";1;-;-;-;-;-;-;-;-;1;2;1;5
"110002 Ariquemes";-;-;-;2;3;3;2;-;-;-;10;8;28
"110045 Buritis";3;11;13;15;7;12;8;3;2;2;5;19;100
"110003 Cabixi";-;1;-;5;15;10;5;1;9;14;23;8;91
"110004 Cacoal";2;3;3;4;4;3;1;1;2;2;1;7;33
"110070 Campo Novo de Rondônia";-;1;2;6;1;-;1;-;-;-;-;1;12
"110080 Candeias do Jamari";2;3;2;-;-;-;-;-;-;-;-;-;7
"110090 Castanheiras";-;-;-;-;-;1;-;2;-;-;-;-;3
"110005 Cerejeiras";-;2;3;-;1;-;1;1;-;3;2;1;14
"110006 Colorado do Oeste";3;1;-;-;1;-;-;1;-;1;1;3;11
"110007 Corumbiara";-;-;-;1;-;1;-;1;-;2;1;-;6
"110008 Costa Marques";-;-;-;-;-;-;-;1;1;-;-;-;2
"110094 Cujubim";1;-;2;-;-;-;1;1;-;-;-;2;7
"110009 Espigão D'Oeste";2;1;1;4;-;2;2;1;-;-;-;-;13
"110010 Guajará-Mirim";-;2;2;-;1;-;1;1;-;-;1;-;8
"110110 Itapuã do Oeste";-;1;1;-;1;-;-;-;-;-;-;1;4
"110011 Jaru";2;-;-;-;3;2;-;-;-;-;-;3;10
"110012 Ji-Paraná";1;2;2;8;-;-;1;-;-;-;-;-;14
"110013 Machadinho D'Oeste";-;-;1;-;-;-;-;-;-;-;-;1;2
"110120 Ministro Andreazza";-;-;1;-;-;-;-;-;-;-;-;-;1
"110140 Monte Negro";-;1;4;4;2;1;-;-;-;-;1;-;13
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;1;5;1;3;3;8;21
"110033 Nova Mamoré";1;1;-;15;-;-;1;-;-;-;2;9;29
"110143 Nova União";1;-;-;-;-;-;-;-;-;-;-;-;1
"110050 Novo Horizonte do Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;2;1;2;-;1;-;-;1;2;3;2;14
"110018 Pimenta Bueno";-;-;-;-;3;-;-;2;-;1;3;2;11
"110146 Pimenteiras do Oeste";-;-;-;1;-;-;-;-;-;-;2;1;4
"110020 Porto Velho";13;11;9;11;14;16;16;6;5;15;25;39;180
"110025 Presidente Médici";2;1;-;1;-;-;9;-;2;1;4;4;24
"110147 Primavera de Rondônia";-;-;1;-;-;-;-;-;-;-;-;1;2
"110028 Rolim de Moura";-;-;-;1;-;-;-;-;-;1;1;2;5
"110148 São Felipe D'Oeste";-;-;-;-;1;1;-;-;-;-;-;-;2
"110149 São Francisco do Guaporé";-;-;1;2;-;2;1;-;-;1;1;-;8
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;-;-;1;-;-;1
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;2;-;2
"110180 Vale do Paraíso";-;-;4;-;-;-;-;-;-;-;-;-;4
"110030 Vilhena";2;1;-;-;1;1;1;-;-;-;4;4;14
"Total";36;47;55;85;60;96;135;57;29;67;130;178;975
