"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";1;1;-;-;2;1;1;-;-;1;-;-;7
"140002 Amajari";5;3;5;2;-;1;9;2;-;-;-;-;27
"140010 Boa Vista";17;21;20;11;23;13;16;19;43;30;25;16;254
"140015 Bonfim";1;2;4;-;3;2;1;1;-;1;3;-;18
"140017 Cantá";1;-;2;3;-;12;22;4;3;1;3;-;51
"140020 Caracaraí";17;13;6;-;30;13;3;3;9;10;14;7;125
"140023 Caroebe";-;1;-;2;2;-;-;-;2;-;-;1;8
"140028 Iracema";1;1;-;6;14;22;17;14;9;-;2;-;86
"140030 Mucajaí";1;-;1;5;4;2;4;4;-;-;3;2;26
"140040 Normandia";-;-;-;1;2;-;-;-;2;3;1;-;9
"140045 Pacaraima";-;-;1;-;1;1;-;-;1;-;-;-;4
"140047 Rorainópolis";9;10;13;22;45;52;26;31;40;37;13;14;312
"140060 São Luiz";1;-;1;-;-;-;-;1;1;1;-;-;5
"140070 Uiramutã";-;-;-;-;3;-;-;-;-;-;-;2;5
"Total";54;52;53;52;129;119;99;79;110;84;64;42;937
