"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140002 Amajari";-;-;-;-;1;-;1;-;1;1;-;-;4
"140010 Boa Vista";12;8;21;27;40;29;27;16;6;6;6;4;202
"140015 Bonfim";-;-;-;-;1;3;2;-;-;-;1;2;9
"140017 Cantá";-;-;-;-;-;-;-;1;1;-;-;-;2
"140020 Caracaraí";-;1;1;1;-;-;1;-;-;-;1;-;5
"140028 Iracema";-;-;-;-;2;-;-;1;-;-;-;-;3
"140030 Mucajaí";-;-;-;-;-;3;3;2;3;2;-;-;13
"140047 Rorainópolis";-;3;2;5;4;1;2;1;1;-;-;1;20
"140050 São João da Baliza";-;-;9;6;4;3;-;-;-;1;-;-;23
"140060 São Luiz";-;-;-;-;-;-;2;-;-;-;-;-;2
"Total";12;12;33;39;52;39;38;21;12;10;8;7;283
