"Município de notificação";"Jan";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";-;-;-;-;-;-;-;-;-;-;1;1
"140010 Boa Vista";1;1;-;2;5;3;13;9;22;10;9;75
"140015 Bonfim";-;-;-;-;1;-;-;-;-;-;-;1
"140020 Caracaraí";-;-;-;-;1;-;-;-;-;-;-;1
"140030 Mucajaí";-;1;-;-;-;-;-;-;-;1;1;3
"140040 Normandia";-;-;-;-;-;2;1;-;-;-;-;3
"140045 Pacaraima";-;-;-;-;-;-;-;-;-;1;-;1
"140047 Rorainópolis";-;-;1;-;2;7;12;-;-;-;-;22
"140050 São João da Baliza";-;-;-;-;-;-;3;-;-;-;1;4
"Total";1;2;1;2;9;12;29;9;22;12;12;111
