"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"170025 Abreulândia";2;4;2;10;-;-;-;-;-;-;-;-;18
"170030 Aguiarnópolis";-;1;2;-;1;-;-;-;-;-;1;-;5
"170035 Aliança do Tocantins";-;-;1;-;-;-;-;-;-;-;-;4;5
"170100 Ananás";2;5;2;1;1;2;-;-;-;-;-;-;13
"170110 Aparecida do Rio Negro";1;-;2;11;8;3;-;-;-;1;2;8;36
"170130 Aragominas";2;-;-;-;-;-;-;-;-;-;-;-;2
"170190 Araguacema";1;-;11;1;-;1;-;-;-;-;2;1;17
"170200 Araguaçu";2;-;4;-;4;13;3;2;3;21;30;86;168
"170210 Araguaína";63;63;40;49;12;8;7;-;1;1;2;9;255
"170215 Araguanã";1;1;-;-;-;1;-;-;-;-;-;-;3
"170220 Araguatins";-;2;-;-;-;1;-;-;1;-;1;-;5
"170230 Arapoema";7;-;7;3;2;-;-;-;-;3;2;10;34
"170240 Arraias";-;-;1;-;10;5;-;2;2;1;6;6;33
"170255 Augustinópolis";12;14;36;10;10;2;1;-;2;-;1;1;89
"170270 Aurora do Tocantins";-;-;-;-;-;-;1;-;-;-;-;1;2
"170290 Axixá do Tocantins";2;-;4;1;1;-;-;-;-;-;1;-;9
"170300 Babaçulândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"170305 Bandeirantes do Tocantins";-;-;-;7;7;-;-;-;-;-;-;-;14
"170307 Barra do Ouro";-;-;5;2;1;-;-;-;-;-;-;-;8
"170310 Barrolândia";4;1;3;2;-;2;-;-;-;-;-;1;13
"170320 Bernardo Sayão";-;-;7;16;-;-;-;-;-;-;-;-;23
"170330 Bom Jesus do Tocantins";1;-;-;-;2;-;-;-;-;-;-;-;3
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;-;-;-;-;1;1;2
"170370 Brejinho de Nazaré";-;-;-;-;1;-;-;-;-;-;-;-;1
"170380 Buriti do Tocantins";-;-;-;-;1;-;-;-;-;1;-;-;2
"170382 Cachoeirinha";2;2;1;-;-;1;-;-;-;-;-;-;6
"170384 Campos Lindos";2;6;5;2;9;2;-;2;1;2;9;10;50
"170386 Cariri do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"170388 Carmolândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"170389 Carrasco Bonito";-;1;5;-;2;1;-;-;-;-;3;-;12
"170390 Caseara";-;-;2;-;-;-;-;1;-;-;-;1;4
"170410 Centenário";6;1;-;1;-;-;-;1;-;-;-;1;10
"170510 Chapada da Natividade";-;2;-;-;1;-;-;-;-;-;-;-;3
"170460 Chapada de Areia";1;-;-;-;-;-;1;-;-;1;9;1;13
"170550 Colinas do Tocantins";13;21;20;11;28;18;3;4;-;4;5;16;143
"171670 Colméia";-;-;-;-;2;3;-;-;-;2;-;-;7
"170555 Combinado";-;-;1;-;-;-;-;-;-;-;-;-;1
"170560 Conceição do Tocantins";-;-;-;-;-;2;-;-;-;-;-;-;2
"170600 Couto Magalhães";3;1;-;-;1;-;-;-;-;-;-;-;5
"170625 Crixás do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"170650 Darcinópolis";-;-;-;-;-;-;-;-;-;-;2;-;2
"170700 Dianópolis";1;-;-;1;-;-;-;-;-;-;-;-;2
"170710 Divinópolis do Tocantins";1;-;-;1;-;-;-;-;1;-;-;-;3
"170720 Dois Irmãos do Tocantins";1;6;-;-;2;1;-;-;-;-;-;1;11
"170730 Dueré";3;1;-;-;1;-;-;2;-;-;3;7;17
"170740 Esperantina";-;2;2;-;-;-;-;-;-;-;-;-;4
"170755 Fátima";-;-;-;1;-;-;-;-;-;-;-;1;2
"170820 Formoso do Araguaia";-;-;-;-;1;-;-;-;-;-;-;-;1
"170825 Fortaleza do Tabocão";1;-;-;-;-;-;-;-;-;-;-;3;4
"170830 Goianorte";20;8;-;-;-;-;-;-;-;-;-;-;28
"170900 Goiatins";2;-;5;-;1;-;-;-;-;-;-;-;8
"170930 Guaraí";48;20;19;2;3;-;-;-;-;1;2;2;97
"170950 Gurupi";4;1;2;3;3;1;-;1;-;-;5;10;30
"170980 Ipueiras";-;-;-;-;-;-;-;-;-;-;-;1;1
"171050 Itacajá";2;2;4;3;3;1;-;1;-;-;2;1;19
"171070 Itaguatins";-;8;22;4;4;7;-;-;-;-;2;-;47
"171090 Itapiratins";-;-;6;1;1;1;-;-;-;-;-;-;9
"171110 Itaporã do Tocantins";-;-;-;-;-;1;-;-;-;1;-;-;2
"171150 Jaú do Tocantins";1;-;-;-;-;1;-;-;-;-;-;2;4
"171180 Juarina";5;-;-;-;-;-;-;-;-;-;-;-;5
"171190 Lagoa da Confusão";-;-;-;1;-;-;-;-;-;-;-;-;1
"171195 Lagoa do Tocantins";-;-;-;-;2;-;-;-;-;-;1;-;3
"171200 Lajeado";-;-;-;1;2;-;1;1;-;-;3;-;8
"171215 Lavandeira";4;8;13;6;1;-;-;-;-;-;7;3;42
"171240 Lizarda";-;2;-;-;-;-;-;-;-;-;-;1;3
"171250 Marianópolis do Tocantins";-;1;1;1;2;-;-;-;-;-;-;-;5
"171280 Maurilândia do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"171320 Miracema do Tocantins";10;11;5;2;2;6;-;-;-;-;2;3;41
"171330 Miranorte";21;18;7;6;4;1;1;1;-;7;9;15;90
"171360 Monte do Carmo";2;7;-;14;24;9;3;-;-;-;-;2;61
"171370 Monte Santo do Tocantins";-;-;1;-;-;-;-;-;1;1;-;1;4
"171395 Muricilândia";-;-;-;-;-;1;-;-;-;1;-;-;2
"171420 Natividade";-;-;-;-;-;1;1;-;-;-;-;-;2
"171488 Nova Olinda";1;-;-;-;-;-;-;-;-;-;-;-;1
"171500 Nova Rosalândia";3;6;-;2;-;-;-;1;-;2;-;-;14
"171510 Novo Acordo";-;1;-;-;-;1;-;-;-;-;-;-;2
"171515 Novo Alegre";-;-;1;-;-;-;-;-;-;-;-;-;1
"171525 Novo Jardim";-;-;1;6;4;1;-;-;1;2;-;-;15
"171550 Oliveira de Fátima";-;-;1;1;-;-;-;-;-;-;-;-;2
"172100 Palmas";78;70;122;134;168;181;127;86;82;44;143;234;1469
"171570 Palmeirante";-;-;-;-;1;-;-;-;-;-;-;-;1
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;1
"171575 Palmeirópolis";-;1;2;1;1;-;-;-;-;-;-;-;5
"171610 Paraíso do Tocantins";4;3;4;3;5;5;4;5;2;7;16;18;76
"171620 Paranã";-;-;5;2;-;-;-;-;-;-;2;-;9
"171630 Pau D'Arco";2;3;-;-;-;-;-;-;-;-;-;1;6
"171650 Pedro Afonso";2;1;3;2;1;3;-;-;-;-;-;-;12
"171660 Peixe";1;-;-;-;-;-;-;-;-;-;-;-;1
"171665 Pequizeiro";1;8;11;-;1;2;-;-;-;-;1;-;24
"171700 Pindorama do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"171750 Pium";-;-;-;-;-;1;-;-;-;-;1;2;4
"171780 Ponte Alta do Bom Jesus";-;-;1;1;1;-;-;-;-;-;-;2;5
"171790 Ponte Alta do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"171800 Porto Alegre do Tocantins";-;-;-;-;2;-;-;-;-;-;-;-;2
"171820 Porto Nacional";7;6;3;16;11;14;10;13;18;15;57;106;276
"171830 Praia Norte";-;1;2;2;1;-;-;-;-;-;-;1;7
"171840 Presidente Kennedy";-;2;4;2;-;-;-;-;-;-;-;-;8
"171845 Pugmil";-;1;1;-;-;-;-;-;-;-;4;-;6
"171850 Recursolândia";-;-;-;-;2;-;-;-;-;-;-;-;2
"171855 Riachinho";1;-;-;-;-;-;-;-;-;-;-;-;1
"171865 Rio da Conceição";-;-;-;-;-;-;-;-;-;-;1;-;1
"171870 Rio dos Bois";-;1;4;-;-;-;-;-;-;-;-;-;5
"171875 Rio Sono";-;-;-;1;1;-;-;-;-;-;-;-;2
"171880 Sampaio";4;5;3;1;4;6;2;-;1;-;1;-;27
"171884 Sandolândia";-;-;-;-;-;-;-;-;-;3;2;2;7
"171888 Santa Maria do Tocantins";-;-;-;-;1;1;-;-;9;12;9;9;41
"171889 Santa Rita do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"171890 Santa Rosa do Tocantins";-;1;-;-;-;-;-;-;-;-;1;-;2
"171900 Santa Tereza do Tocantins";-;-;1;-;-;1;-;-;-;-;-;-;2
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"172015 São Félix do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"172020 São Miguel do Tocantins";1;7;7;3;6;1;-;-;-;-;-;-;25
"172025 São Salvador do Tocantins";-;1;-;-;1;-;-;-;-;-;-;-;2
"172030 São Sebastião do Tocantins";-;-;7;-;-;2;-;-;-;-;-;-;9
"172049 São Valério";-;-;1;-;-;-;-;-;-;-;1;1;3
"172065 Silvanópolis";-;2;1;2;1;-;-;-;-;-;2;-;8
"172080 Sítio Novo do Tocantins";1;4;2;-;6;1;1;-;-;-;-;-;15
"172085 Sucupira";-;-;2;-;-;-;-;-;-;-;-;-;2
"172090 Taguatinga";-;2;-;1;2;2;4;2;7;26;57;89;192
"172093 Taipas do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"172097 Talismã";-;-;-;-;1;-;-;-;-;-;-;-;1
"172110 Tocantínia";-;4;-;1;1;2;-;-;-;1;1;1;11
"172120 Tocantinópolis";21;32;48;28;31;7;3;2;1;1;2;4;180
"172125 Tupirama";2;2;1;-;-;-;-;-;-;-;-;-;5
"172130 Tupiratins";-;-;-;1;1;1;-;-;-;-;-;-;3
"172208 Wanderlândia";7;-;4;4;2;-;-;-;-;-;-;-;17
"172210 Xambioá";7;2;-;1;1;-;-;-;-;-;-;-;11
"Total";397;387;491;390;420;328;174;127;133;163;414;682;4106
