DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Acre
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2013
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110020 Porto Velho";1;-;-;-;-;-;-;-;-;-;-;-;1
"120001 Acrelândia";9;1;15;1;-;-;-;-;-;-;-;-;26
"120005 Assis Brasil";47;29;18;6;2;-;-;-;-;-;-;1;103
"120010 Brasiléia";35;20;10;1;-;-;-;-;-;-;-;4;70
"120013 Bujari";1;1;1;2;2;1;-;-;-;-;1;-;9
"120017 Capixaba";3;1;1;3;-;1;-;2;1;2;4;2;20
"120025 Epitaciolândia";30;18;3;2;-;-;2;-;-;-;-;4;59
"120030 Feijó";-;1;-;-;-;-;-;-;-;1;-;-;2
"120032 Jordão";-;-;1;-;-;-;-;-;-;-;-;-;1
"120034 Manoel Urbano";-;-;1;-;-;-;-;-;-;-;-;-;1
"120038 Plácido de Castro";90;40;18;1;2;-;1;-;-;-;-;5;157
"120080 Porto Acre";5;7;1;-;2;1;-;-;-;-;2;2;20
"120040 Rio Branco";464;292;177;78;46;31;30;10;10;8;38;68;1252
"120043 Santa Rosa do Purus";-;1;-;-;-;-;-;-;-;-;1;-;2
"120050 Sena Madureira";2;1;-;-;-;2;1;-;1;-;5;-;12
"120045 Senador Guiomard";5;2;-;1;-;-;-;-;-;-;-;-;8
"120060 Tarauacá";1;2;-;-;-;2;-;-;-;-;-;-;5
"120070 Xapuri";4;7;3;-;3;-;-;-;-;-;1;-;18
"130260 Manaus";-;1;2;-;-;-;1;1;1;-;-;-;6
"231126 Quiterianópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"520870 Goiânia";1;-;-;-;-;-;-;-;-;-;1;-;2
"000000 Ignorado ou exterior";101;175;161;59;31;40;30;4;9;13;35;21;679
"Total";799;599;412;155;88;78;65;17;22;24;88;107;2454
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
