DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2017
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;4;2;-;1;1;1;-;-;1;-;-;-;10
"110037 Alto Alegre dos Parecis";-;1;-;2;-;-;-;-;-;-;-;2;-;5
"110040 Alto Paraíso";-;2;-;4;-;-;-;-;-;-;-;-;-;6
"110034 Alvorada D'Oeste";-;2;1;2;1;-;-;-;-;-;-;-;-;6
"110002 Ariquemes";-;13;3;1;1;3;5;2;3;2;-;-;1;34
"110045 Buritis";-;9;3;6;3;3;8;3;6;9;7;17;8;82
"110003 Cabixi";-;-;-;-;1;1;2;1;-;-;-;-;-;5
"110004 Cacoal";-;6;6;6;3;1;-;-;-;-;1;1;-;24
"110070 Campo Novo de Rondônia";-;5;-;1;1;-;-;-;1;-;1;-;2;11
"110080 Candeias do Jamari";-;4;3;2;-;-;-;1;-;1;-;-;-;11
"110090 Castanheiras";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"110005 Cerejeiras";-;62;94;65;15;3;-;1;-;-;-;2;-;242
"110006 Colorado do Oeste";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"110007 Corumbiara";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110008 Costa Marques";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110094 Cujubim";-;23;3;2;2;-;1;1;1;-;-;1;3;37
"110009 Espigão D'Oeste";-;17;28;13;18;3;2;1;1;2;-;-;-;85
"110100 Governador Jorge Teixeira";-;-;-;2;-;-;-;-;-;-;-;-;2;4
"110010 Guajará-Mirim";-;-;-;-;-;-;1;-;-;-;2;4;9;16
"110110 Itapuã do Oeste";-;2;2;-;-;-;-;-;1;-;-;-;-;5
"110011 Jaru";-;4;3;3;5;1;-;-;-;-;-;-;2;18
"110012 Ji-Paraná";-;15;13;6;1;-;-;-;2;1;1;-;2;41
"110013 Machadinho D'Oeste";-;70;9;4;1;2;-;-;1;1;-;1;30;119
"110120 Ministro Andreazza";-;1;1;-;-;-;1;-;-;1;1;-;-;5
"110130 Mirante da Serra";-;-;-;-;2;2;-;-;-;-;-;3;-;7
"110140 Monte Negro";-;7;-;-;-;-;-;-;1;-;1;1;1;11
"110014 Nova Brasilândia D'Oeste";-;13;13;13;14;9;3;3;2;-;-;-;-;70
"110033 Nova Mamoré";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"110050 Novo Horizonte do Oeste";-;2;1;-;-;1;-;-;-;-;-;-;-;4
"110015 Ouro Preto do Oeste";-;5;5;6;-;4;-;-;1;-;-;5;2;28
"110145 Parecis";-;2;4;2;3;-;-;-;-;-;-;-;-;11
"110018 Pimenta Bueno";-;-;-;1;1;1;-;-;-;1;-;-;-;4
"110146 Pimenteiras do Oeste";-;-;-;1;-;-;-;-;-;-;-;-;1;2
"110020 Porto Velho";-;111;75;35;10;4;8;6;5;6;3;10;12;285
"110025 Presidente Médici";-;1;6;4;1;-;-;-;1;-;-;1;-;14
"110026 Rio Crespo";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";-;2;7;9;4;1;4;7;11;8;2;4;25;84
"110029 Santa Luzia D'Oeste";-;-;1;-;1;-;-;-;-;-;-;-;-;2
