DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;-;2;-;-;-;-;-;-;-;-;-;3
"110037 Alto Alegre dos Parecis";44;14;3;1;5;-;1;-;1;2;1;4;76
"110040 Alto Paraíso";6;5;3;-;-;1;-;-;-;-;-;-;15
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;2;-;-;-;-;2
"110002 Ariquemes";38;31;12;18;22;18;8;1;1;2;2;4;157
"110045 Buritis";9;14;-;3;3;13;20;9;5;6;3;17;102
"110003 Cabixi";6;2;-;-;-;-;-;-;-;-;-;1;9
"110060 Cacaulândia";-;1;-;-;15;1;4;-;-;-;-;-;21
"110004 Cacoal";4;5;10;11;17;13;6;1;-;-;4;12;83
"110070 Campo Novo de Rondônia";-;-;6;-;-;-;-;1;1;-;-;-;8
"110005 Cerejeiras";50;24;46;17;11;-;2;2;1;1;1;2;157
"110092 Chupinguaia";-;-;-;-;-;-;-;-;2;-;-;-;2
"110006 Colorado do Oeste";1;2;4;-;-;-;1;-;-;-;-;1;9
"110007 Corumbiara";7;7;8;3;2;3;1;2;-;-;-;-;33
"110008 Costa Marques";-;2;1;-;2;4;3;-;-;-;-;8;20
"110094 Cujubim";1;1;-;-;-;-;-;-;-;-;-;-;2
"110009 Espigão D'Oeste";-;2;2;1;2;1;-;-;-;-;-;-;8
"110100 Governador Jorge Teixeira";-;-;2;-;2;-;1;1;-;-;-;-;6
"110010 Guajará-Mirim";-;1;1;-;2;4;1;2;2;-;1;-;14
"110110 Itapuã do Oeste";1;21;7;6;28;17;11;6;3;-;-;-;100
"110011 Jaru";8;3;4;-;4;1;1;-;1;-;2;1;25
"110012 Ji-Paraná";1;-;1;-;-;-;-;-;-;-;-;1;3
"110013 Machadinho D'Oeste";2;2;1;1;2;4;7;5;2;1;-;-;27
"110120 Ministro Andreazza";-;-;-;1;1;-;3;-;-;-;-;-;5
"110140 Monte Negro";1;6;3;1;-;-;-;1;-;-;-;-;12
"110014 Nova Brasilândia D'Oeste";14;49;75;40;32;10;3;4;-;-;-;2;229
"110033 Nova Mamoré";13;35;63;50;12;10;6;1;-;2;-;3;195
"110143 Nova União";-;-;1;-;-;-;-;-;-;-;-;-;1
"110050 Novo Horizonte do Oeste";-;-;-;2;1;-;-;-;-;-;-;-;3
"110015 Ouro Preto do Oeste";1;1;-;-;1;2;1;-;-;-;-;2;8
"110145 Parecis";1;6;3;-;-;1;-;1;-;-;-;-;12
"110018 Pimenta Bueno";1;1;-;-;2;-;-;-;-;-;-;-;4
"110146 Pimenteiras do Oeste";1;12;-;-;-;-;-;-;-;-;-;-;13
"110020 Porto Velho";50;77;36;33;14;16;17;10;3;5;6;8;275
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;-;-;5;5;-;10
"110026 Rio Crespo";1;-;-;3;-;2;-;-;-;-;-;-;6
"110028 Rolim de Moura";2;4;5;10;35;37;16;7;1;-;3;1;121
"110029 Santa Luzia D'Oeste";2;4;4;-;7;-;1;1;2;-;-;-;21
"110148 São Felipe D'Oeste";-;1;1;4;6;-;1;2;3;-;-;-;18
"110149 São Francisco do Guaporé";2;10;10;10;5;2;2;2;-;-;1;-;44
"110032 São Miguel do Guaporé";5;17;19;3;34;4;2;1;-;1;-;-;86
"110155 Teixeirópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"110160 Theobroma";-;1;1;-;-;1;-;1;-;-;1;-;5
"110170 Urupá";1;-;-;-;-;-;-;-;-;-;-;-;1
"110175 Vale do Anari";1;8;1;4;5;-;-;-;-;-;-;-;19
"110030 Vilhena";50;218;355;179;53;15;5;5;1;6;4;4;895
"120001 Acrelândia";9;3;-;-;1;-;2;-;-;3;-;2;20
"120005 Assis Brasil";28;37;37;7;8;-;-;-;-;2;6;44;169
"120010 Brasiléia";-;-;-;3;-;1;-;-;-;1;2;55;62
"120013 Bujari";2;3;-;-;-;-;-;-;1;-;-;-;6
"120017 Capixaba";-;1;-;-;1;-;-;-;-;-;-;-;2
"120020 Cruzeiro do Sul";1291;342;91;66;397;138;77;22;34;23;39;267;2787
"120025 Epitaciolândia";3;1;-;2;1;-;-;2;-;2;4;79;94
"120030 Feijó";11;32;1;-;-;-;-;-;-;-;-;2;46
"120033 Mâncio Lima";47;9;11;8;12;4;4;4;2;5;4;29;139
"120034 Manoel Urbano";1;1;-;-;-;-;-;-;-;-;-;-;2
"120035 Marechal Thaumaturgo";-;-;1;-;1;-;1;-;-;-;1;1;5
"120080 Porto Acre";2;1;2;-;-;-;-;-;4;3;17;5;34
"120039 Porto Walter";8;5;5;-;-;-;-;-;-;-;-;-;18
"120040 Rio Branco";197;97;33;4;2;1;2;-;-;-;2;15;353
"120042 Rodrigues Alves";57;17;10;3;14;4;-;-;-;-;-;4;109
"120045 Senador Guiomard";2;1;2;-;-;-;-;-;1;-;-;1;7
"120060 Tarauacá";238;115;65;21;7;20;5;11;4;14;6;77;583
"120070 Xapuri";-;1;-;-;-;-;-;-;-;-;-;-;1
"130040 Barcelos";-;2;-;-;2;8;7;-;3;-;-;-;22
"130060 Benjamin Constant";381;107;56;17;3;-;-;-;-;1;10;134;709
"130070 Boca do Acre";8;9;1;-;8;14;4;47;101;223;167;39;621
"130090 Canutama";1;1;-;-;-;-;-;-;-;-;-;-;2
"130100 Carauari";157;82;37;23;16;6;4;1;-;-;-;42;368
"130110 Careiro";2;3;-;-;-;-;-;-;-;-;-;-;5
"130120 Coari";2;2;2;-;-;-;-;-;-;-;-;1;7
"130130 Codajás";-;1;-;-;-;-;-;-;-;-;-;-;1
"130140 Eirunepé";38;29;33;16;20;5;2;5;6;36;17;71;278
"130150 Envira";4;-;1;-;-;-;-;-;-;-;-;6;11
"130165 Guajará";162;54;48;16;60;4;5;1;-;2;1;50;403
"130170 Humaitá";61;25;17;9;5;4;4;2;-;-;2;1;130
"130180 Ipixuna";-;-;-;-;-;-;1;-;-;-;-;-;1
"130185 Iranduba";-;3;5;-;-;-;-;-;-;-;-;-;8
"130190 Itacoatiara";-;1;4;1;2;2;1;-;-;-;1;1;13
"130200 Itapiranga";-;-;-;-;-;-;-;-;-;-;-;1;1
"130230 Jutaí";-;33;19;2;8;2;-;-;-;-;-;-;64
"130240 Lábrea";1;-;-;-;1;-;-;-;-;-;-;-;2
"130250 Manacapuru";-;-;-;-;-;-;1;-;-;-;-;-;1
"130260 Manaus";42;93;88;43;53;76;60;45;11;12;34;63;620
"130270 Manicoré";-;-;1;-;-;-;-;-;-;-;-;-;1
"130340 Parintins";1;5;-;9;1;-;-;1;1;2;-;-;20
"130353 Presidente Figueiredo";3;11;11;1;1;4;26;12;2;4;-;2;77
"130356 Rio Preto da Eva";-;-;-;-;-;-;-;1;-;-;-;-;1
"130360 Santa Isabel do Rio Negro";-;-;7;9;18;1;-;-;-;-;-;-;35
