DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"110001 Alta Floresta D'Oeste";3;-;-;-;-;3
"110037 Alto Alegre dos Parecis";5;-;-;-;-;5
"110040 Alto Paraíso";18;-;-;-;-;18
"110034 Alvorada D'Oeste";25;-;-;-;-;25
"110002 Ariquemes";61;-;-;-;-;61
"110045 Buritis";13;-;-;-;-;13
"110003 Cabixi";8;-;-;-;-;8
"110060 Cacaulândia";6;-;-;-;-;6
"110004 Cacoal";35;-;-;-;-;35
"110070 Campo Novo de Rondônia";211;-;-;-;-;211
"110080 Candeias do Jamari";6;-;-;-;-;6
"110005 Cerejeiras";8;-;-;-;-;8
"110092 Chupinguaia";4;-;-;-;-;4
"110006 Colorado do Oeste";3;-;-;-;-;3
"110007 Corumbiara";4;-;-;-;-;4
"110008 Costa Marques";113;-;-;-;-;113
"110094 Cujubim";1;-;-;-;-;1
"110009 Espigão D'Oeste";6;-;-;-;-;6
"110010 Guajará-Mirim";25;-;-;-;-;25
"110110 Itapuã do Oeste";26;-;-;-;-;26
"110011 Jaru";42;-;-;-;-;42
"110012 Ji-Paraná";3;-;-;-;-;3
"110013 Machadinho D'Oeste";82;-;-;-;-;82
"110120 Ministro Andreazza";2;-;-;-;-;2
"110130 Mirante da Serra";1;-;-;-;-;1
"110140 Monte Negro";4;-;-;-;-;4
"110014 Nova Brasilândia D'Oeste";25;-;-;-;-;25
"110033 Nova Mamoré";4;-;-;-;-;4
"110143 Nova União";7;-;-;-;-;7
"110050 Novo Horizonte do Oeste";14;-;-;-;-;14
"110015 Ouro Preto do Oeste";42;2;-;-;-;44
"110145 Parecis";5;-;-;-;-;5
"110020 Porto Velho";266;-;-;-;-;266
"110025 Presidente Médici";10;-;-;-;-;10
"110147 Primavera de Rondônia";2;-;-;-;-;2
"110026 Rio Crespo";2;-;-;-;-;2
"110028 Rolim de Moura";69;-;-;-;-;69
"110029 Santa Luzia D'Oeste";7;-;-;-;-;7
"110148 São Felipe D'Oeste";42;-;-;-;-;42
"110149 São Francisco do Guaporé";1;-;-;-;-;1
"110150 Seringueiras";18;-;-;-;-;18
"110170 Urupá";64;-;-;-;-;64
"110030 Vilhena";35;-;-;-;-;35
"120001 Acrelândia";4;-;-;-;-;4
"120005 Assis Brasil";4;-;-;-;-;4
"120010 Brasiléia";1;1;-;-;-;2
"120013 Bujari";1;-;-;-;-;1
"120017 Capixaba";5;-;-;-;-;5
"120020 Cruzeiro do Sul";26572;2;-;-;-;26574
"120030 Feijó";2;-;-;-;-;2
"120033 Mâncio Lima";22;-;-;-;-;22
"120035 Marechal Thaumaturgo";3;-;-;-;-;3
"120080 Porto Acre";12;-;-;-;-;12
"120039 Porto Walter";3;-;-;-;-;3
"120040 Rio Branco";586;-;-;-;-;586
"120042 Rodrigues Alves";16;-;-;-;-;16
"120043 Santa Rosa do Purus";1;-;-;-;-;1
"120050 Sena Madureira";6;-;-;-;-;6
"120045 Senador Guiomard";1;-;-;-;-;1
"120060 Tarauacá";1;-;-;-;-;1
"120070 Xapuri";1;-;-;-;-;1
"130002 Alvarães";1;-;-;-;-;1
"130006 Amaturá";2;-;-;-;-;2
"130010 Anori";27;-;-;-;-;27
"130014 Apuí";1;-;-;-;-;1
"130040 Barcelos";3;-;-;-;1;4
"130060 Benjamin Constant";2;-;-;-;-;2
"130070 Boca do Acre";2;-;-;-;-;2
"130080 Borba";44;-;-;-;-;44
"130083 Caapiranga";2;-;-;-;-;2
"130110 Careiro";5;-;-;-;-;5
"130120 Coari";161;-;-;-;-;161
"130130 Codajás";2;-;-;-;-;2
"130165 Guajará";258;-;-;-;-;258
"130170 Humaitá";61;-;-;-;-;61
"130180 Ipixuna";1;-;-;-;-;1
"130185 Iranduba";2;-;-;-;-;2
"130190 Itacoatiara";448;5;-;-;-;453
"130210 Japurá";1;-;-;-;-;1
"130240 Lábrea";8;-;-;-;-;8
"130250 Manacapuru";10;-;-;-;-;10
"130260 Manaus";1047;1;-;-;41;1089
"130280 Maraã";3;-;-;-;-;3
"130290 Maués";1;-;-;-;-;1
"130320 Novo Airão";5;-;-;-;-;5
"130330 Novo Aripuanã";10;-;-;-;-;10
"130340 Parintins";5;-;-;-;-;5
"130353 Presidente Figueiredo";25;1;-;-;-;26
"130370 Santo Antônio do Içá";1;-;-;-;-;1
"130380 São Gabriel da Cachoeira";4;-;-;-;-;4
"130395 São Sebastião do Uatumã";1;-;-;-;-;1
"130400 Silves";1;-;-;-;-;1
"130406 Tabatinga";200;6;-;-;-;206
"130420 Tefé";178;-;-;-;-;178
"130430 Urucará";1;-;-;-;-;1
"140005 Alto Alegre";1;-;-;-;-;1
"140002 Amajari";12;-;-;-;-;12
"140010 Boa Vista";197;2;1;2;10;212
"140015 Bonfim";101;-;-;-;-;101
"140017 Cantá";4;-;-;-;-;4
"140020 Caracaraí";22;-;-;-;-;22
"140023 Caroebe";5;-;-;-;-;5
"140028 Iracema";4;-;-;-;-;4
"140030 Mucajaí";15;-;-;-;-;15
"140040 Normandia";2;-;-;-;-;2
"140045 Pacaraima";12;-;-;-;-;12
"140047 Rorainópolis";419;-;-;-;-;419
"140050 São João da Baliza";1;-;-;-;-;1
"150010 Abaetetuba";3;-;-;-;-;3
"150013 Abel Figueiredo";10;-;-;-;-;10
"150020 Acará";24;-;-;-;-;24
"150034 Água Azul do Norte";1;-;-;-;-;1
"150040 Alenquer";2;-;-;-;-;2
"150050 Almeirim";53;1;-;-;-;54
"150060 Altamira";189;1;-;-;-;190
"150070 Anajás";1;-;-;-;-;1
"150080 Ananindeua";8;-;-;-;1;9
"150085 Anapu";43;-;-;-;-;43
"150090 Augusto Corrêa";1;-;-;-;-;1
"150095 Aurora do Pará";7;-;-;-;-;7
"150125 Bannach";3;-;-;-;-;3
"150130 Barcarena";7;-;-;-;-;7
"150140 Belém";158;-;-;-;3;161
"150170 Bragança";1;-;-;-;-;1
"150172 Brasil Novo";64;-;-;-;-;64
"150175 Brejo Grande do Araguaia";8;-;-;-;-;8
