DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Amazonas
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2008
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110020 Porto Velho";1;4;1;-;-;-;-;-;-;-;-;-;6
"120040 Rio Branco";1;-;-;-;-;-;-;-;-;-;1;-;2
"130002 Alvarães";-;2;-;-;-;-;-;-;-;-;-;-;2
"130010 Anori";-;-;-;-;1;-;-;-;-;-;-;-;1
"130030 Autazes";-;-;-;-;2;-;-;-;-;-;-;-;2
"130040 Barcelos";-;-;-;-;-;1;19;20;10;12;29;5;96
"130060 Benjamin Constant";1;-;-;-;-;-;-;-;-;-;-;-;1
"130080 Borba";-;1;-;2;1;-;-;-;-;-;-;-;4
"130100 Carauari";-;-;-;-;-;-;-;-;-;-;-;1;1
"130110 Careiro";-;2;4;7;9;-;-;-;-;-;-;-;22
"130115 Careiro da Várzea";-;-;-;-;1;-;-;-;-;-;-;-;1
"130120 Coari";1;2;5;9;23;23;35;28;11;73;82;118;410
"130130 Codajás";3;-;-;-;-;-;-;-;-;-;-;-;3
"130140 Eirunepé";-;-;-;1;-;-;-;-;-;-;-;-;1
"130170 Humaitá";2;12;45;15;1;-;-;-;-;-;-;-;75
"130185 Iranduba";-;-;-;1;2;-;-;-;-;-;-;-;3
"130190 Itacoatiara";67;122;72;52;13;1;-;-;-;-;-;3;330
"130240 Lábrea";5;5;11;10;1;-;-;-;-;-;-;3;35
"130250 Manacapuru";1;3;1;5;2;-;-;-;-;-;-;-;12
"130260 Manaus";1004;1344;1239;1122;477;72;28;14;9;15;14;118;5456
"130300 Nhamundá";-;-;-;-;1;-;-;-;-;-;-;-;1
"130320 Novo Airão";-;-;1;6;-;-;-;-;-;-;-;-;7
"130340 Parintins";5;14;18;7;2;-;1;1;-;5;98;79;230
"130353 Presidente Figueiredo";-;-;1;1;-;-;-;-;-;-;-;2;4
"130356 Rio Preto da Eva";1;1;2;1;1;-;-;-;-;-;-;-;6
"130420 Tefé";-;1;-;1;-;-;-;-;-;-;-;1;3
"130440 Urucurituba";-;-;-;-;1;-;-;-;-;-;-;-;1
"150530 Oriximiná";1;2;-;1;-;-;-;-;-;-;-;-;4
"150680 Santarém";-;1;-;-;-;-;-;-;-;-;-;-;1
"510340 Cuiabá";-;-;-;-;-;-;-;-;-;-;1;-;1
"000000 Ignorado ou exterior";169;172;187;65;38;21;41;8;17;18;33;62;831
"Total";1262;1688;1587;1306;576;118;124;71;47;123;258;392;7552
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
