DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Amazonas
Casos Prováveis por Município infecção e Sorotipo                     
Período:2016
"Município infecção";"Ign/Branco";"DEN 1";"DEN 3";"DEN 4";"Total"
"110020 Porto Velho";2;-;-;-;2
"130014 Apuí";1;-;-;-;1
"130030 Autazes";2;-;-;-;2
"130040 Barcelos";2;-;-;-;2
"130060 Benjamin Constant";9;-;-;-;9
"130063 Beruri";1;-;-;-;1
"130068 Boa Vista do Ramos";23;-;-;-;23
"130070 Boca do Acre";5;-;-;-;5
"130080 Borba";37;-;-;-;37
"130110 Careiro";3;-;-;-;3
"130120 Coari";54;-;-;-;54
"130165 Guajará";51;-;-;-;51
"130170 Humaitá";16;-;-;-;16
"130180 Ipixuna";1;-;-;-;1
"130185 Iranduba";14;-;-;-;14
"130190 Itacoatiara";103;-;-;-;103
"130210 Japurá";8;-;-;-;8
"130240 Lábrea";1;-;-;-;1
"130250 Manacapuru";16;-;-;-;16
"130260 Manaus";456;1;-;-;457
"130290 Maués";155;-;-;-;155
"130310 Nova Olinda do Norte";44;-;-;-;44
"130320 Novo Airão";14;-;-;-;14
"130330 Novo Aripuanã";93;-;-;-;93
"130340 Parintins";1;-;-;-;1
"130353 Presidente Figueiredo";19;-;-;-;19
"130380 São Gabriel da Cachoeira";3;-;-;-;3
"130390 São Paulo de Olivença";1;-;-;-;1
"130406 Tabatinga";62;-;-;-;62
"130410 Tapauá";65;-;-;-;65
"130420 Tefé";19;-;3;4;26
"130426 Uarini";1;-;-;-;1
"150040 Alenquer";1;-;-;-;1
"510340 Cuiabá";1;-;-;-;1
"000000 Ignorado ou exterior";6294;-;-;-;6294
"Total";7578;1;3;4;7586
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
