 Morbidade Hospitalar do SUS por Causas Externas - por local de internação - São Paulo
Internações por Faixa Etária 2 e Macrorregião de Saúde
Período:Dez/2020
"Faixa Etária 2";"3518 RRAS9";"3519 RRAS8";"3520 RRAS7";"3521 RRAS6";"3522 RRAS5";"3523 RRAS4";"3524 RRAS3";"3525 RRAS2";"3526 RRAS17";"3527 RRAS16";"3528 RRAS15";"3529 RRAS14";"3530 RRAS13";"3531 RRAS12";"3532 RRAS11";"3533 RRAS10";"3534 RRAS1";"Total"
"Menor 1 ano";9;5;4;49;7;3;1;6;7;6;16;5;13;5;5;2;6;149
"1 a 4 anos";39;27;25;151;22;16;4;46;33;15;38;28;71;29;10;23;18;595
"5 a 9 anos";47;32;34;141;27;24;7;29;34;20;56;23;75;43;10;29;15;646
"10 a 14 anos";35;26;13;125;27;21;5;40;37;11;50;21;50;39;9;18;18;545
"15 a 19 anos";62;37;37;299;50;52;14;68;55;28;87;46;67;69;19;22;60;1072
"20 a 24 anos";111;96;77;514;90;91;23;121;130;53;165;80;177;117;35;56;115;2051
"25 a 29 anos";104;53;52;484;93;53;24;102;87;45;143;56;152;99;33;57;80;1717
"30 a 34 anos";88;80;62;387;80;54;19;96;104;48;152;57;140;90;31;39;105;1632
"35 a 39 anos";92;83;54;430;60;64;13;118;92;49;149;46;158;110;35;58;90;1701
"40 a 44 anos";95;59;66;358;82;52;21;86;90;42;119;65;144;120;28;45;91;1563
"45 a 49 anos";66;54;65;357;61;48;14;87;66;35;122;60;104;94;17;60;80;1390
"50 a 54 anos";83;62;61;329;40;52;7;72;88;37;99;42;124;86;20;46;67;1315
"55 a 59 anos";70;62;41;255;43;38;14;78;78;28;131;34;127;81;20;40;60;1200
"60 a 64 anos";68;59;54;234;31;45;10;65;58;41;106;36;129;84;20;36;75;1151
"65 a 69 anos";54;52;33;192;20;25;10;41;70;26;94;40;70;66;16;25;50;884
"70 a 74 anos";39;34;30;140;21;15;4;33;45;17;63;23;66;81;13;21;28;673
"75 a 79 anos";21;28;21;121;18;20;3;29;29;20;50;24;61;59;17;38;32;591
"80 anos e mais";87;51;38;225;21;17;7;45;57;27;117;41;124;119;29;51;59;1115
"Total";1170;900;767;4791;793;690;200;1162;1160;548;1757;727;1852;1391;367;666;1049;19990
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
