DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Amazonas
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120020 Cruzeiro do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"120030 Feijó";1;-;-;-;-;-;-;-;-;-;-;1;2
"120040 Rio Branco";2;-;-;-;-;-;-;-;-;-;-;1;3
"120060 Tarauacá";2;-;-;-;-;-;-;-;-;-;-;-;2
"130040 Barcelos";-;2;-;-;2;8;7;-;3;-;-;-;22
"130060 Benjamin Constant";381;107;56;17;3;-;-;-;-;1;10;134;709
"130070 Boca do Acre";8;9;1;-;8;14;4;47;101;223;167;39;621
"130090 Canutama";1;1;-;-;-;-;-;-;-;-;-;-;2
"130100 Carauari";157;82;37;23;16;6;4;1;-;-;-;42;368
"130110 Careiro";2;3;-;-;-;-;-;-;-;-;-;-;5
"130120 Coari";2;2;2;-;-;-;-;-;-;-;-;1;7
"130130 Codajás";-;1;-;-;-;-;-;-;-;-;-;-;1
"130140 Eirunepé";38;29;33;16;20;5;2;5;6;36;17;71;278
"130150 Envira";4;-;1;-;-;-;-;-;-;-;-;6;11
"130165 Guajará";162;54;48;16;60;4;5;1;-;2;1;50;403
"130170 Humaitá";61;25;17;9;5;4;4;2;-;-;2;1;130
"130180 Ipixuna";-;-;-;-;-;-;1;-;-;-;-;-;1
"130185 Iranduba";-;3;5;-;-;-;-;-;-;-;-;-;8
"130190 Itacoatiara";-;1;4;1;2;2;1;-;-;-;1;1;13
"130200 Itapiranga";-;-;-;-;-;-;-;-;-;-;-;1;1
"130230 Jutaí";-;33;19;2;8;2;-;-;-;-;-;-;64
"130240 Lábrea";1;-;-;-;1;-;-;-;-;-;-;-;2
"130250 Manacapuru";-;-;-;-;-;-;1;-;-;-;-;-;1
"130260 Manaus";42;92;87;43;53;76;60;45;11;12;34;63;618
"130340 Parintins";1;5;-;9;1;-;-;1;1;2;-;-;20
"130353 Presidente Figueiredo";3;11;11;1;1;4;26;12;2;4;-;2;77
"130356 Rio Preto da Eva";-;-;-;-;-;-;-;1;-;-;-;-;1
"130360 Santa Isabel do Rio Negro";-;-;7;9;18;1;-;-;-;-;-;-;35
"130370 Santo Antônio do Içá";1;6;-;-;-;-;-;-;-;-;6;13;26
"130380 São Gabriel da Cachoeira";355;144;120;93;11;6;3;5;-;1;1;65;804
"130390 São Paulo de Olivença";2;-;-;-;-;-;-;-;-;-;-;-;2
"130406 Tabatinga";33;25;3;16;5;-;-;1;1;-;-;7;91
"130420 Tefé";2;2;1;2;-;-;-;4;-;3;-;-;14
"150680 Santarém";-;-;-;-;-;-;-;-;-;1;-;-;1
"000000 Ignorado ou exterior";86;126;418;123;159;205;90;56;85;104;175;383;2010
"Total";1347;763;871;380;373;337;208;181;210;389;414;881;6354
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
