 Procedimentos hospitalares do SUS - por local de residência - Paraná
Valor total por Procedimento
Município: 411370 Londrina
Período:Jan-Abr/2019
"Procedimento";"Valor_total"
"0201010135 BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)";659,57
"0201010143 BIOPSIA DE ENDOCARDIO / MIOCARDIO";1501,52
"0201010208 BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO";667,12
"0201010267 BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)";426,83
"0201010313 BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)";1437,79
"0201010321 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)";3516,50
"0201010330 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)";212,26
"0209040033 TRAQUEOSCOPIA";2561,03
"0211050091 EXPLORACAO DIAGNOSTICA PELO VIDEO-ELETROENCEFALOGRAMA COM OU SEM USO DE ELETRODO DE PROFUNDIDADE";3682,85
"0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA";4437,71
"0301060070 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA";5557,26
"0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA";20033,96
"0303010010 TRATAMENTO DE DENGUE CLÁSSICA";21001,50
"0303010029 TRATAMENTO DE DENGUE HEMORRÁGICA";8777,34
"0303010037 TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS";1410073,73
"0303010045 TRATAMENTO DE DOENÇAS BACTERIANAS ZOONÓTICAS";849,82
"0303010053 TRATAMENTO DE OUTRAS DOENÇAS DEVIDAS A PROTOZOÁRIOS (B55 A B64)";2274,17
"0303010061 TRATAMENTO DE DOENÇAS INFECCIOSAS INTESTINAIS";31645,85
"0303010118 TRATAMENTO DE HEPATITES VIRAIS";361,58
"0303010126 TRATAMENTO DE INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL (A50 A A64)";8719,85
"0303010134 TRATAMENTO DE INFECÇÕES VIRAIS CARACTERIZADAS POR LESÕES DE PELE E MUCOSAS (B00 A B09)";2489,81
"0303010142 TRATAMENTO DE INFECÇÕES VIRAIS DO SISTEMA NERVOSO CENTRAL";8931,94
"0303010169 TRATAMENTO DE MICOSES (B35 A B49)";2042,34
"0303010193 TRATAMENTO DE OUTRAS DOENÇAS CAUSADAS POR VÍRUS (B25 A B34)";2146,00
"0303010215 TRATAMENTO DE TUBERCULOSE (A15 a A19)";1310,90
"0303020032 TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS";19230,94
"0303020040 TRATAMENTO DE ANEMIA HEMOLITICA";6121,51
"0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS";7787,13
"0303020067 TRATAMENTO DE DEFEITOS DA COAGULACAO PURPURA E OUTRAS AFECCOES HEMORRAGICAS";7343,82
"0303020083 TRATAMENTO DE OUTRAS DOENÇAS DO SANGUE E DOS ÓRGÃOS HEMATOPOIÉTICOS";2031,68
"0303030020 TRATAMENTO DE DESNUTRICAO";2303,85
"0303030038 TRATAMENTO DE DIABETES MELLITUS";16598,71
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";11018,40
"0303030054 TRATAMENTO DE TRANSTORNOS DA GLÂNDULA TIREOIDE";2327,67
"0303030062 TRATAMENTO DE TRANSTORNOS DE OUTRAS GLÂNDULAS ENDÓCRINAS";508,02
"0303040017 AJUSTE MEDICAMENTOSO DE SITUAÇÕES NEUROLÓGICAS AGUDIZADAS";9522,66
"0303040033 TRATAMENTO DA MIGRANEA COMPLICADA";1614,14
"0303040068 TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLÁSICA";11439,15
"0303040076 TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL";12441,11
"0303040084 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFÁLICO (GRAU LEVE)";18399,51
"0303040092 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFÁLICO (GRAU MÉDIO)";23928,04
"0303040106 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO GRAVE";46399,26
"0303040114 TRATAMENTO CONSERVADOR DE TRAUMATISMO RAQUIMEDULAR";3448,56
"0303040122 TRATAMENTO CONSERVADOR DE TUMOR DO SISTEMA NERVOSO CENTRAL";5685,25
"0303040130 TRATAMENTO CLÍNICO DAS MIELITES / MIELOPATIAS";2025,82
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";315084,82
"0303040157 TRATAMENTO DE COMPLICAÇÕES DA HIDROCEFALIA";2049,43
"0303040165 TRATAMENTO DE CRISES EPILÉTICAS NÃO CONTROLADAS";26740,01
"0303040173 TRATAMENTO DE DISTROFIAS MUSCULARES";12550,08
"0303040181 TRATAMENTO DE DOENCA DE PARKINSON";14033,66
"0303040190 TRATAMENTO DE DOENÇA DOS NEURÔNIOS MOTORES CENTRAIS C/ OU S/ AMIOTROFIAS";3012,94
