DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2013
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";-;3;-;3;1;3;-;-;-;-;-;-;10
"210010 Afonso Cunha";-;3;-;1;-;-;-;-;-;-;-;-;4
"210030 Aldeias Altas";-;-;2;2;-;-;1;-;-;-;-;-;5
"210040 Altamira do Maranhão";1;-;-;-;-;-;-;-;-;-;-;-;1
"210047 Alto Alegre do Pindaré";3;2;-;-;-;-;-;-;-;-;-;-;5
"210050 Alto Parnaíba";-;-;-;10;2;3;-;2;-;1;-;-;18
"210055 Amapá do Maranhão";-;-;-;1;-;-;-;-;-;-;-;-;1
"210060 Amarante do Maranhão";-;1;-;-;-;-;-;-;-;-;1;-;2
"210070 Anajatuba";-;-;-;1;-;-;-;-;-;-;-;-;1
"210120 Bacabal";1;-;-;1;-;-;-;-;-;2;-;-;4
"210140 Balsas";1;-;1;-;-;1;-;-;-;-;-;-;3
"210150 Barão de Grajaú";3;5;4;-;-;-;-;-;-;-;-;2;14
"210160 Barra do Corda";53;85;66;16;17;3;-;-;-;1;-;-;241
"210170 Barreirinhas";-;-;-;-;-;-;-;1;-;-;1;-;2
"210177 Bela Vista do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;1
"210200 Bom Jardim";-;-;-;4;1;-;-;-;-;-;-;-;5
"210203 Bom Jesus das Selvas";1;-;-;-;-;-;-;-;-;-;-;-;1
"210207 Bom Lugar";-;-;-;4;-;-;-;-;-;-;-;-;4
"210210 Brejo";-;-;1;-;-;-;-;-;1;-;-;-;2
"210232 Buriticupu";-;-;-;2;5;5;-;-;-;-;-;-;12
"210235 Buritirana";-;1;-;-;-;-;-;-;-;-;-;-;1
"210255 Campestre do Maranhão";-;-;1;1;-;-;-;-;-;-;-;-;2
"210260 Cândido Mendes";6;4;3;14;6;-;-;1;-;-;-;-;34
"210270 Cantanhede";-;-;-;1;-;-;-;-;-;-;-;-;1
"210280 Carolina";15;30;12;6;3;5;3;2;4;2;-;4;86
"210300 Caxias";6;3;8;5;8;6;1;-;-;-;1;-;38
"210320 Chapadinha";-;-;3;3;-;-;-;-;-;-;1;-;7
"210330 Codó";-;-;1;-;2;-;-;1;-;-;-;1;5
"210340 Coelho Neto";3;-;-;-;-;-;-;-;-;-;-;-;3
"210350 Colinas";-;-;-;-;-;2;-;-;-;-;-;-;2
"210380 Dom Pedro";1;1;-;-;-;-;-;-;-;-;-;-;2
"210390 Duque Bacelar";-;1;-;-;-;-;-;-;-;-;-;-;1
"210405 Estreito";1;1;-;1;2;-;-;-;-;-;-;-;5
"210407 Feira Nova do Maranhão";-;-;6;7;6;-;-;-;-;-;1;-;20
"210409 Formosa da Serra Negra";-;27;18;8;4;-;-;-;-;-;-;-;57
"210420 Fortuna";-;-;-;-;-;-;2;-;-;-;-;-;2
"210430 Godofredo Viana";12;10;-;-;-;-;-;-;-;-;-;-;22
"210450 Governador Archer";-;-;9;1;1;-;-;1;-;-;-;-;12
"210455 Governador Edison Lobão";1;2;11;5;-;-;-;-;-;1;1;-;21
"210460 Governador Eugênio Barros";-;1;4;-;-;-;-;-;-;-;-;-;5
"210467 Governador Nunes Freire";-;-;-;-;-;1;-;-;-;-;-;-;1
"210480 Grajaú";12;23;14;4;2;1;3;-;-;-;-;-;59
"210490 Guimarães";-;-;-;-;-;-;-;-;2;-;-;-;2
"210500 Humberto de Campos";2;1;7;1;4;3;1;1;-;-;-;-;20
"210510 Icatu";-;-;2;-;3;-;-;-;-;-;-;-;5
"210515 Igarapé do Meio";-;8;-;-;-;-;-;-;-;-;-;-;8
"210530 Imperatriz";34;89;37;26;12;13;1;5;2;2;-;1;222
"210535 Itaipava do Grajaú";-;4;18;11;1;-;1;-;-;-;-;-;35
"210540 Itapecuru Mirim";-;-;-;2;-;-;-;-;-;-;-;-;2
"210545 Jatobá";-;-;-;1;1;-;-;-;-;-;-;-;2
"210550 João Lisboa";2;-;-;-;1;-;-;-;-;-;-;-;3
"210560 Joselândia";-;-;-;-;-;-;-;-;-;1;1;-;2
"210565 Junco do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210570 Lago da Pedra";-;-;2;1;-;1;-;-;1;-;-;-;5
"210592 Lagoa do Mato";-;-;2;-;-;-;-;-;-;-;-;-;2
"210598 Lajeado Novo";1;3;-;-;-;-;-;-;-;-;-;-;4
"210632 Maracaçumé";-;-;-;1;-;-;-;-;-;-;-;-;1
"210670 Mirador";-;-;1;-;-;-;-;-;-;-;-;-;1
"210675 Miranda do Norte";-;1;2;-;-;-;-;-;-;-;-;-;3
"210700 Montes Altos";1;3;1;-;-;-;-;-;-;-;-;-;5
"210710 Morros";-;-;-;1;-;-;-;-;-;-;-;-;1
"210750 Paço do Lumiar";-;-;5;8;1;2;3;10;7;-;1;1;38
"210770 Paraibano";-;-;-;-;-;2;-;-;-;-;-;-;2
"210780 Parnarama";4;1;-;-;-;7;2;-;-;-;-;-;14
"210790 Passagem Franca";1;-;-;-;-;-;-;-;-;-;-;-;1
"210800 Pastos Bons";-;-;2;-;-;-;-;-;-;-;-;-;2
"210810 Paulo Ramos";-;-;-;-;-;1;-;-;-;-;-;-;1
"210820 Pedreiras";-;-;4;22;-;-;1;1;-;-;-;-;28
"210850 Pindaré-Mirim";-;-;1;-;1;-;-;-;-;-;-;-;2
"210860 Pinheiro";-;-;2;-;-;-;-;-;-;-;-;-;2
"210880 Pirapemas";-;1;-;-;2;-;-;-;-;-;-;-;3
"210900 Porto Franco";-;-;-;1;-;1;-;-;-;-;-;-;2
"210905 Porto Rico do Maranhão";-;-;-;-;-;-;-;4;12;1;-;-;17
"210910 Presidente Dutra";1;-;-;2;-;-;-;-;-;1;-;1;5
"210923 Presidente Médici";-;-;-;-;-;-;1;-;-;-;-;-;1
"210930 Presidente Vargas";-;-;-;-;-;-;-;2;-;-;-;-;2
"210950 Riachão";1;14;2;5;1;-;3;3;-;-;-;-;29
"210960 Rosário";-;-;-;1;-;-;-;-;-;-;-;-;1
"210975 Santa Filomena do Maranhão";-;-;1;-;-;-;-;-;-;-;-;-;1
"210990 Santa Inês";1;1;4;2;1;2;-;-;-;1;-;-;12
"211000 Santa Luzia";1;1;-;-;-;-;-;-;-;-;1;-;3
