DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"150548 Pacajá";1;-;-;-;-;1
"172020 São Miguel do Tocantins";1;-;-;-;-;1
"210005 Açailândia";7;3;-;-;-;10
"210030 Aldeias Altas";8;-;-;-;-;8
"210047 Alto Alegre do Pindaré";1;-;-;-;-;1
"210050 Alto Parnaíba";8;-;-;-;-;8
"210060 Amarante do Maranhão";8;1;-;-;-;9
"210083 Apicum-Açu";9;1;-;-;1;11
"210087 Araguanã";1;-;-;-;-;1
"210100 Arari";2;-;-;-;-;2
"210120 Bacabal";2;1;-;-;-;3
"210125 Bacabeira";4;-;-;-;-;4
"210140 Balsas";1;-;-;-;-;1
"210150 Barão de Grajaú";2;-;-;-;-;2
"210160 Barra do Corda";59;-;-;-;-;59
"210190 Bequimão";1;-;-;-;-;1
"210200 Bom Jardim";4;-;-;-;-;4
"210203 Bom Jesus das Selvas";24;-;-;-;-;24
"210210 Brejo";2;-;-;-;-;2
"210232 Buriticupu";8;-;-;-;-;8
"210255 Campestre do Maranhão";3;-;-;-;-;3
"210270 Cantanhede";3;-;-;-;-;3
"210275 Capinzal do Norte";1;-;-;-;-;1
"210280 Carolina";32;-;-;-;-;32
"210300 Caxias";84;-;-;1;-;85
"210325 Cidelândia";10;-;-;-;-;10
"210330 Codó";2;-;-;-;-;2
"210340 Coelho Neto";8;-;-;-;-;8
"210350 Colinas";2;-;-;-;-;2
"210360 Coroatá";2;-;-;-;-;2
"210370 Cururupu";9;10;-;-;-;19
"210375 Davinópolis";1;-;-;-;-;1
"210380 Dom Pedro";1;-;-;-;-;1
"210390 Duque Bacelar";2;-;-;-;-;2
"210400 Esperantinópolis";1;-;-;-;-;1
"210405 Estreito";8;-;-;-;-;8
"210409 Formosa da Serra Negra";4;-;-;-;-;4
"210455 Governador Edison Lobão";16;-;-;-;-;16
"210460 Governador Eugênio Barros";1;-;-;-;-;1
"210465 Governador Newton Bello";4;-;-;-;-;4
"210480 Grajaú";4;-;-;-;-;4
"210530 Imperatriz";93;-;-;-;-;93
"210535 Itaipava do Grajaú";8;-;-;-;-;8
"210542 Itinga do Maranhão";16;-;-;-;-;16
"210570 Lago da Pedra";12;-;-;-;-;12
"210594 Lago dos Rodrigues";1;-;-;-;-;1
"210590 Lago Verde";14;-;-;-;-;14
"210598 Lajeado Novo";6;-;-;-;-;6
"210650 Matinha";2;-;-;-;-;2
"210670 Mirador";1;-;-;-;-;1
"210675 Miranda do Norte";2;1;-;-;-;3
"210700 Montes Altos";1;-;-;-;-;1
"210735 Nova Olinda do Maranhão";11;-;-;-;-;11
"210745 Olinda Nova do Maranhão";1;-;-;-;-;1
"210750 Paço do Lumiar";46;-;-;-;-;46
"210760 Palmeirândia";1;-;-;-;-;1
"210780 Parnarama";1;-;-;-;-;1
"210810 Paulo Ramos";1;-;-;-;-;1
"210840 Peri Mirim";11;-;-;-;-;11
"210845 Peritoró";1;-;-;-;-;1
"210860 Pinheiro";115;2;-;-;-;117
"210870 Pio XII";1;-;-;-;-;1
"210910 Presidente Dutra";1;-;-;-;-;1
"210923 Presidente Médici";1;-;-;-;-;1
"210927 Presidente Sarney";2;-;-;-;-;2
"210945 Raposa";2;-;-;-;-;2
"210950 Riachão";2;-;-;-;-;2
"210980 Santa Helena";23;-;-;-;-;23
"210990 Santa Inês";7;-;-;-;-;7
"211000 Santa Luzia";3;-;-;-;-;3
"211003 Santa Luzia do Paruá";7;-;-;-;-;7
"211020 Santa Rita";2;-;-;-;-;2
"211030 Santo Antônio dos Lopes";1;-;-;-;-;1
"211060 São Bernardo";42;1;-;-;-;43
"211070 São Domingos do Maranhão";23;-;-;-;-;23
"211085 São Francisco do Brejão";1;-;-;-;-;1
"211090 São Francisco do Maranhão";1;-;-;-;-;1
"211102 São João do Carú";1;-;-;-;-;1
"211105 São João do Paraíso";5;-;-;-;-;5
"211107 São João do Soter";1;-;-;-;-;1
