DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2015
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"Total"
"130255 Manaquiri";1;-;-;-;1
"150060 Altamira";1;-;-;-;1
"172020 São Miguel do Tocantins";1;-;-;-;1
"210005 Açailândia";27;-;-;-;27
"210030 Aldeias Altas";17;-;-;-;17
"210040 Altamira do Maranhão";1;-;-;-;1
"210047 Alto Alegre do Pindaré";1;-;-;-;1
"210050 Alto Parnaíba";2;-;-;-;2
"210060 Amarante do Maranhão";45;-;-;-;45
"210087 Araguanã";1;-;-;-;1
"210095 Arame";1;-;-;-;1
"210120 Bacabal";23;4;-;-;27
"210125 Bacabeira";10;-;-;-;10
"210140 Balsas";28;-;-;-;28
"210150 Barão de Grajaú";1;-;-;-;1
"210160 Barra do Corda";441;1;-;-;442
"210170 Barreirinhas";-;1;-;-;1
"210177 Bela Vista do Maranhão";7;-;-;-;7
"210193 Bernardo do Mearim";1;-;-;-;1
"210200 Bom Jardim";6;-;-;-;6
"210203 Bom Jesus das Selvas";6;-;-;-;6
"210207 Bom Lugar";7;-;-;-;7
"210210 Brejo";33;-;-;-;33
"210215 Brejo de Areia";1;-;-;-;1
"210232 Buriticupu";21;-;-;-;21
"210255 Campestre do Maranhão";261;-;-;-;261
"210270 Cantanhede";18;-;-;-;18
"210275 Capinzal do Norte";1;-;-;-;1
"210280 Carolina";33;-;-;-;33
"210300 Caxias";248;-;-;-;248
"210320 Chapadinha";22;-;-;-;22
"210325 Cidelândia";6;-;-;-;6
"210330 Codó";20;-;-;-;20
"210340 Coelho Neto";3;-;-;-;3
"210350 Colinas";2;-;-;-;2
"210355 Conceição do Lago-Açu";1;-;-;-;1
"210370 Cururupu";123;-;-;-;123
"210380 Dom Pedro";5;-;-;-;5
"210405 Estreito";4;-;-;-;4
"210407 Feira Nova do Maranhão";1;-;-;-;1
"210408 Fernando Falcão";10;-;-;-;10
"210409 Formosa da Serra Negra";6;-;-;-;6
"210420 Fortuna";10;-;-;-;10
"210455 Governador Edison Lobão";23;-;-;-;23
"210480 Grajaú";23;-;-;-;23
"210490 Guimarães";6;-;-;-;6
"210515 Igarapé do Meio";2;-;-;-;2
"210530 Imperatriz";162;1;-;-;163
"210535 Itaipava do Grajaú";7;-;-;-;7
"210550 João Lisboa";12;1;-;-;13
"210560 Joselândia";1;-;-;-;1
"210565 Junco do Maranhão";1;-;-;-;1
"210570 Lago da Pedra";10;1;-;-;11
"210594 Lago dos Rodrigues";1;-;-;-;1
"210590 Lago Verde";1;-;-;-;1
"210598 Lajeado Novo";21;-;-;-;21
"210600 Lima Campos";1;-;-;-;1
"210630 Magalhães de Almeida";2;-;-;-;2
"210632 Maracaçumé";6;-;-;-;6
"210660 Matões";5;-;-;-;5
"210663 Matões do Norte";1;-;-;-;1
"210667 Milagres do Maranhão";1;-;-;-;1
"210670 Mirador";6;-;-;-;6
"210680 Mirinzal";3;-;-;-;3
"210690 Monção";1;-;-;-;1
"210700 Montes Altos";1;-;-;-;1
"210710 Morros";1;-;-;-;1
"210720 Nina Rodrigues";2;-;-;-;2
"210730 Nova Iorque";2;-;-;-;2
"210735 Nova Olinda do Maranhão";79;-;-;-;79
"210750 Paço do Lumiar";32;-;-;-;32
"210770 Paraibano";6;-;-;-;6
"210780 Parnarama";9;-;-;1;10
"210790 Passagem Franca";3;-;-;-;3
"210800 Pastos Bons";2;-;-;-;2
"210805 Paulino Neves";3;-;-;-;3
"210820 Pedreiras";33;-;-;-;33
"210825 Pedro do Rosário";10;-;-;-;10
"210840 Peri Mirim";6;-;-;-;6
"210845 Peritoró";14;-;-;-;14
"210850 Pindaré-Mirim";4;-;-;-;4
"210860 Pinheiro";118;-;-;-;118
"210890 Poção de Pedras";1;-;-;-;1
"210900 Porto Franco";18;-;-;-;18
"210905 Porto Rico do Maranhão";2;-;-;-;2
"210910 Presidente Dutra";19;-;-;-;19
"210927 Presidente Sarney";5;-;-;-;5
"210930 Presidente Vargas";10;-;-;-;10
"210950 Riachão";10;-;-;-;10
"210960 Rosário";14;-;-;-;14
"210980 Santa Helena";75;-;-;-;75
"210990 Santa Inês";25;-;-;-;25
"211000 Santa Luzia";-;1;-;-;1
"211003 Santa Luzia do Paruá";3;-;-;-;3
"211020 Santa Rita";3;-;-;-;3
"211060 São Bernardo";3;-;-;-;3
"211070 São Domingos do Maranhão";24;-;-;-;24
"211085 São Francisco do Brejão";6;-;-;-;6
"211105 São João do Paraíso";14;-;-;-;14
"211107 São João do Soter";1;-;-;-;1
"211110 São João dos Patos";3;-;-;-;3
"211120 São José de Ribamar";43;-;-;-;43
"211130 São Luís";227;1;2;-;230
"211160 São Raimundo das Mangabeiras";1;-;-;-;1
"211174 Senador Alexandre Costa";55;-;-;-;55
"211176 Senador La Rocque";2;-;-;-;2
"211180 Sítio Novo";4;-;-;-;4
"211200 Tasso Fragoso";25;-;-;-;25
"211220 Timon";41;-;-;-;41
"211223 Trizidela do Vale";2;-;-;-;2
"211230 Tuntum";68;-;-;-;68
"211250 Tutóia";1;-;-;-;1
"211260 Urbano Santos";18;2;-;-;20
"211270 Vargem Grande";39;-;-;-;39
"211280 Viana";1;-;-;-;1
"211400 Zé Doca";145;-;-;-;145
"221100 Teresina";1;-;-;-;1
"000000 Ignorado ou exterior";5065;4;-;-;5069
"Total";8052;17;2;1;8072
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
