DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2017
"Município infecção";"Ign/Branco";"DEN 1";"Total"
"150293 Dom Eliseu";1;-;1
"172100 Palmas";1;-;1
"210005 Açailândia";2;-;2
"210010 Afonso Cunha";1;-;1
"210020 Alcântara";2;-;2
"210030 Aldeias Altas";10;-;10
"210047 Alto Alegre do Pindaré";6;-;6
"210050 Alto Parnaíba";25;-;25
"210060 Amarante do Maranhão";85;-;85
"210080 Anapurus";19;-;19
"210110 Axixá";1;-;1
"210120 Bacabal";31;5;36
"210125 Bacabeira";1;-;1
"210140 Balsas";647;-;647
"210150 Barão de Grajaú";7;-;7
"210160 Barra do Corda";164;-;164
"210200 Bom Jardim";17;-;17
"210207 Bom Lugar";2;-;2
"210210 Brejo";12;-;12
"210215 Brejo de Areia";1;-;1
"210220 Buriti";3;-;3
"210230 Buriti Bravo";1;-;1
"210255 Campestre do Maranhão";50;-;50
"210280 Carolina";23;-;23
"210300 Caxias";308;-;308
"210315 Centro do Guilherme";1;-;1
"210320 Chapadinha";35;-;35
"210325 Cidelândia";10;-;10
"210330 Codó";6;-;6
"210350 Colinas";3;-;3
"210360 Coroatá";13;-;13
"210370 Cururupu";13;-;13
"210380 Dom Pedro";6;-;6
"210405 Estreito";68;-;68
"210407 Feira Nova do Maranhão";22;-;22
"210409 Formosa da Serra Negra";8;-;8
"210410 Fortaleza dos Nogueiras";33;-;33
"210420 Fortuna";10;-;10
"210430 Godofredo Viana";1;-;1
"210455 Governador Edison Lobão";12;-;12
"210462 Governador Luiz Rocha";14;-;14
"210470 Graça Aranha";3;-;3
"210480 Grajaú";5;-;5
"210515 Igarapé do Meio";1;-;1
"210530 Imperatriz";175;-;175
"210535 Itaipava do Grajaú";1;-;1
"210540 Itapecuru Mirim";7;-;7
"210542 Itinga do Maranhão";34;-;34
"210547 Jenipapo dos Vieiras";40;-;40
"210570 Lago da Pedra";5;-;5
"210590 Lago Verde";2;-;2
"210592 Lagoa do Mato";1;-;1
"210596 Lagoa Grande do Maranhão";1;-;1
"210610 Loreto";1;-;1
"210660 Matões";2;-;2
"210700 Montes Altos";3;-;3
"210725 Nova Colinas";2;-;2
"210730 Nova Iorque";1;-;1
"210750 Paço do Lumiar";28;-;28
"210770 Paraibano";1;-;1
"210790 Passagem Franca";13;-;13
"210800 Pastos Bons";1;-;1
"210810 Paulo Ramos";1;-;1
"210820 Pedreiras";3;-;3
"210845 Peritoró";5;-;5
"210850 Pindaré-Mirim";3;-;3
"210870 Pio XII";2;-;2
"210890 Poção de Pedras";1;-;1
"210900 Porto Franco";3;-;3
"210910 Presidente Dutra";3;-;3
"210945 Raposa";3;-;3
"210950 Riachão";30;-;30
"210960 Rosário";4;-;4
"210970 Sambaíba";12;-;12
"210990 Santa Inês";24;-;24
"211020 Santa Rita";1;-;1
"211060 São Bernardo";1;-;1
"211085 São Francisco do Brejão";30;-;30
"211105 São João do Paraíso";5;-;5
"211110 São João dos Patos";4;-;4
"211120 São José de Ribamar";174;-;174
"211125 São José dos Basílios";3;-;3
"211130 São Luís";939;-;939
"211140 São Luís Gonzaga do Maranhão";2;-;2
"211157 São Pedro dos Crentes";2;-;2
"211160 São Raimundo das Mangabeiras";79;-;79
"211167 São Roberto";1;-;1
"211190 Sucupira do Norte";1;-;1
"211200 Tasso Fragoso";17;-;17
"211220 Timon";20;-;20
"211230 Tuntum";5;-;5
"211240 Turiaçu";3;-;3
"211245 Turilândia";1;-;1
"211250 Tutóia";1;-;1
"211270 Vargem Grande";8;-;8
"211280 Viana";1;-;1
"211285 Vila Nova dos Martírios";15;-;15
"211290 Vitória do Mearim";1;-;1
"000000 Ignorado ou exterior";3813;-;3813
"Total";7223;5;7228
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
