DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2018
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"Total"
"150553 Parauapebas";1;-;-;1
"210020 Alcântara";3;-;-;3
"210030 Aldeias Altas";8;-;-;8
"210047 Alto Alegre do Pindaré";26;-;-;26
"210050 Alto Parnaíba";20;-;-;20
"210060 Amarante do Maranhão";1;-;-;1
"210070 Anajatuba";2;-;-;2
"210080 Anapurus";40;-;-;40
"210100 Arari";2;-;-;2
"210120 Bacabal";1;-;-;1
"210125 Bacabeira";1;-;-;1
"210130 Bacuri";1;-;-;1
"210140 Balsas";4;-;-;4
"210160 Barra do Corda";124;-;-;124
"210190 Bequimão";1;-;-;1
"210197 Boa Vista do Gurupi";1;-;-;1
"210200 Bom Jardim";1;-;-;1
"210210 Brejo";4;-;-;4
"210220 Buriti";1;-;-;1
"210232 Buriticupu";3;-;-;3
"210235 Buritirana";1;-;-;1
"210255 Campestre do Maranhão";1;-;-;1
"210275 Capinzal do Norte";1;-;-;1
"210280 Carolina";5;-;-;5
"210290 Carutapera";1;-;-;1
"210300 Caxias";182;-;-;182
"210320 Chapadinha";16;-;-;16
"210360 Coroatá";9;-;-;9
"210370 Cururupu";2;-;-;2
"210390 Duque Bacelar";1;-;-;1
"210400 Esperantinópolis";3;-;-;3
"210405 Estreito";10;-;-;10
"210410 Fortaleza dos Nogueiras";4;-;-;4
"210450 Governador Archer";2;-;-;2
"210455 Governador Edison Lobão";12;-;-;12
"210462 Governador Luiz Rocha";5;-;-;5
"210500 Humberto de Campos";1;-;-;1
"210515 Igarapé do Meio";-;1;-;1
"210520 Igarapé Grande";2;-;-;2
"210530 Imperatriz";29;-;-;29
"210540 Itapecuru Mirim";9;-;-;9
"210542 Itinga do Maranhão";3;-;-;3
"210547 Jenipapo dos Vieiras";1;-;-;1
"210550 João Lisboa";1;-;-;1
"210570 Lago da Pedra";1;-;-;1
"210596 Lagoa Grande do Maranhão";3;-;-;3
"210632 Maracaçumé";59;-;-;59
"210640 Mata Roma";1;-;-;1
"210663 Matões do Norte";1;-;-;1
"210667 Milagres do Maranhão";1;-;-;1
"210675 Miranda do Norte";2;-;-;2
"210700 Montes Altos";4;-;-;4
"210720 Nina Rodrigues";2;-;-;2
"210750 Paço do Lumiar";23;-;-;23
"210780 Parnarama";1;-;-;1
"210820 Pedreiras";3;-;-;3
"210860 Pinheiro";1;-;-;1
"210900 Porto Franco";2;-;-;2
"210910 Presidente Dutra";2;-;-;2
"210920 Presidente Juscelino";1;-;-;1
"210927 Presidente Sarney";1;-;-;1
"210930 Presidente Vargas";1;-;-;1
"210945 Raposa";6;-;-;6
"210950 Riachão";7;-;-;7
"210955 Ribamar Fiquene";1;-;-;1
"210960 Rosário";1;-;-;1
"210980 Santa Helena";2;-;-;2
"210990 Santa Inês";5;-;-;5
"211000 Santa Luzia";3;-;-;3
"211020 Santa Rita";7;-;-;7
"211040 São Benedito do Rio Preto";2;-;-;2
"211085 São Francisco do Brejão";4;-;-;4
"211105 São João do Paraíso";2;-;-;2
"211107 São João do Soter";1;-;-;1
"211120 São José de Ribamar";64;-;-;64
"211130 São Luís";495;-;1;496
"211153 São Pedro da Água Branca";1;-;-;1
"211167 São Roberto";1;-;-;1
"211176 Senador La Rocque";4;-;-;4
"211180 Sítio Novo";5;-;-;5
"211200 Tasso Fragoso";4;-;-;4
"211220 Timon";9;-;-;9
"211223 Trizidela do Vale";1;-;-;1
"211230 Tuntum";2;-;-;2
"211240 Turiaçu";3;-;-;3
"211250 Tutóia";1;-;-;1
"211260 Urbano Santos";1;-;-;1
"211270 Vargem Grande";2;-;-;2
"211280 Viana";4;-;-;4
"211285 Vila Nova dos Martírios";1;-;-;1
"211290 Vitória do Mearim";1;-;-;1
"211300 Vitorino Freire";1;-;-;1
"211400 Zé Doca";2;-;-;2
"000000 Ignorado ou exterior";884;1;-;885
"Total";2182;2;1;2185
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
