DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2010
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;-;-;-;-;-;-;-;-;-;-;-;1
"110004 Cacoal";11;-;-;-;-;-;-;-;-;-;-;-;11
"110005 Cerejeiras";-;1;-;-;-;-;-;-;-;-;-;-;1
"110006 Colorado do Oeste";-;-;-;-;-;-;-;-;-;-;1;-;1
"110094 Cujubim";-;1;-;-;-;-;-;-;-;-;-;-;1
"110011 Jaru";1;-;-;-;-;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";5;-;-;-;-;-;-;-;-;-;-;-;5
"110020 Porto Velho";-;1;-;-;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";1;-;-;-;-;-;-;-;-;-;-;1;2
"110030 Vilhena";-;1;1;-;-;1;-;-;-;-;-;1;4
"150060 Altamira";-;-;1;-;-;-;-;1;-;1;2;1;6
"150503 Novo Progresso";1;-;-;-;-;-;-;-;-;-;1;2;4
"150815 Uruará";-;-;-;-;-;-;-;-;-;-;1;-;1
"350280 Araçatuba";-;-;1;-;-;-;-;-;-;-;-;-;1
"351870 Guarujá";1;-;-;-;-;-;-;-;-;-;-;-;1
"351900 Herculândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"354100 Praia Grande";-;-;1;-;-;-;-;-;-;-;-;-;1
"355710 Votuporanga";-;-;1;-;-;-;-;-;-;-;-;-;1
"412140 Realeza";-;-;-;-;-;-;-;-;-;-;-;1;1
"412730 Terra Rica";1;-;-;-;-;-;-;-;-;-;-;-;1
"430064 Ametista do Sul";-;-;-;-;-;-;-;-;-;1;-;-;1
"510010 Acorizal";9;7;6;1;1;2;-;-;-;-;-;2;28
"510020 Água Boa";19;19;12;6;-;-;-;-;1;-;1;2;60
"510025 Alta Floresta";68;26;18;6;2;1;4;-;1;1;4;30;161
"510030 Alto Araguaia";61;43;16;6;2;-;-;-;-;-;-;3;131
"510035 Alto Boa Vista";1;12;-;3;-;-;-;-;-;-;-;-;16
"510040 Alto Garças";7;15;2;1;-;-;-;-;-;-;-;-;25
"510050 Alto Paraguai";5;1;3;5;6;4;1;3;13;15;8;10;74
"510060 Alto Taquari";11;16;9;6;1;2;-;1;-;-;-;-;46
"510080 Apiacás";-;-;-;1;-;-;-;-;-;-;-;1;2
"510100 Araguaiana";30;21;14;15;1;1;9;3;2;-;1;2;99
"510120 Araguainha";-;-;1;-;-;-;-;-;-;-;-;-;1
"510125 Araputanga";220;85;69;14;10;5;9;4;2;2;1;21;442
"510130 Arenápolis";4;4;6;6;4;3;-;-;2;-;9;8;46
"510140 Aripuanã";171;67;32;17;7;6;2;5;20;10;6;58;401
"510170 Barra do Bugres";45;34;15;9;5;-;1;-;-;-;-;13;122
"510180 Barra do Garças";1055;593;516;190;94;42;22;11;17;29;30;51;2650
"510185 Bom Jesus do Araguaia";1;7;9;3;1;-;-;-;-;-;1;1;23
"510190 Brasnorte";5;7;2;4;-;1;-;-;-;-;1;1;21
"510250 Cáceres";720;238;138;7;2;2;1;-;-;1;-;28;1137
"510260 Campinápolis";19;14;12;-;2;-;-;-;-;-;1;3;51
"510263 Campo Novo do Parecis";69;44;62;53;20;2;3;3;1;5;5;7;274
"510267 Campo Verde";93;33;46;16;8;2;-;-;1;1;3;28;231
"510268 Campos de Júlio";15;15;5;6;3;3;3;4;-;-;-;1;55
"510269 Canabrava do Norte";-;-;1;-;-;-;-;-;-;-;-;-;1
"510270 Canarana";23;26;31;8;10;14;2;-;1;2;8;3;128
"510279 Carlinda";22;5;6;1;-;-;-;-;-;-;-;1;35
"510285 Castanheira";56;65;20;27;11;3;-;-;-;1;-;8;191
"510300 Chapada dos Guimarães";2;2;3;6;5;-;-;-;-;2;1;3;24
"510305 Cláudia";57;10;12;7;3;3;-;3;-;-;1;6;102
"510310 Cocalinho";5;-;1;-;-;-;-;-;-;-;-;-;6
"510320 Colíder";95;30;19;7;5;1;10;3;7;2;5;36;220
"510325 Colniza";379;123;7;-;1;2;1;-;-;-;-;33;546
"510330 Comodoro";23;16;25;39;15;24;16;5;2;3;5;7;180
"510335 Confresa";5;10;2;9;2;-;1;-;-;-;-;2;31
"510336 Conquista D'Oeste";7;7;4;-;1;-;-;-;-;-;2;3;24
"510337 Cotriguaçu";26;47;19;21;11;6;-;-;-;-;-;1;131
"510340 Cuiabá";1366;977;725;273;152;110;112;111;51;46;108;294;4325
"510343 Curvelândia";-;8;8;2;-;-;-;-;-;-;-;1;19
"510345 Denise";9;3;1;-;-;-;-;-;-;-;-;2;15
"510350 Diamantino";54;66;76;57;16;7;-;2;6;6;16;27;333
"510360 Dom Aquino";24;24;1;1;-;1;-;-;-;1;-;1;53
"510370 Feliz Natal";40;19;15;28;5;1;1;-;-;1;1;8;119
"510380 Figueirópolis D'Oeste";2;1;3;1;-;-;-;-;-;1;-;3;11
"510385 Gaúcha do Norte";8;1;-;2;-;-;-;-;-;1;-;6;18
"510390 General Carneiro";18;6;9;4;4;-;-;-;-;5;31;67;144
"510395 Glória D'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"510410 Guarantã do Norte";225;143;75;21;4;2;2;2;-;2;33;41;550
"510420 Guiratinga";31;13;28;5;2;1;-;-;-;-;1;3;84
"510450 Indiavaí";6;11;8;1;-;1;-;-;2;-;-;2;31
"510452 Ipiranga do Norte";14;8;5;3;1;1;-;-;-;-;-;5;37
"510454 Itanhangá";21;15;4;-;-;-;-;-;-;-;-;2;42
"510455 Itaúba";136;54;21;13;2;-;-;-;-;2;-;8;236
"510460 Itiquira";35;54;59;39;6;1;-;-;-;-;-;-;194
"510480 Jaciara";133;129;59;33;8;2;2;-;1;1;1;32;401
"510490 Jangada";1;4;6;3;2;-;-;-;-;1;1;1;19
"510500 Jauru";148;31;14;7;5;10;10;3;2;2;9;72;313
"510510 Juara";176;142;87;52;25;8;1;1;-;2;21;29;544
"510515 Juína";526;276;75;32;10;1;2;-;5;6;22;96;1051
"510517 Juruena";154;69;37;15;9;7;-;-;-;-;6;11;308
"510520 Juscimeira";94;21;13;6;1;1;4;-;1;-;-;7;148
"510523 Lambari D'Oeste";-;6;4;1;1;-;-;-;-;-;-;-;12
"510525 Lucas do Rio Verde";151;67;22;19;14;2;1;-;-;-;-;34;310
"510558 Marcelândia";67;90;28;7;1;4;-;-;1;-;-;7;205
"510560 Matupá";125;57;18;4;-;1;1;-;-;-;23;26;255
"510562 Mirassol d'Oeste";199;64;29;8;-;-;-;-;1;1;6;25;333
"510590 Nobres";33;12;8;-;1;8;-;-;-;1;1;2;66
"510600 Nortelândia";6;4;6;3;6;1;-;-;-;1;-;1;28
"510610 Nossa Senhora do Livramento";58;15;13;-;-;-;-;-;-;-;-;7;93
"510615 Nova Bandeirantes";144;51;15;4;3;1;-;-;1;1;2;8;230
"510620 Nova Brasilândia";67;35;23;4;3;1;2;-;6;7;44;50;242
"510621 Nova Canaã do Norte";45;2;2;2;-;-;-;-;-;1;-;3;55
"510618 Nova Lacerda";7;1;11;5;7;1;2;-;1;-;-;2;37
"510885 Nova Marilândia";3;-;-;-;1;-;-;-;-;-;-;-;4
"510890 Nova Maringá";-;2;-;1;3;-;-;-;-;-;-;-;6
"510895 Nova Monte Verde";9;110;85;28;10;8;-;-;-;-;-;-;250
"510622 Nova Mutum";12;10;14;28;9;1;4;-;-;3;-;4;85
"510623 Nova Olímpia";21;22;35;5;-;-;-;-;3;-;1;-;87
"510619 Nova Santa Helena";7;5;3;2;-;-;-;-;1;-;-;4;22
"510624 Nova Ubiratã";93;11;22;7;13;2;1;1;2;-;1;14;167
"510625 Nova Xavantina";23;17;15;12;3;2;-;-;-;-;1;3;76
"510627 Novo Horizonte do Norte";1;4;5;2;-;-;-;-;-;-;-;3;15
"510626 Novo Mundo";-;-;-;-;-;-;-;-;-;-;1;-;1
"510628 Novo São Joaquim";5;5;1;2;-;-;-;-;-;-;-;1;14
"510629 Paranaíta";30;31;23;50;40;1;1;2;1;-;-;-;179
"510630 Paranatinga";32;21;2;-;-;1;-;-;-;-;-;1;57
"510637 Pedra Preta";33;8;10;5;1;-;-;-;-;-;-;11;68
"510642 Peixoto de Azevedo";45;13;3;3;1;-;2;1;-;-;3;6;77
"510645 Planalto da Serra";3;8;2;-;-;-;-;-;-;-;-;-;13
"510650 Poconé";19;39;27;5;1;-;-;-;-;-;-;1;92
"510665 Pontal do Araguaia";235;82;26;10;2;1;1;-;2;2;1;9;371
"510670 Ponte Branca";-;-;-;1;1;-;-;-;-;-;-;-;2
"510675 Pontes e Lacerda";238;266;220;54;14;28;4;1;1;-;7;42;875
"510680 Porto dos Gaúchos";22;12;-;-;-;-;-;-;-;-;-;3;37
"510682 Porto Esperidião";49;45;2;-;-;-;-;-;-;1;6;40;143
"510685 Porto Estrela";20;1;-;-;-;-;-;-;-;-;-;-;21
"510700 Poxoréo";21;36;26;2;2;-;-;-;-;-;-;2;89
"510704 Primavera do Leste";1205;805;373;58;2;-;-;-;-;2;4;40;2489
"510706 Querência";16;7;29;24;9;-;-;-;-;-;-;1;86
"510715 Reserva do Cabaçal";19;16;7;7;2;-;-;-;-;-;-;-;51
"510718 Ribeirão Cascalheira";34;31;15;4;-;1;-;1;-;-;6;9;101
"510719 Ribeirãozinho";33;85;41;23;14;-;-;-;-;-;-;1;197
"510720 Rio Branco";13;1;-;-;-;1;-;-;-;-;-;-;15
"510757 Rondolândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"510760 Rondonópolis";1400;785;336;103;48;15;4;1;-;-;4;143;2839
"510770 Rosário Oeste";13;9;12;15;2;1;-;-;-;5;5;5;67
"510775 Salto do Céu";10;7;3;5;1;-;-;-;-;-;-;6;32
"510724 Santa Carmem";77;45;9;15;7;3;-;-;-;-;1;12;169
"510776 Santa Rita do Trivelato";8;2;1;5;-;-;-;-;-;-;-;-;16
"510777 Santa Terezinha";1;-;-;-;-;-;-;-;-;-;-;-;1
"510726 Santo Afonso";-;1;2;1;-;-;1;-;-;1;-;-;6
"510779 Santo Antônio do Leste";8;12;3;2;-;-;-;-;-;-;-;5;30
"510780 Santo Antônio do Leverger";1;-;1;1;1;-;-;-;-;-;-;-;4
"510785 São Félix do Araguaia";20;29;21;4;-;1;-;-;-;-;-;-;75
"510729 São José do Povo";8;6;4;2;1;1;-;-;-;-;-;-;22
"510730 São José do Rio Claro";41;25;8;4;1;-;-;-;-;-;-;4;83
"510735 São José do Xingu";3;3;15;64;6;12;9;7;6;4;1;3;133
"510710 São José dos Quatro Marcos";353;116;34;12;6;2;1;1;8;15;16;43;607
"510740 São Pedro da Cipa";6;2;8;3;-;-;-;-;-;-;-;2;21
"510787 Sapezal";46;24;19;12;12;1;2;-;-;-;-;4;120
"510788 Serra Nova Dourada";2;-;-;-;-;-;-;-;-;-;-;-;2
"510790 Sinop";1020;624;231;151;73;26;13;19;18;14;47;178;2414
"510792 Sorriso";357;142;50;48;29;1;4;2;-;2;2;61;698
"510794 Tabaporã";38;1;-;-;-;-;-;-;-;1;17;-;57
"510795 Tangará da Serra";138;133;165;30;19;9;2;3;6;7;7;34;553
"510800 Tapurah";36;34;61;44;12;18;4;-;-;-;-;18;227
"510805 Terra Nova do Norte";52;24;14;6;1;-;1;1;-;-;2;2;103
"510810 Tesouro";-;-;-;-;-;-;-;-;-;-;1;-;1
"510820 Torixoréu";9;66;37;5;-;-;-;1;-;-;-;3;121
"510830 União do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"510835 Vale de São Domingos";2;8;10;1;4;-;-;-;-;-;-;1;26
"510840 Várzea Grande";559;368;219;86;22;20;26;21;21;21;36;138;1537
"510850 Vera";80;59;42;38;18;10;10;3;3;2;4;18;287
"510550 Vila Bela da Santíssima Trindade";166;26;20;2;-;-;-;1;2;5;5;103;330
