DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2016
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150375 Jacareacanga";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"150503 Novo Progresso";-;2;-;-;-;-;-;-;-;1;-;-;-;3
"172100 Palmas";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"211130 São Luís";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"292740 Salvador";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"310620 Belo Horizonte";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"317130 Viçosa";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350210 Andradina";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"352230 Itapetininga";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"355030 São Paulo";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"411520 Maringá";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"412125 Ramilândia";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"412405 Santa Terezinha de Itaipu";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"500370 Dourados";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"500793 Sonora";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"510010 Acorizal";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"510020 Água Boa";-;6;14;4;1;-;-;-;-;-;1;-;1;27
"510025 Alta Floresta";-;605;676;265;83;13;13;2;10;12;23;48;97;1847
"510030 Alto Araguaia";-;2;-;2;2;-;1;-;-;-;-;-;-;7
"510035 Alto Boa Vista";-;-;4;1;-;-;-;-;-;-;-;-;-;5
"510040 Alto Garças";-;-;8;-;-;-;-;-;-;-;-;1;-;9
"510050 Alto Paraguai";-;2;1;2;-;-;-;-;-;-;-;-;-;5
"510060 Alto Taquari";-;-;5;10;3;-;-;-;-;-;-;2;-;20
"510080 Apiacás";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"510100 Araguaiana";-;-;2;-;1;-;-;-;-;-;1;-;-;4
"510120 Araguainha";-;8;3;1;1;-;-;-;-;-;-;-;1;14
"510125 Araputanga";-;21;10;9;3;1;1;-;-;-;-;-;-;45
"510130 Arenápolis";-;9;-;-;-;-;-;-;-;-;-;1;1;11
"510140 Aripuanã";-;210;197;38;5;6;3;1;-;11;3;13;36;523
"510170 Barra do Bugres";-;3;4;4;2;1;-;-;-;-;-;-;-;14
"510180 Barra do Garças";-;74;50;5;2;-;1;-;-;1;-;3;4;140
"510185 Bom Jesus do Araguaia";-;49;17;1;-;-;-;-;-;-;-;-;3;70
"510190 Brasnorte";-;9;9;3;1;1;-;1;-;-;-;1;4;29
"510250 Cáceres";-;1;2;2;2;3;7;1;1;-;-;3;5;27
"510260 Campinápolis";-;5;7;-;-;-;-;-;-;-;-;6;3;21
"510263 Campo Novo do Parecis";-;36;14;4;1;1;-;-;-;-;-;2;2;60
"510267 Campo Verde";-;72;81;29;15;2;2;2;1;-;1;6;15;226
"510268 Campos de Júlio";-;18;14;16;17;2;-;-;-;-;-;-;-;67
"510269 Canabrava do Norte";-;-;18;3;1;-;-;-;-;-;-;-;-;22
"510270 Canarana";-;55;125;127;22;6;3;1;-;-;1;-;5;345
"510279 Carlinda";-;4;2;1;1;-;-;-;-;-;-;5;1;14
"510285 Castanheira";-;10;9;7;1;5;1;-;-;-;-;1;1;35
"510300 Chapada dos Guimarães";-;2;1;1;-;-;1;2;-;-;-;-;1;8
"510305 Cláudia";-;3;4;-;2;-;-;-;-;-;-;2;4;15
"510310 Cocalinho";-;3;4;10;5;2;-;-;-;-;-;-;1;25
"510320 Colíder";-;58;109;66;5;9;2;1;-;-;2;2;3;257
"510325 Colniza";-;81;58;30;26;18;11;7;5;21;52;175;188;672
"510330 Comodoro";-;22;2;1;-;-;-;-;-;-;-;-;1;26
"510335 Confresa";-;22;40;18;5;-;-;-;-;-;-;-;1;86
"510337 Cotriguaçu";-;102;21;7;7;1;1;-;-;-;1;2;12;154
"510340 Cuiabá";-;412;323;113;123;82;60;63;125;123;58;99;120;1701
"510345 Denise";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"510350 Diamantino";-;2;-;-;-;-;-;-;-;-;-;1;-;3
"510360 Dom Aquino";-;4;1;-;-;-;-;-;-;-;1;-;1;7
"510370 Feliz Natal";-;4;2;4;1;1;1;1;4;4;8;1;-;31
"510385 Gaúcha do Norte";-;16;-;-;-;-;-;-;-;-;-;-;6;22
"510390 General Carneiro";-;23;19;8;-;1;-;1;-;-;-;-;2;54
"510410 Guarantã do Norte";-;402;213;40;6;2;1;1;1;5;3;4;30;708
"510420 Guiratinga";-;1;4;1;-;-;-;-;-;1;-;-;-;7
"510450 Indiavaí";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"510452 Ipiranga do Norte";-;12;15;8;16;13;17;2;-;-;-;-;-;83
"510454 Itanhangá";-;2;19;18;7;1;2;3;-;-;-;1;1;54
"510455 Itaúba";-;13;43;10;5;2;-;-;-;-;1;-;1;75
"510460 Itiquira";-;5;9;42;9;4;-;2;-;2;-;4;-;77
"510480 Jaciara";-;112;172;53;27;7;-;-;-;-;-;1;4;376
"510500 Jauru";-;2;1;1;-;-;-;-;-;-;-;-;-;4
"510510 Juara";-;9;3;5;1;1;-;-;-;2;1;5;2;29
"510515 Juína";-;281;133;38;26;9;4;4;2;5;2;7;52;563
"510517 Juruena";-;9;7;1;-;-;-;-;-;-;-;-;-;17
"510520 Juscimeira";-;1;14;14;1;1;3;1;-;-;-;-;-;35
"510525 Lucas do Rio Verde";-;40;28;12;4;1;-;-;1;1;-;3;29;119
"510558 Marcelândia";-;68;75;21;12;2;-;-;-;-;4;11;4;197
"510560 Matupá";-;144;73;16;11;4;1;-;1;3;1;3;14;271
"510562 Mirassol d'Oeste";-;32;11;4;-;2;-;2;1;-;-;-;3;55
"510590 Nobres";-;1;1;-;1;-;-;-;-;-;-;-;-;3
"510600 Nortelândia";-;2;-;1;-;-;-;-;-;-;-;-;-;3
"510615 Nova Bandeirantes";-;12;-;-;-;-;-;-;-;-;-;-;-;12
"510620 Nova Brasilândia";-;2;1;-;-;-;-;-;-;-;-;-;-;3
"510621 Nova Canaã do Norte";-;2;46;27;12;-;-;1;-;-;-;-;-;88
"510880 Nova Guarita";-;73;39;11;-;-;-;-;-;-;-;-;9;132
"510890 Nova Maringá";-;4;2;-;-;-;-;-;-;-;-;-;-;6
"510895 Nova Monte Verde";-;10;31;17;12;4;3;-;-;-;3;15;28;123
"510622 Nova Mutum";-;73;71;45;14;3;-;1;-;-;-;-;5;212
"510617 Nova Nazaré";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"510623 Nova Olímpia";-;4;10;4;-;-;-;-;-;-;-;-;-;18
"510619 Nova Santa Helena";-;30;46;18;7;4;-;-;-;1;-;1;-;107
"510624 Nova Ubiratã";-;16;13;4;2;4;3;1;-;-;-;-;1;44
"510625 Nova Xavantina";-;59;59;16;2;1;-;1;-;-;-;2;-;140
"510627 Novo Horizonte do Norte";-;5;10;4;-;-;-;-;-;-;-;-;2;21
"510626 Novo Mundo";-;51;69;28;1;-;-;-;1;-;-;-;4;154
"510631 Novo Santo Antônio";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"510628 Novo São Joaquim";-;11;7;4;-;-;-;-;-;-;-;-;3;25
"510629 Paranaíta";-;1;3;-;-;-;2;1;-;1;-;-;7;15
"510630 Paranatinga";-;82;64;36;8;2;1;-;-;6;7;1;1;208
"510637 Pedra Preta";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"510642 Peixoto de Azevedo";-;250;180;99;40;16;6;1;2;1;-;3;19;617
"510645 Planalto da Serra";-;6;-;-;-;-;-;-;-;-;-;-;1;7
"510650 Poconé";-;1;1;1;-;-;-;-;-;-;-;-;-;3
"510665 Pontal do Araguaia";-;7;1;-;-;-;-;-;-;-;-;-;1;9
"510670 Ponte Branca";-;1;2;4;1;1;-;-;-;-;-;-;-;9
