DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"Total"
"411520 Maringá";1;-;1
"510010 Acorizal";2;-;2
"510020 Água Boa";8;-;8
"510025 Alta Floresta";591;-;591
"510030 Alto Araguaia";13;-;13
"510040 Alto Garças";3;-;3
"510050 Alto Paraguai";2;-;2
"510060 Alto Taquari";12;-;12
"510080 Apiacás";1;-;1
"510100 Araguaiana";2;-;2
"510125 Araputanga";44;-;44
"510130 Arenápolis";4;-;4
"510140 Aripuanã";48;2;50
"510170 Barra do Bugres";3;-;3
"510180 Barra do Garças";30;-;30
"510185 Bom Jesus do Araguaia";12;-;12
"510190 Brasnorte";18;-;18
"510250 Cáceres";53;-;53
"510260 Campinápolis";3;-;3
"510263 Campo Novo do Parecis";8;-;8
"510267 Campo Verde";39;-;39
"510268 Campos de Júlio";76;-;76
"510269 Canabrava do Norte";11;1;12
"510270 Canarana";6;-;6
"510279 Carlinda";22;-;22
"510285 Castanheira";1;-;1
"510300 Chapada dos Guimarães";2;-;2
"510305 Cláudia";13;-;13
"510310 Cocalinho";1;-;1
"510320 Colíder";32;-;32
"510325 Colniza";214;-;214
"510330 Comodoro";58;-;58
"510335 Confresa";39;-;39
"510337 Cotriguaçu";9;-;9
"510340 Cuiabá";1285;1;1286
"510343 Curvelândia";1;-;1
"510360 Dom Aquino";4;-;4
"510370 Feliz Natal";19;-;19
"510385 Gaúcha do Norte";5;-;5
"510390 General Carneiro";3;-;3
"510410 Guarantã do Norte";12;-;12
"510420 Guiratinga";8;-;8
"510450 Indiavaí";8;-;8
"510452 Ipiranga do Norte";5;-;5
"510454 Itanhangá";14;-;14
"510455 Itaúba";43;-;43
"510460 Itiquira";1;-;1
"510480 Jaciara";32;-;32
"510500 Jauru";13;-;13
"510510 Juara";40;-;40
"510515 Juína";104;-;104
"510517 Juruena";3;-;3
"510520 Juscimeira";4;-;4
"510523 Lambari D'Oeste";2;-;2
"510525 Lucas do Rio Verde";24;1;25
"510558 Marcelândia";38;-;38
"510560 Matupá";50;-;50
"510562 Mirassol d'Oeste";2;-;2
"510590 Nobres";10;-;10
"510600 Nortelândia";1;-;1
"510610 Nossa Senhora do Livramento";2;-;2
"510615 Nova Bandeirantes";3;-;3
"510621 Nova Canaã do Norte";24;-;24
"510618 Nova Lacerda";2;-;2
"510895 Nova Monte Verde";10;-;10
"510622 Nova Mutum";14;-;14
"510623 Nova Olímpia";30;-;30
"510619 Nova Santa Helena";25;-;25
"510624 Nova Ubiratã";21;-;21
"510625 Nova Xavantina";23;-;23
"510626 Novo Mundo";1;-;1
"510629 Paranaíta";33;-;33
"510637 Pedra Preta";3;1;4
"510642 Peixoto de Azevedo";24;-;24
"510650 Poconé";1;-;1
"510665 Pontal do Araguaia";4;-;4
"510670 Ponte Branca";6;-;6
"510675 Pontes e Lacerda";95;1;96
"510677 Porto Alegre do Norte";16;-;16
"510680 Porto dos Gaúchos";6;-;6
"510682 Porto Esperidião";58;-;58
"510700 Poxoréo";3;-;3
"510704 Primavera do Leste";15;-;15
"510706 Querência";9;-;9
"510715 Reserva do Cabaçal";113;-;113
"510718 Ribeirão Cascalheira";2;-;2
"510719 Ribeirãozinho";4;-;4
"510720 Rio Branco";2;-;2
"510760 Rondonópolis";130;-;130
"510770 Rosário Oeste";3;1;4
"510775 Salto do Céu";4;-;4
"510724 Santa Carmem";9;-;9
"510774 Santa Cruz do Xingu";1;1;2
"510776 Santa Rita do Trivelato";1;-;1
"510785 São Félix do Araguaia";1;-;1
"510729 São José do Povo";1;-;1
"510730 São José do Rio Claro";2;-;2
"510710 São José dos Quatro Marcos";16;1;17
"510787 Sapezal";39;-;39
"510788 Serra Nova Dourada";1;-;1
"510790 Sinop";1543;-;1543
"510792 Sorriso";104;-;104
"510795 Tangará da Serra";21;-;21
"510800 Tapurah";98;-;98
"510805 Terra Nova do Norte";15;-;15
"510810 Tesouro";1;-;1
"510820 Torixoréu";6;-;6
"510830 União do Sul";5;-;5
"510835 Vale de São Domingos";3;-;3
"510840 Várzea Grande";225;-;225
"510850 Vera";32;-;32
"510550 Vila Bela da Santíssima Trindade";78;-;78
"520725 Doverlândia";1;-;1
"520870 Goiânia";1;-;1
"521190 Jataí";1;-;1
"521310 Mineiros";1;-;1
"521720 Piranhas";1;-;1
"000000 Ignorado ou exterior";1293;3;1296
"Total";7298;13;7311
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
