DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2016
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"150375 Jacareacanga";2;-;-;-;2
"150503 Novo Progresso";3;-;-;-;3
"172100 Palmas";1;-;-;-;1
"211130 São Luís";1;-;-;-;1
"292740 Salvador";1;-;-;-;1
"310620 Belo Horizonte";1;-;-;-;1
"317130 Viçosa";1;-;-;-;1
"350210 Andradina";1;-;-;-;1
"352230 Itapetininga";1;-;-;-;1
"355030 São Paulo";1;-;-;-;1
"411520 Maringá";1;-;-;-;1
"412125 Ramilândia";1;-;-;-;1
"412405 Santa Terezinha de Itaipu";1;-;-;-;1
"500370 Dourados";1;-;-;-;1
"500793 Sonora";2;-;-;-;2
"510010 Acorizal";1;-;-;-;1
"510020 Água Boa";27;-;-;-;27
"510025 Alta Floresta";1847;-;-;-;1847
"510030 Alto Araguaia";7;-;-;-;7
"510035 Alto Boa Vista";5;-;-;-;5
"510040 Alto Garças";9;-;-;-;9
"510050 Alto Paraguai";5;-;-;-;5
"510060 Alto Taquari";20;-;-;-;20
"510080 Apiacás";1;-;-;-;1
"510100 Araguaiana";4;-;-;-;4
"510120 Araguainha";14;-;-;-;14
"510125 Araputanga";45;-;-;-;45
"510130 Arenápolis";11;-;-;-;11
"510140 Aripuanã";523;-;-;-;523
"510170 Barra do Bugres";14;-;-;-;14
"510180 Barra do Garças";140;-;-;-;140
"510185 Bom Jesus do Araguaia";70;-;-;-;70
"510190 Brasnorte";29;-;-;-;29
"510250 Cáceres";27;-;-;-;27
"510260 Campinápolis";21;-;-;-;21
"510263 Campo Novo do Parecis";60;-;-;-;60
"510267 Campo Verde";226;-;-;-;226
"510268 Campos de Júlio";67;-;-;-;67
"510269 Canabrava do Norte";22;-;-;-;22
"510270 Canarana";345;-;-;-;345
"510279 Carlinda";14;-;-;-;14
"510285 Castanheira";35;-;-;-;35
"510300 Chapada dos Guimarães";8;-;-;-;8
"510305 Cláudia";15;-;-;-;15
"510310 Cocalinho";25;-;-;-;25
"510320 Colíder";257;-;-;-;257
"510325 Colniza";670;1;1;-;672
"510330 Comodoro";26;-;-;-;26
"510335 Confresa";86;-;-;-;86
"510337 Cotriguaçu";154;-;-;-;154
"510340 Cuiabá";1701;-;-;-;1701
"510345 Denise";1;-;-;-;1
"510350 Diamantino";3;-;-;-;3
"510360 Dom Aquino";7;-;-;-;7
"510370 Feliz Natal";31;-;-;-;31
"510385 Gaúcha do Norte";22;-;-;-;22
"510390 General Carneiro";54;-;-;-;54
"510410 Guarantã do Norte";708;-;-;-;708
"510420 Guiratinga";7;-;-;-;7
"510450 Indiavaí";2;-;-;-;2
"510452 Ipiranga do Norte";83;-;-;-;83
"510454 Itanhangá";54;-;-;-;54
"510455 Itaúba";75;-;-;-;75
"510460 Itiquira";75;2;-;-;77
"510480 Jaciara";376;-;-;-;376
"510500 Jauru";4;-;-;-;4
"510510 Juara";29;-;-;-;29
"510515 Juína";562;1;-;-;563
"510517 Juruena";17;-;-;-;17
"510520 Juscimeira";35;-;-;-;35
"510525 Lucas do Rio Verde";119;-;-;-;119
"510558 Marcelândia";197;-;-;-;197
"510560 Matupá";271;-;-;-;271
"510562 Mirassol d'Oeste";55;-;-;-;55
"510590 Nobres";3;-;-;-;3
"510600 Nortelândia";3;-;-;-;3
"510615 Nova Bandeirantes";12;-;-;-;12
"510620 Nova Brasilândia";3;-;-;-;3
"510621 Nova Canaã do Norte";88;-;-;-;88
"510880 Nova Guarita";132;-;-;-;132
"510890 Nova Maringá";6;-;-;-;6
"510895 Nova Monte Verde";122;1;-;-;123
"510622 Nova Mutum";206;6;-;-;212
"510617 Nova Nazaré";1;-;-;-;1
"510623 Nova Olímpia";18;-;-;-;18
"510619 Nova Santa Helena";107;-;-;-;107
"510624 Nova Ubiratã";44;-;-;-;44
"510625 Nova Xavantina";140;-;-;-;140
"510627 Novo Horizonte do Norte";21;-;-;-;21
"510626 Novo Mundo";154;-;-;-;154
"510631 Novo Santo Antônio";1;-;-;-;1
"510628 Novo São Joaquim";25;-;-;-;25
"510629 Paranaíta";15;-;-;-;15
"510630 Paranatinga";208;-;-;-;208
"510637 Pedra Preta";2;-;-;-;2
"510642 Peixoto de Azevedo";617;-;-;-;617
"510645 Planalto da Serra";7;-;-;-;7
"510650 Poconé";3;-;-;-;3
"510665 Pontal do Araguaia";9;-;-;-;9
"510670 Ponte Branca";9;-;-;-;9
"510675 Pontes e Lacerda";248;-;-;-;248
"510677 Porto Alegre do Norte";64;105;1;-;170
"510680 Porto dos Gaúchos";6;1;-;-;7
"510682 Porto Esperidião";3;-;-;-;3
"510685 Porto Estrela";1;-;-;-;1
"510700 Poxoréo";2;-;-;-;2
"510704 Primavera do Leste";521;1;-;-;522
"510706 Querência";138;-;-;-;138
"510715 Reserva do Cabaçal";51;-;-;-;51
"510718 Ribeirão Cascalheira";55;2;-;-;57
"510719 Ribeirãozinho";24;-;-;-;24
"510720 Rio Branco";34;-;-;-;34
"510760 Rondonópolis";216;-;-;-;216
"510770 Rosário Oeste";1;-;-;-;1
"510724 Santa Carmem";9;-;-;-;9
"510776 Santa Rita do Trivelato";16;-;-;-;16
"510779 Santo Antônio do Leste";20;-;-;-;20
"510780 Santo Antônio do Leverger";2;-;-;-;2
"510785 São Félix do Araguaia";55;1;-;-;56
"510730 São José do Rio Claro";4;-;-;-;4
"510735 São José do Xingu";18;-;-;-;18
"510710 São José dos Quatro Marcos";2;-;-;-;2
"510740 São Pedro da Cipa";4;-;-;-;4
"510787 Sapezal";32;-;-;-;32
"510788 Serra Nova Dourada";8;-;-;-;8
"510790 Sinop";1343;-;-;-;1343
"510792 Sorriso";396;-;-;-;396
"510794 Tabaporã";208;-;-;-;208
"510795 Tangará da Serra";211;1;-;-;212
"510800 Tapurah";258;-;-;-;258
"510805 Terra Nova do Norte";453;2;-;1;456
"510810 Tesouro";42;-;-;-;42
"510820 Torixoréu";59;-;-;-;59
"510830 União do Sul";26;-;-;-;26
"510835 Vale de São Domingos";8;-;-;-;8
"510840 Várzea Grande";710;-;-;-;710
"510850 Vera";86;-;-;-;86
"510550 Vila Bela da Santíssima Trindade";3;-;-;-;3
"510860 Vila Rica";3;-;-;-;3
"520870 Goiânia";6;-;-;-;6
"522010 São Luís de Montes Belos";1;-;-;-;1
"530010 Brasília";1;-;-;-;1
"000000 Ignorado ou exterior";4615;2;-;-;4617
"Total";21256;126;2;1;21385
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
