DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2017
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"Total"
"110006 Colorado do Oeste";1;-;-;1
"110012 Ji-Paraná";1;-;-;1
"150140 Belém";1;-;-;1
"150360 Itaituba";1;-;-;1
"210160 Barra do Corda";1;-;-;1
"210910 Presidente Dutra";1;-;-;1
"211125 São José dos Basílios";1;-;-;1
"411580 Medianeira";1;-;-;1
"510010 Acorizal";1;-;-;1
"510020 Água Boa";8;-;-;8
"510025 Alta Floresta";421;-;-;421
"510030 Alto Araguaia";21;-;-;21
"510040 Alto Garças";2;-;-;2
"510060 Alto Taquari";4;-;-;4
"510120 Araguainha";3;-;-;3
"510125 Araputanga";33;-;-;33
"510130 Arenápolis";15;1;1;17
"510140 Aripuanã";67;-;-;67
"510170 Barra do Bugres";12;-;-;12
"510180 Barra do Garças";4;-;-;4
"510190 Brasnorte";16;-;-;16
"510250 Cáceres";49;1;-;50
"510260 Campinápolis";2;-;-;2
"510263 Campo Novo do Parecis";20;-;-;20
"510267 Campo Verde";37;-;-;37
"510268 Campos de Júlio";3;-;-;3
"510269 Canabrava do Norte";1;-;-;1
"510270 Canarana";21;-;-;21
"510279 Carlinda";13;-;-;13
"510285 Castanheira";7;1;-;8
"510300 Chapada dos Guimarães";4;-;-;4
"510305 Cláudia";11;-;-;11
"510310 Cocalinho";45;-;-;45
"510320 Colíder";27;-;-;27
"510325 Colniza";154;-;-;154
"510330 Comodoro";15;-;-;15
"510335 Confresa";2;-;-;2
"510337 Cotriguaçu";14;-;-;14
"510340 Cuiabá";3349;-;-;3349
"510350 Diamantino";2;-;-;2
"510370 Feliz Natal";4;-;-;4
"510385 Gaúcha do Norte";10;-;-;10
"510390 General Carneiro";11;-;-;11
"510410 Guarantã do Norte";26;-;-;26
"510450 Indiavaí";1;-;-;1
"510454 Itanhangá";14;-;-;14
"510455 Itaúba";2;-;-;2
"510460 Itiquira";2;-;-;2
"510480 Jaciara";26;-;-;26
"510490 Jangada";4;-;-;4
"510510 Juara";40;1;-;41
"510515 Juína";50;-;-;50
"510520 Juscimeira";77;-;-;77
"510523 Lambari D'Oeste";1;-;-;1
"510525 Lucas do Rio Verde";23;-;-;23
"510558 Marcelândia";10;-;-;10
"510560 Matupá";90;-;-;90
"510562 Mirassol d'Oeste";6;-;-;6
"510590 Nobres";4;-;-;4
"510615 Nova Bandeirantes";5;-;-;5
"510620 Nova Brasilândia";5;-;-;5
"510621 Nova Canaã do Norte";2;-;-;2
"510880 Nova Guarita";2;-;-;2
"510885 Nova Marilândia";1;-;-;1
"510890 Nova Maringá";1;-;-;1
