DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2010
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130260 Manaus";-;-;-;-;1;-;-;-;-;1;-;-;2
"150010 Abaetetuba";3;2;5;9;14;11;29;70;81;53;43;49;369
"150013 Abel Figueiredo";4;-;-;-;-;1;2;3;2;4;11;6;33
"150020 Acará";-;1;-;1;7;2;-;-;-;-;2;-;13
"150030 Afuá";-;-;-;-;-;1;-;2;-;-;-;-;3
"150034 Água Azul do Norte";-;-;3;6;3;2;-;-;-;-;-;11;25
"150060 Altamira";209;197;369;150;86;95;48;70;43;41;45;40;1393
"150080 Ananindeua";23;37;74;69;79;56;61;57;55;19;13;7;550
"150085 Anapu";-;-;3;1;-;-;-;-;-;-;-;-;4
"150090 Augusto Corrêa";-;-;-;-;-;-;-;2;3;1;2;1;9
"150095 Aurora do Pará";-;-;-;-;-;-;-;-;1;-;-;-;1
"150100 Aveiro";-;1;-;-;-;-;-;-;-;-;-;-;1
"150125 Bannach";-;-;1;2;-;-;-;-;-;-;2;4;9
"150130 Barcarena";-;-;2;5;11;15;10;16;7;7;6;12;91
"150140 Belém";51;100;206;230;204;201;127;150;92;98;120;80;1659
"150145 Belterra";-;3;5;1;2;12;20;28;3;2;3;4;83
"150150 Benevides";1;-;-;-;5;3;4;2;-;3;1;2;21
"150157 Bom Jesus do Tocantins";-;2;2;-;-;-;-;-;-;-;-;-;4
"150160 Bonito";-;-;-;-;-;-;1;-;-;-;-;-;1
"150170 Bragança";-;1;-;2;5;6;24;37;21;14;12;4;126
"150172 Brasil Novo";-;1;2;2;-;1;-;-;-;1;-;1;8
"150175 Brejo Grande do Araguaia";-;-;1;1;-;-;-;-;-;-;-;-;2
"150178 Breu Branco";-;-;-;-;-;-;1;1;-;1;-;2;5
"150180 Breves";-;-;5;-;1;-;-;-;-;-;-;-;6
"150190 Bujaru";-;-;-;-;-;-;-;-;-;-;1;-;1
"150195 Cachoeira do Piriá";-;-;-;-;-;-;-;-;-;-;2;2;4
"150210 Cametá";-;4;7;28;18;6;14;5;16;13;15;12;138
"150215 Canaã dos Carajás";-;-;3;4;7;2;-;-;-;-;-;-;16
"150220 Capanema";1;1;-;1;4;2;2;1;3;-;-;-;15
"150230 Capitão Poço";-;-;-;-;-;1;-;-;-;-;-;-;1
"150240 Castanhal";1;3;15;15;7;4;4;12;23;26;37;63;210
"150270 Conceição do Araguaia";2;10;7;7;3;-;-;1;-;-;-;3;33
"150275 Concórdia do Pará";-;-;-;-;-;-;-;-;-;-;-;1;1
"150276 Cumaru do Norte";-;2;2;2;-;-;-;-;-;-;1;-;7
"150277 Curionópolis";1;3;8;6;-;9;7;1;-;-;-;1;36
"150290 Curuçá";-;-;3;2;14;1;5;41;6;-;-;-;72
"150293 Dom Eliseu";-;-;-;-;1;2;-;-;-;-;-;1;4
"150295 Eldorado do Carajás";-;-;-;-;-;-;-;-;-;-;1;1;2
"150304 Floresta do Araguaia";6;4;1;3;-;-;-;-;-;-;-;1;15
"150310 Gurupá";-;-;-;-;-;-;1;-;-;-;-;-;1
"150320 Igarapé-Açu";-;-;-;1;-;-;1;2;10;8;1;1;24
"150330 Igarapé-Miri";1;-;1;3;2;-;-;-;-;2;11;3;23
"150345 Ipixuna do Pará";-;-;2;1;-;1;-;-;-;-;1;-;5
"150350 Irituia";-;-;1;-;-;-;-;-;-;-;-;-;1
"150360 Itaituba";32;72;109;29;34;26;4;9;1;22;40;44;422
"150370 Itupiranga";1;-;-;-;-;-;-;19;20;10;19;6;75
"150380 Jacundá";-;1;6;4;-;-;-;-;-;-;1;1;13
"150390 Juruti";-;1;46;49;22;10;-;-;-;-;-;-;128
"150405 Mãe do Rio";-;-;-;-;-;1;-;-;1;-;-;-;2
"150420 Marabá";29;15;17;7;2;8;9;4;8;27;133;67;326
"150440 Marapanim";1;4;3;1;-;2;1;6;4;3;6;-;31
"150442 Marituba";12;29;25;17;22;12;16;37;35;44;73;24;346
"150445 Medicilândia";1;-;9;-;-;-;-;-;12;21;6;1;50
"150460 Mocajuba";-;1;-;1;-;-;-;-;-;-;-;-;2
"150470 Moju";11;5;3;7;4;-;7;2;2;1;-;2;44
"150480 Monte Alegre";-;-;2;-;-;-;-;1;-;-;-;14;17
"150490 Muaná";-;-;-;-;-;-;-;1;-;-;-;-;1
"150497 Nova Ipixuna";-;2;-;-;-;-;-;-;-;1;-;7;10
"150503 Novo Progresso";4;19;50;20;14;8;8;5;2;6;75;185;396
"150506 Novo Repartimento";1;-;-;3;1;-;-;-;1;-;1;1;8
"150520 Oeiras do Pará";-;-;-;-;-;-;-;-;2;-;-;-;2
"150530 Oriximiná";14;5;4;5;2;-;-;1;1;2;1;3;38
"150543 Ourilândia do Norte";7;8;8;19;18;13;3;-;-;5;15;75;171
"150548 Pacajá";2;9;71;25;26;21;2;1;2;5;46;18;228
"150550 Paragominas";-;-;1;-;-;1;2;4;1;-;1;17;27
"150553 Parauapebas";3;3;5;8;9;6;8;2;4;6;29;43;126
