DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Sorotipo                     
Período:2015
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"130260 Manaus";1;-;-;-;1
"150010 Abaetetuba";19;1;-;-;20
"150013 Abel Figueiredo";14;-;-;-;14
"150030 Afuá";4;-;-;-;4
"150040 Alenquer";210;-;-;-;210
"150060 Altamira";60;-;-;1;61
"150070 Anajás";1;-;-;-;1
"150080 Ananindeua";27;-;-;2;29
"150085 Anapu";5;-;-;-;5
"150090 Augusto Corrêa";16;4;-;-;20
"150095 Aurora do Pará";1;-;-;1;2
"150100 Aveiro";1;-;-;-;1
"150110 Bagre";50;-;-;-;50
"150125 Bannach";2;-;-;-;2
"150130 Barcarena";9;-;-;1;10
"150140 Belém";470;1;-;4;475
"150145 Belterra";12;-;-;-;12
"150150 Benevides";21;1;-;1;23
"150157 Bom Jesus do Tocantins";1;-;-;-;1
"150160 Bonito";2;-;-;-;2
"150170 Bragança";9;-;-;-;9
"150172 Brasil Novo";184;-;-;-;184
"150175 Brejo Grande do Araguaia";17;-;-;-;17
"150178 Breu Branco";9;-;-;-;9
"150180 Breves";159;-;-;-;159
"150210 Cametá";25;-;-;-;25
"150215 Canaã dos Carajás";105;-;-;-;105
"150230 Capitão Poço";17;-;-;-;17
"150240 Castanhal";82;-;-;-;82
"150260 Colares";18;-;-;-;18
"150270 Conceição do Araguaia";2;-;-;-;2
"150276 Cumaru do Norte";-;1;-;-;1
"150277 Curionópolis";1;-;-;-;1
"150293 Dom Eliseu";4;-;-;-;4
"150310 Gurupá";5;1;-;-;6
"150320 Igarapé-Açu";3;-;-;-;3
"150330 Igarapé-Miri";7;-;-;-;7
"150340 Inhangapi";49;-;-;-;49
"150345 Ipixuna do Pará";3;-;-;-;3
"150350 Irituia";20;-;-;-;20
"150360 Itaituba";44;-;-;-;44
"150370 Itupiranga";37;-;-;-;37
"150380 Jacundá";13;-;-;-;13
"150390 Juruti";2;-;-;-;2
"150405 Mãe do Rio";6;-;-;-;6
"150420 Marabá";73;-;-;-;73
"150440 Marapanim";1;-;-;-;1
"150442 Marituba";31;-;-;-;31
"150445 Medicilândia";3;-;-;-;3
"150460 Mocajuba";9;-;-;-;9
"150470 Moju";3;-;-;-;3
"150475 Mojuí dos Campos";4;-;-;-;4
"150480 Monte Alegre";200;-;-;-;200
"150490 Muaná";6;-;-;-;6
"150497 Nova Ipixuna";54;-;-;-;54
"150503 Novo Progresso";91;-;-;-;91
"150506 Novo Repartimento";1;-;-;-;1
"150510 Óbidos";10;-;-;-;10
"150530 Oriximiná";41;-;-;-;41
"150543 Ourilândia do Norte";61;-;-;-;61
"150548 Pacajá";159;-;-;-;159
"150550 Paragominas";3;-;-;-;3
"150553 Parauapebas";435;1;-;-;436
"150555 Pau D'Arco";2;-;-;-;2
"150565 Placas";12;-;-;-;12
"150570 Ponta de Pedras";115;-;-;-;115
"150580 Portel";58;-;-;-;58
"150600 Prainha";37;-;-;-;37
"150613 Redenção";25;1;-;-;26
"150616 Rio Maria";3;-;-;-;3
"150618 Rondon do Pará";38;-;-;-;38
"150619 Rurópolis";13;-;-;-;13
"150620 Salinópolis";17;-;-;-;17
"150630 Salvaterra";5;-;-;-;5
"150650 Santa Izabel do Pará";138;6;-;-;144
"150655 Santa Luzia do Pará";1;-;-;-;1
"150660 Santa Maria do Pará";1;-;-;-;1
"150670 Santana do Araguaia";12;-;-;-;12
"150680 Santarém";8;-;-;-;8
"150690 Santarém Novo";8;-;-;-;8
"150700 Santo Antônio do Tauá";9;-;-;-;9
"150720 São Domingos do Capim";4;-;-;-;4
"150730 São Félix do Xingu";68;-;-;-;68
"150745 São Geraldo do Araguaia";28;-;-;-;28
"150746 São João da Ponta";8;-;-;-;8
"150747 São João de Pirabas";1;-;-;-;1
"150750 São João do Araguaia";2;-;-;-;2
"150770 São Sebastião da Boa Vista";2;-;-;-;2
"150780 Senador José Porfírio";178;2;-;-;180
"150795 Tailândia";18;-;-;-;18
"150796 Terra Alta";2;-;-;-;2
"150800 Tomé-Açu";52;-;-;-;52
"150808 Tucumã";26;-;-;-;26
"150810 Tucuruí";16;-;-;-;16
"150812 Ulianópolis";2;-;-;-;2
"150815 Uruará";4;-;-;-;4
"150835 Vitória do Xingu";16;-;-;-;16
"150840 Xinguara";30;-;-;-;30
"160030 Macapá";1;-;-;-;1
"160060 Santana";1;-;-;-;1
"350950 Campinas";1;-;-;-;1
"520160 Araçu";1;-;-;-;1
"520430 Caçu";1;-;-;-;1
"000000 Ignorado ou exterior";3947;12;1;17;3977
"Total";7843;31;1;27;7902
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
