DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Sorotipo                     
Período:2018
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"Total"
"150010 Abaetetuba";14;5;-;19
"150013 Abel Figueiredo";1;-;-;1
"150030 Afuá";5;-;-;5
"150040 Alenquer";14;-;-;14
"150050 Almeirim";1;-;-;1
"150060 Altamira";1;-;-;1
"150080 Ananindeua";7;-;-;7
"150085 Anapu";3;-;-;3
"150090 Augusto Corrêa";2;-;-;2
"150095 Aurora do Pará";7;-;-;7
"150120 Baião";4;-;-;4
"150125 Bannach";2;-;-;2
"150130 Barcarena";2;2;-;4
"150140 Belém";9;-;-;9
"150145 Belterra";4;-;-;4
"150150 Benevides";1;-;-;1
"150172 Brasil Novo";4;-;-;4
"150175 Brejo Grande do Araguaia";14;-;-;14
"150180 Breves";2;-;-;2
"150215 Canaã dos Carajás";16;-;-;16
"150230 Capitão Poço";39;-;-;39
"150240 Castanhal";17;-;-;17
"150270 Conceição do Araguaia";2;-;-;2
"150275 Concórdia do Pará";1;-;-;1
"150276 Cumaru do Norte";7;1;-;8
"150280 Curralinho";1;-;-;1
"150290 Curuçá";5;-;-;5
"150293 Dom Eliseu";2;-;-;2
"150307 Garrafão do Norte";1;-;-;1
"150309 Goianésia do Pará";1;-;-;1
"150310 Gurupá";1;-;-;1
"150320 Igarapé-Açu";3;-;-;3
"150330 Igarapé-Miri";2;-;-;2
"150340 Inhangapi";6;-;-;6
"150350 Irituia";6;-;-;6
"150360 Itaituba";28;-;-;28
"150370 Itupiranga";4;-;-;4
"150380 Jacundá";3;-;-;3
"150390 Juruti";3;-;-;3
"150405 Mãe do Rio";99;-;-;99
"150410 Magalhães Barata";1;-;-;1
"150420 Marabá";17;1;-;18
"150430 Maracanã";1;-;-;1
"150440 Marapanim";163;-;-;163
"150442 Marituba";13;1;-;14
"150470 Moju";56;-;-;56
"150475 Mojuí dos Campos";1;-;-;1
"150495 Nova Esperança do Piriá";9;-;-;9
"150497 Nova Ipixuna";5;-;-;5
"150503 Novo Progresso";61;1;-;62
"150506 Novo Repartimento";91;-;-;91
"150510 Óbidos";1;-;-;1
"150530 Oriximiná";9;-;-;9
"150543 Ourilândia do Norte";15;-;-;15
"150548 Pacajá";50;-;-;50
"150549 Palestina do Pará";25;-;-;25
"150550 Paragominas";1;-;-;1
"150553 Parauapebas";247;-;-;247
"150555 Pau D'Arco";31;6;5;42
"150570 Ponta de Pedras";1;-;-;1
"150580 Portel";2;-;-;2
"150611 Quatipuru";2;-;-;2
"150613 Redenção";60;-;-;60
"150616 Rio Maria";4;-;1;5
"150618 Rondon do Pará";20;-;-;20
"150620 Salinópolis";6;-;-;6
"150635 Santa Bárbara do Pará";5;-;-;5
"150650 Santa Izabel do Pará";2;-;-;2
"150655 Santa Luzia do Pará";4;-;-;4
"150660 Santa Maria do Pará";3;-;-;3
"150670 Santana do Araguaia";1;-;-;1
"150680 Santarém";4;-;-;4
"150690 Santarém Novo";-;-;1;1
"150700 Santo Antônio do Tauá";1;-;-;1
"150720 São Domingos do Capim";1;-;-;1
"150730 São Félix do Xingu";62;1;-;63
"150740 São Francisco do Pará";7;-;-;7
"150745 São Geraldo do Araguaia";4;-;-;4
"150746 São João da Ponta";1;-;-;1
"150747 São João de Pirabas";2;-;-;2
"150750 São João do Araguaia";1;-;-;1
"150760 São Miguel do Guamá";1;-;-;1
"150780 Senador José Porfírio";1;-;-;1
"150795 Tailândia";2;-;-;2
"150803 Tracuateua";1;-;-;1
"150810 Tucuruí";12;-;-;12
"150820 Vigia";20;-;-;20
"150835 Vitória do Xingu";16;-;-;16
"150840 Xinguara";2;-;-;2
"250400 Campina Grande";1;-;-;1
"411370 Londrina";1;-;-;1
"000000 Ignorado ou exterior";2393;6;1;2400
"Total";3784;24;8;3816
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
