DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Rondônia
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2013
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";72;47;16;5;4;1;2;1;-;-;-;3;151
"110037 Alto Alegre dos Parecis";24;63;14;9;1;-;-;1;-;-;-;1;113
"110040 Alto Paraíso";-;5;6;2;3;4;3;3;1;-;12;7;46
"110034 Alvorada D'Oeste";241;150;78;28;3;2;1;-;-;2;5;5;515
"110002 Ariquemes";2;-;6;2;2;1;1;-;-;-;3;7;24
"110045 Buritis";1;2;5;4;-;4;2;2;-;1;7;6;34
"110003 Cabixi";7;13;4;8;3;4;-;-;-;-;-;1;40
"110004 Cacoal";34;100;114;71;40;23;14;11;2;6;15;8;438
"110070 Campo Novo de Rondônia";5;14;10;2;-;-;-;-;-;-;-;2;33
"110080 Candeias do Jamari";10;15;3;-;-;-;-;-;-;-;-;-;28
"110090 Castanheiras";2;1;-;-;-;1;-;-;-;-;-;-;4
"110005 Cerejeiras";72;208;285;25;5;-;-;-;-;1;-;1;597
"110092 Chupinguaia";-;-;3;-;1;1;-;1;-;-;1;-;7
"110006 Colorado do Oeste";9;10;6;3;4;2;2;2;2;-;-;-;40
"110007 Corumbiara";9;14;23;12;-;-;-;-;-;-;-;6;64
"110008 Costa Marques";7;26;16;1;-;-;1;1;-;-;10;14;76
"110094 Cujubim";-;1;-;-;-;-;-;-;-;-;-;-;1
"110009 Espigão D'Oeste";-;25;4;-;-;-;-;-;1;-;-;-;30
"110100 Governador Jorge Teixeira";-;-;2;3;1;-;-;-;8;5;-;-;19
"110010 Guajará-Mirim";122;72;23;7;1;1;2;-;-;-;1;3;232
"110110 Itapuã do Oeste";2;8;1;-;-;6;1;3;-;-;-;1;22
"110011 Jaru";20;16;7;7;7;13;9;4;6;4;2;-;95
"110012 Ji-Paraná";8;1;-;-;-;-;-;-;-;2;1;2;14
"110013 Machadinho D'Oeste";1;4;3;-;1;-;1;-;1;7;12;19;49
"110120 Ministro Andreazza";38;39;18;9;7;-;-;-;-;-;1;-;112
"110130 Mirante da Serra";1;2;1;1;1;-;-;-;-;-;-;-;6
"110140 Monte Negro";2;3;-;-;1;1;3;-;-;-;-;-;10
"110014 Nova Brasilândia D'Oeste";18;29;25;11;2;-;-;-;-;-;1;-;86
"110033 Nova Mamoré";4;5;2;13;6;1;-;-;3;-;-;1;35
"110143 Nova União";1;-;1;-;-;-;-;-;-;-;-;6;8
"110050 Novo Horizonte do Oeste";12;5;4;11;12;-;1;-;-;-;-;-;45
"110015 Ouro Preto do Oeste";6;6;11;8;10;3;2;3;-;-;1;-;50
"110145 Parecis";6;16;13;4;2;-;-;-;-;-;1;-;42
"110018 Pimenta Bueno";1;1;-;1;1;-;1;-;1;-;2;2;10
"110146 Pimenteiras do Oeste";1;10;1;-;-;-;-;-;-;-;-;-;12
"110020 Porto Velho";21;7;10;9;3;1;-;1;-;1;-;-;53
"110025 Presidente Médici";1;1;1;2;1;1;1;2;1;1;1;1;14
"110147 Primavera de Rondônia";2;1;-;-;-;-;-;-;-;-;-;-;3
"110028 Rolim de Moura";151;84;54;11;4;2;3;2;1;8;14;16;350
"110029 Santa Luzia D'Oeste";8;2;2;-;-;-;-;1;-;1;-;-;14
"110148 São Felipe D'Oeste";1;-;-;-;-;-;-;-;-;-;-;-;1
"110149 São Francisco do Guaporé";8;17;2;-;-;-;-;-;-;-;-;1;28
"110032 São Miguel do Guaporé";74;34;6;-;1;1;1;-;-;-;-;1;118
"110150 Seringueiras";-;1;-;-;-;-;-;-;-;-;-;-;1
"110155 Teixeirópolis";17;11;1;-;-;-;-;-;-;-;-;-;29
"110160 Theobroma";5;-;-;-;-;-;-;-;-;-;-;-;5
"110170 Urupá";46;9;3;-;-;-;-;-;-;-;-;1;59
"110175 Vale do Anari";21;12;1;-;-;-;-;-;-;8;2;-;44
"110180 Vale do Paraíso";1;-;-;-;-;-;-;1;-;-;-;-;2
"110030 Vilhena";221;293;237;106;36;13;16;6;2;8;4;6;948
"130170 Humaitá";-;1;-;-;-;-;-;-;-;-;-;-;1
"150360 Itaituba";1;-;-;-;-;-;-;-;-;-;-;-;1
"230440 Fortaleza";-;-;-;-;-;-;-;-;-;-;-;1;1
"355030 São Paulo";1;-;-;-;-;-;-;-;-;-;-;-;1
"410770 Fênix";-;1;-;-;-;-;-;-;-;-;-;-;1
"510704 Primavera do Leste";-;-;-;-;1;-;-;-;-;-;-;-;1
"000000 Ignorado ou exterior";1014;968;666;245;176;73;39;23;43;70;259;205;3781
"Total";2331;2353;1688;620;340;159;106;68;72;125;355;327;8544
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
