DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Tocantins
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2007
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150270 Conceição do Araguaia";1;-;-;-;-;-;-;-;-;-;-;-;1
"150613 Redenção";-;-;-;-;-;-;-;-;-;-;-;1;1
"150715 São Domingos do Araguaia";-;-;-;1;-;-;-;-;-;-;-;-;1
"170025 Abreulândia";-;-;-;-;-;-;-;-;-;-;1;19;20
"170030 Aguiarnópolis";-;-;7;2;7;3;7;2;1;-;9;3;41
"170035 Aliança do Tocantins";2;-;-;-;-;-;-;-;-;-;-;-;2
"170040 Almas";50;46;15;-;1;-;-;-;-;-;-;2;114
"170070 Alvorada";2;-;-;-;-;-;-;-;-;-;-;2;4
"170100 Ananás";-;-;-;-;-;-;-;1;-;10;45;27;83
"170105 Angico";-;-;3;2;1;1;-;-;-;-;-;-;7
"170110 Aparecida do Rio Negro";-;2;2;2;-;-;-;-;-;-;-;-;6
"170130 Aragominas";1;2;3;6;8;2;-;-;-;-;-;2;24
"170190 Araguacema";-;-;1;2;4;3;2;1;-;1;-;-;14
"170200 Araguaçu";45;32;11;4;-;-;-;-;1;-;-;5;98
"170210 Araguaína";62;119;109;113;117;61;37;19;9;17;27;39;729
"170215 Araguanã";2;6;13;8;16;1;1;-;7;11;14;9;88
"170220 Araguatins";2;9;25;8;6;7;-;1;-;-;2;3;63
"170230 Arapoema";1;1;2;-;-;-;2;-;-;-;-;-;6
"170240 Arraias";-;-;2;-;-;-;-;-;-;-;-;-;2
"170255 Augustinópolis";2;12;12;9;3;1;2;4;2;24;15;10;96
"170270 Aurora do Tocantins";-;-;-;1;-;1;-;-;-;-;-;-;2
"170290 Axixá do Tocantins";-;-;-;-;-;-;-;1;-;2;-;-;3
"170300 Babaçulândia";-;-;-;-;5;1;1;-;4;12;14;2;39
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;1
"170307 Barra do Ouro";-;-;-;-;-;1;-;2;-;12;6;-;21
"170310 Barrolândia";-;-;1;-;-;1;1;1;1;-;2;3;10
"170320 Bernardo Sayão";-;-;-;-;1;2;-;5;-;2;1;5;16
"170330 Bom Jesus do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;1
"170360 Brasilândia do Tocantins";3;-;-;-;-;-;-;-;-;-;-;-;3
"170370 Brejinho de Nazaré";-;-;-;-;-;-;-;-;-;1;-;-;1
"170380 Buriti do Tocantins";-;1;10;-;-;1;-;-;3;6;19;5;45
"170382 Cachoeirinha";-;1;-;-;-;-;-;-;-;-;-;-;1
"170384 Campos Lindos";-;12;60;55;21;21;5;1;7;32;56;10;280
"170386 Cariri do Tocantins";3;-;-;-;-;-;-;-;-;-;-;2;5
"170388 Carmolândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"170389 Carrasco Bonito";3;-;-;-;-;-;2;1;1;7;2;2;18
"170390 Caseara";-;-;1;-;1;-;-;-;-;-;-;1;3
"170510 Chapada da Natividade";12;4;1;1;-;-;-;-;-;-;-;-;18
"170460 Chapada de Areia";-;-;1;-;-;-;-;-;1;6;2;1;11
"170550 Colinas do Tocantins";59;22;18;10;5;5;1;-;-;-;3;8;131
"171670 Colméia";-;-;3;5;5;6;4;10;9;1;6;7;56
"170555 Combinado";-;1;-;-;-;-;-;-;-;-;-;1;2
"170560 Conceição do Tocantins";-;8;-;9;3;5;-;-;-;-;-;-;25
"170600 Couto Magalhães";1;-;-;-;-;-;-;-;-;-;-;-;1
"170610 Cristalândia";11;6;10;5;3;4;-;1;-;-;-;2;42
"170625 Crixás do Tocantins";-;3;16;7;2;-;-;-;-;-;-;-;28
"170650 Darcinópolis";-;-;1;-;1;1;-;-;-;-;-;-;3
"170700 Dianópolis";24;26;38;38;10;2;-;-;-;-;-;1;139
"170710 Divinópolis do Tocantins";-;3;1;1;-;-;-;-;-;-;2;8;15
"170720 Dois Irmãos do Tocantins";-;-;2;2;6;-;-;-;-;-;1;4;15
"170730 Dueré";6;9;5;-;-;-;-;4;44;46;17;31;162
"170740 Esperantina";6;3;-;2;-;-;-;-;1;1;2;4;19
"170755 Fátima";-;-;-;-;-;2;2;2;1;4;1;-;12
"170765 Figueirópolis";1;8;17;13;-;-;-;-;-;-;-;1;40
"170770 Filadélfia";-;2;3;1;-;2;-;-;-;-;-;-;8
"170820 Formoso do Araguaia";78;144;84;31;9;-;1;-;-;-;-;5;352
"170825 Fortaleza do Tabocão";-;-;-;-;1;1;-;-;2;-;1;-;5
"170830 Goianorte";-;5;-;1;-;1;-;-;-;-;-;-;7
"170900 Goiatins";-;-;-;-;-;-;-;1;-;-;4;10;15
"170930 Guaraí";5;12;8;6;2;-;1;-;-;1;1;6;42
"170950 Gurupi";226;237;215;81;28;4;3;-;-;1;15;40;850
"171050 Itacajá";-;-;2;-;-;-;-;-;-;-;-;-;2
"171070 Itaguatins";-;-;1;-;-;-;-;1;-;-;-;-;2
"171110 Itaporã do Tocantins";-;2;-;-;-;-;-;-;-;-;-;-;2
"171150 Jaú do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;1
"171180 Juarina";1;-;-;-;-;-;-;-;-;-;-;-;1
"171190 Lagoa da Confusão";-;1;-;-;-;-;-;-;-;1;-;-;2
"171195 Lagoa do Tocantins";-;1;1;-;-;-;-;-;-;-;-;-;2
"171200 Lajeado";4;3;8;3;10;2;-;-;-;3;19;41;93
"171215 Lavandeira";-;2;-;-;-;-;-;-;-;-;-;-;2
"171240 Lizarda";3;8;-;-;-;-;-;-;-;-;-;-;11
"171245 Luzinópolis";-;-;-;-;-;-;-;-;2;-;-;-;2
"171250 Marianópolis do Tocantins";-;3;-;-;1;-;-;-;-;2;1;8;15
"171280 Maurilândia do Tocantins";-;-;-;4;4;2;2;2;1;-;-;-;15
"171320 Miracema do Tocantins";8;3;17;11;13;6;2;-;1;-;1;1;63
"171330 Miranorte";2;2;6;7;1;2;-;-;-;-;1;1;22
