DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Tocantins
Casos Prováveis por Município infecção e Sorotipo                     
Período:2020
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"Total"
"160030 Macapá";2;-;-;2
"170030 Aguiarnópolis";2;-;-;2
"170035 Aliança do Tocantins";3;-;-;3
"170070 Alvorada";3;-;2;5
"170100 Ananás";1;-;-;1
"170110 Aparecida do Rio Negro";3;-;-;3
"170130 Aragominas";-;-;4;4
"170190 Araguacema";2;-;-;2
"170200 Araguaçu";7;-;-;7
"170210 Araguaína";340;-;2;342
"170215 Araguanã";1;-;-;1
"170220 Araguatins";6;-;-;6
"170230 Arapoema";7;-;-;7
"170240 Arraias";30;-;-;30
"170255 Augustinópolis";4;-;-;4
"170270 Aurora do Tocantins";1;-;-;1
"170290 Axixá do Tocantins";1;-;-;1
"170300 Babaçulândia";4;-;-;4
"170305 Bandeirantes do Tocantins";1;-;-;1
"170320 Bernardo Sayão";2;-;-;2
"170330 Bom Jesus do Tocantins";2;-;-;2
"170370 Brejinho de Nazaré";10;-;-;10
"170380 Buriti do Tocantins";1;-;-;1
"170382 Cachoeirinha";11;-;-;11
"170386 Cariri do Tocantins";23;-;-;23
"170388 Carmolândia";2;-;-;2
"170389 Carrasco Bonito";12;-;-;12
"170390 Caseara";1;-;-;1
"170410 Centenário";1;-;-;1
"170550 Colinas do Tocantins";3;-;-;3
"170555 Combinado";19;-;-;19
"170560 Conceição do Tocantins";31;-;-;31
"170600 Couto Magalhães";9;-;-;9
"170610 Cristalândia";4;-;-;4
"170625 Crixás do Tocantins";2;-;-;2
"170650 Darcinópolis";2;-;-;2
"170700 Dianópolis";8;-;-;8
"170710 Divinópolis do Tocantins";5;-;-;5
"170720 Dois Irmãos do Tocantins";1;-;-;1
"170730 Dueré";3;-;-;3
"170755 Fátima";1;-;-;1
"170765 Figueirópolis";1;-;-;1
"170820 Formoso do Araguaia";15;-;-;15
"170825 Fortaleza do Tabocão";2;-;-;2
"170830 Goianorte";1;-;-;1
"170930 Guaraí";1;-;-;1
"170950 Gurupi";82;1;17;100
"171070 Itaguatins";6;-;-;6
"171090 Itapiratins";1;-;-;1
"171110 Itaporã do Tocantins";4;-;-;4
"171150 Jaú do Tocantins";3;-;-;3
"171180 Juarina";3;-;-;3
"171190 Lagoa da Confusão";1;-;-;1
"171200 Lajeado";2;-;-;2
"171215 Lavandeira";1;-;-;1
"171245 Luzinópolis";1;-;-;1
"171250 Marianópolis do Tocantins";2;-;-;2
"171320 Miracema do Tocantins";3;-;-;3
"171330 Miranorte";2;-;-;2
"171360 Monte do Carmo";12;-;-;12
"171420 Natividade";10;-;11;21
"171488 Nova Olinda";15;-;-;15
"171500 Nova Rosalândia";2;-;-;2
"171510 Novo Acordo";2;-;-;2
"172100 Palmas";17;-;-;17
"171380 Palmeiras do Tocantins";1;-;-;1
"171610 Paraíso do Tocantins";43;-;-;43
"171660 Peixe";2;-;-;2
"171700 Pindorama do Tocantins";-;1;-;1
"171750 Pium";-;1;-;1
"171790 Ponte Alta do Tocantins";2;-;-;2
"171820 Porto Nacional";10;1;-;11
"171840 Presidente Kennedy";1;-;-;1
"171855 Riachinho";1;-;-;1
"171865 Rio da Conceição";1;-;-;1
"171870 Rio dos Bois";7;-;-;7
"171875 Rio Sono";3;-;-;3
"171880 Sampaio";3;-;-;3
"171884 Sandolândia";1;-;-;1
"171886 Santa Fé do Araguaia";3;-;-;3
"171890 Santa Rosa do Tocantins";4;-;-;4
"172000 Santa Terezinha do Tocantins";7;-;-;7
"172010 São Bento do Tocantins";1;-;-;1
"172020 São Miguel do Tocantins";1;-;-;1
"172025 São Salvador do Tocantins";1;-;-;1
"172030 São Sebastião do Tocantins";2;-;-;2
"172065 Silvanópolis";2;-;-;2
"172090 Taguatinga";2;-;-;2
"172093 Taipas do Tocantins";8;-;-;8
"172110 Tocantínia";5;-;-;5
"172120 Tocantinópolis";19;-;-;19
"172208 Wanderlândia";3;-;-;3
"172210 Xambioá";8;-;-;8
"210050 Alto Parnaíba";1;-;-;1
"291080 Feira de Santana";1;-;-;1
"000000 Ignorado ou exterior";1304;3;12;1319
"Total";2207;7;48;2262
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
