 Morbidade Hospitalar do SUS - por local de residência - Acre
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"Total"
"120001 Acrelândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;-;2;23;51;51;11;5;1;-;-;10;-;-;34;35;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;4;-;1;-;-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;2;-;260
"120005 Assis Brasil";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;-;1;1;-;1;1;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;1;-;-;-;1;-;-;-;7;3;38
"120010 Brasiléia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;3;1;5;6;9;5;3;2;6;13;8;3;8;4;3;1;-;-;2;-;3;2;1;-;2;-;1;-;-;2;1;1;1;-;-;1;7;2;2;1;2;2;-;1;9;11;3;4;8;3;4;-;1;2;2;-;-;-;1;3;1;3;2;-;-;-;-;1;1;-;-;2;1;3;2;-;1;-;1;-;2;-;2;7;3;4;3;1;-;-;-;-;1;-;-;-;-;1;-;3;-;-;-;-;2;-;1;1;-;-;1;-;1;-;1;2;-;-;3;2;3;4;1;-;2;1;3;-;-;-;-;5;4;5;1;1;-;4;1;2;4;5;19;12;304
"120013 Bujari";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"120017 Capixaba";-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;2;2;-;-;-;1;-;-;-;-;-;-;2;2;1;-;-;-;-;-;-;-;2;1;1;1;-;-;-;-;-;-;-;-;1;1;-;2;1;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"120020 Cruzeiro do Sul";-;-;2;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;2;1;-;-;-;1;1;-;1;-;1;3;4;3;2;-;-;1;1;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;4;26;27;12;4;25;13;56;120;148;103;75;44;27;46;4;3;42;2;1;1;3;1;7;-;2;1;-;-;2;1;2;-;1;-;2;-;2;1;-;-;-;2;1;1;1;2;3;4;-;2;-;-;-;2;-;1;1;-;6;3;8;4;7;2;4;1;9;15;22;18;31;28;4;-;-;1;-;-;-;-;2;5;4;1036
"120025 Epitaciolândia";-;-;-;1;-;-;-;-;-;-;-;-;-;-;5;6;7;3;4;2;4;2;-;5;2;6;2;5;2;2;-;1;-;-;-;-;-;1;1;1;4;-;-;-;1;-;1;-;1;1;-;2;3;1;2;1;-;1;2;3;6;2;-;5;-;3;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;1;1;2;1;-;-;-;-;-;2;-;4;1;2;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;2;2;2;-;1;1;3;-;1;-;-;1;4;3;6;2;-;1;-;2;-;1;14;20;4;199
"120030 Feijó";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;14
"120032 Jordão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;3;2;-;1;-;1;-;-;1;1;-;-;-;-;1;1;-;1;-;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;1;-;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;36
"120034 Manoel Urbano";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;2;-;-;-;-;1;-;-;-;2;-;14
"120038 Plácido de Castro";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;2;-;1;-;-;-;-;-;3;-;2;2;2;3;-;-;-;-;-;-;1;4;3;1;2;1;2;1;-;-;1;4;1;-;5;9;3;5;-;-;-;-;1;1;-;1;1;2;-;1;1;-;1;-;-;1;-;2;-;1;1;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;2;2;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;97
"120080 Porto Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;-;-;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;22
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"120040 Rio Branco";1;2;9;8;6;14;10;4;4;1;5;4;8;33;87;116;91;44;13;8;6;4;4;5;16;28;64;77;55;28;28;8;9;6;2;11;34;45;59;51;36;19;8;4;2;1;1;2;4;6;5;11;11;1;-;1;1;3;-;1;4;4;9;9;3;1;2;1;-;1;-;-;-;4;2;1;2;-;4;1;2;-;-;1;1;2;2;2;-;3;2;-;1;1;1;1;-;-;1;2;1;2;1;-;-;1;-;-;-;-;-;-;-;-;-;2;-;2;1;-;2;1;-;1;1;3;1;-;-;2;1;3;1;3;12;2;3;2;1;1;-;-;-;-;1;-;-;3;3;1;2;-;-;-;1;-;3;7;4;1270
