 Morbidade Hospitalar do SUS - por local de residência - Pará
Taxa mortalidade por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Set";"2009/Jun";"2010/Abr";"2010/Set";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Jul";"2011/Ago";"2012/Jan";"2012/Mar";"2012/Abr";"2012/Out";"2013/Jan";"2013/Fev";"2013/Abr";"2013/Mai";"2014/Fev";"2014/Mai";"2014/Jul";"2014/Dez";"2015/Mai";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Mai";"2016/Jul";"2016/Out";"2017/Jan";"2017/Mar";"2017/Out";"2018/Jan";"2019/Fev";"2019/Mar";"2020/Abr";"Total"
"150010 Abaetetuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8,33;-;-;-;-;-;-;-;-;...;...;0,08
"150040 Alenquer";...;-;-;-;...;...;...;...;...;-;-;-;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;14,29;...;...;...;...;-;...;...;...;...;...;-;...;...;...;1,18
"150060 Altamira";...;...;...;...;-;...;-;-;-;-;-;1,00;-;-;2,56;2,08;1,23;-;-;-;-;-;-;-;-;-;4,35;-;-;-;-;-;-;-;-;-;-;...;-;-;...;-;0,20
"150080 Ananindeua";-;-;-;-;-;-;-;-;-;-;1,41;-;-;-;-;0,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;...;-;...;...;-;-;...;0,06
"150085 Anapu";...;...;...;...;...;...;-;...;-;-;...;-;-;-;...;-;-;-;-;-;...;...;-;5,56;-;-;...;...;...;-;...;-;...;...;...;-;-;-;...;-;-;...;0,35
"150090 Augusto Corrêa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;-;-;-;-;-;-;-;-;-;-;-;-;12,50;-;-;...;0,09
"150130 Barcarena";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;-;-;...;-;-;-;-;-;-;-;...;100,00;...;...;...;...;...;...;0,29
"150140 Belém";-;-;-;-;11,11;-;-;-;-;-;-;-;4,17;8,33;-;-;3,70;-;11,11;-;-;10,00;-;-;-;-;-;-;-;-;...;-;...;-;...;...;...;-;-;-;-;-;0,37
"150170 Bragança";-;-;-;-;-;-;-;3,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20,00;-;-;0,12
"150172 Brasil Novo";...;...;...;...;...;...;-;...;...;-;-;-;...;-;-;-;-;...;-;-;...;...;...;...;...;-;...;-;-;...;100,00;-;...;-;...;-;-;...;...;-;...;-;2,00
"150180 Breves";-;...;-;-;...;...;-;...;-;...;-;-;-;-;-;-;-;...;...;...;-;-;...;-;...;...;-;...;-;-;-;14,29;-;-;50,00;...;...;...;...;-;...;...;1,01
"150230 Capitão Poço";100,00;-;-;-;-;-;-;...;...;...;-;-;-;...;-;...;-;-;...;-;...;-;-;...;-;...;-;...;-;-;-;-;...;-;-;-;...;...;-;...;...;...;0,65
"150240 Castanhal";-;-;-;-;-;-;-;-;-;-;-;-;-;25,00;-;-;-;-;...;-;-;-;-;-;-;-;-;-;...;...;-;-;-;...;50,00;-;-;...;-;-;100,00;...;0,60
"150270 Conceição do Araguaia";-;-;-;-;-;8,33;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,10
"150370 Itupiranga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;...;-;-;-;-;50,00;-;-;-;...;0,20
"150420 Marabá";-;-;4,55;5,00;-;-;...;-;-;-;-;-;-;-;...;25,00;-;-;...;-;-;...;...;-;...;...;-;-;-;-;-;...;100,00;...;-;-;-;...;...;-;-;...;1,32
"150450 Melgaço";...;...;...;100,00;...;...;...;...;...;...;-;-;-;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;7,69
"150470 Moju";-;-;-;-;-;-;...;-;-;50,00;-;-;-;...;-;-;...;...;100,00;-;...;...;...;...;...;...;...;...;-;-;...;...;...;...;...;...;-;...;...;-;-;...;0,82
"150503 Novo Progresso";-;5,00;-;-;-;...;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;...;-;...;...;...;-;-;-;-;-;...;...;-;-;...;...;...;...;...;0,18
"150530 Oriximiná";-;-;-;-;...;...;-;-;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;-;-;-;-;-;5,88;-;-;-;-;...;...;-;-;...;-;...;...;0,25
"150548 Pacajá";...;...;...;...;...;...;-;...;-;-;-;-;-;-;...;-;4,55;-;...;-;-;-;-;-;...;-;...;-;-;-;-;-;-;...;...;-;-;...;...;...;-;...;0,22
"150550 Paragominas";-;-;-;-;-;...;...;-;33,33;-;-;-;-;-;...;-;-;-;...;...;...;-;-;-;...;...;...;...;...;-;...;-;...;...;...;...;-;...;...;...;...;...;0,45
"150553 Parauapebas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14,29;-;...;...;100,00;...;50,00;-;-;100,00;...;-;-;...;-;-;100,00;...;...;-;-;-;...;-;-;-;0,71
"150613 Redenção";-;-;-;-;...;...;-;-;-;-;-;5,88;-;-;-;-;-;40,00;-;-;-;-;-;...;-;...;-;-;...;-;...;-;-;...;...;-;-;...;-;-;-;-;0,51
"150616 Rio Maria";-;-;-;-;...;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,35;-;-;-;...;...;-;-;-;-;...;-;-;...;...;-;...;-;...;-;...;...;0,13
"150670 Santana do Araguaia";-;-;-;-;...;-;8,33;-;...;...;...;-;-;...;...;...;-;-;-;4,55;7,69;-;-;-;-;-;-;-;...;-;-;-;-;...;-;-;-;...;...;...;-;-;0,53
"150680 Santarém";-;-;3,03;-;...;...;-;-;-;-;-;-;-;...;...;-;-;-;...;-;-;-;-;-;-;-;-;-;...;-;100,00;-;-;-;...;...;-;...;...;-;-;...;0,63
"150745 São Geraldo do Araguaia";-;-;-;-;-;-;-;...;-;-;-;-;-;...;...;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20,00;-;-;-;...;...;...;...;...;0,09
"150795 Tailândia";-;-;-;-;...;...;-;-;-;-;-;-;-;-;-;-;-;-;...;...;-;...;-;...;...;-;-;...;100,00;-;...;-;-;...;...;...;...;...;-;-;...;...;0,37
"150796 Terra Alta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;16,67
"150808 Tucumã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11,11;0,06
"150815 Uruará";...;...;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,22;-;-;2,33;-;-;-;-;-;-;-;-;-;...;-;-;-;...;...;...;...;0,12
"Total";0,08;0,08;0,16;0,15;0,56;0,28;0,16;0,16;0,09;0,07;0,07;0,13;0,12;0,77;0,38;0,44;0,50;0,33;0,74;0,19;0,45;0,29;0,25;0,52;0,39;0,85;0,93;0,42;0,44;0,33;0,50;0,37;0,59;0,74;1,90;0,23;0,23;2,27;1,33;0,78;0,68;2,00;0,12
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
