 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Taxa mortalidade por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2008/Jan";"2008/Mar";"2008/Mai";"2010/Mar";"2010/Mai";"2010/Jun";"2011/Mai";"2011/Jun";"2012/Fev";"2012/Mar";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Dez";"2013/Abr";"2014/Set";"2015/Mai";"2019/Mar";"2019/Nov";"2020/Abr";"2020/Mai";"Total"
"170380 Buriti do Tocantins";-;-;33,33;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;3,45
"170390 Caseara";...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;33,33
"170710 Divinópolis do Tocantins";...;...;-;...;-;-;-;...;25,00;...;-;-;...;...;...;...;-;...;...;...;...;1,04
"170950 Gurupi";-;-;...;...;-;...;...;...;...;...;-;-;...;-;...;...;...;-;...;...;100,00;2,04
"171320 Miracema do Tocantins";-;-;-;-;-;-;-;-;-;-;12,50;-;-;-;-;...;-;-;...;...;...;0,25
"171330 Miranorte";-;-;...;-;-;-;-;12,50;-;-;-;-;...;-;-;...;-;-;...;...;-;0,23
"171360 Monte do Carmo";-;-;-;100,00;-;...;...;...;...;-;...;...;...;...;...;100,00;-;-;...;-;...;5,26
"172100 Palmas";-;16,67;-;-;-;-;15,38;-;-;20,00;-;25,00;50,00;-;-;...;-;20,00;50,00;50,00;-;2,46
"171610 Paraíso do Tocantins";-;-;...;-;-;...;...;-;-;-;...;-;-;...;14,29;-;-;-;-;...;...;0,40
"171790 Ponte Alta do Tocantins";...;...;...;-;...;...;...;...;...;...;-;-;...;...;...;...;100,00;-;...;...;...;4,55
"171820 Porto Nacional";-;-;-;-;-;25,00;-;-;-;-;-;-;-;-;-;...;...;-;...;-;...;0,24
"172020 São Miguel do Tocantins";100,00;-;-;...;-;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;5,26
"172030 São Sebastião do Tocantins";-;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;25,00
"Total";0,50;0,36;0,79;0,51;0,68;1,47;1,40;1,00;0,68;1,29;1,67;3,45;4,35;1,33;0,59;12,50;1,52;1,22;12,50;7,14;12,50;0,24
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
