 Morbidade Hospitalar do SUS - por local de residência - Acre
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"Total"
"120001 Acrelândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1726,56;-;-;-;491,02;-;-;-;-;-;-;575,52;6490,08;14675,76;14675,76;3165,36;1438,80;287,76;-;-;2877,60;-;-;9783,84;10138,74;575,52;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;287,76;575,52;-;1151,04;-;287,76;-;-;-;-;-;-;-;-;575,52;287,76;287,76;-;-;-;401,77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;335,76;-;-;575,52;-;-;1080,15;-;-;-;-;-;-;-;-;-;-;-;327,76;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;500,23;-;-;575,52;-;75590,95
"120005 Assis Brasil";-;-;-;-;-;94,54;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;287,76;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;287,76;-;287,76;-;-;287,76;-;295,76;287,76;-;287,76;44,22;-;-;-;-;-;-;287,76;575,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;863,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;44,22;331,98;-;-;287,76;-;-;-;350,91;-;-;-;1770,78;863,28;9574,89
"120010 Brasiléia";-;-;-;-;-;-;277,60;-;-;-;-;-;-;-;443,77;408,20;44,22;708,18;995,94;1883,22;1541,88;863,28;599,52;1253,58;3748,88;2318,08;863,28;2318,08;1151,04;619,74;287,76;-;-;575,52;-;863,28;623,52;287,76;-;633,06;-;287,76;-;-;575,52;287,76;327,76;287,76;-;-;287,76;2070,32;575,52;575,52;287,76;575,52;575,52;-;303,76;2653,84;3165,36;863,28;1159,04;2318,08;863,28;1151,04;-;295,76;575,52;615,52;-;-;-;287,76;895,28;287,76;863,28;575,52;-;-;-;-;287,76;287,76;-;-;575,52;287,76;863,28;575,52;-;287,76;-;287,76;-;607,52;-;575,52;2014,32;863,28;1151,04;863,28;287,76;-;-;-;-;287,76;-;-;-;-;287,76;-;863,28;-;-;-;-;575,52;-;287,76;287,76;-;-;287,76;-;287,76;-;287,76;592,93;-;-;887,28;599,52;901,23;1151,04;583,77;-;575,52;44,22;959,48;-;-;-;-;1253,26;984,09;1038,06;287,76;287,76;-;907,50;44,22;575,52;1175,04;1353,09;4798,77;2990,04;82157,01
"120013 Bujari";-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;364,50;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;364,50;-;287,76;-;311,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2192,00
"120017 Capixaba";-;-;-;261,60;-;523,20;-;-;-;-;-;-;-;-;-;633,06;652,26;-;-;-;421,59;-;-;-;-;-;-;599,52;575,52;319,76;-;-;-;-;-;-;-;633,06;287,76;287,76;295,76;-;-;-;-;-;-;-;-;287,76;287,76;-;591,52;303,76;287,76;-;-;-;-;-;-;-;-;295,76;351,76;287,76;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;287,76;-;-;-;-;-;-;-;327,76;-;-;-;-;-;-;-;-;-;-;311,76;311,76;287,76;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319,76;-;-;-;287,76;-;-;-;-;-;-;311,76;287,76;-;-;-;-;-;-;-;-;287,76;-;319,76;-;-;-;-;-;-;-;-;-;-;-;-;-;12125,57
"120020 Cruzeiro do Sul";-;-;620,64;-;-;-;-;-;-;-;281,60;-;-;-;287,76;287,76;-;287,76;-;-;-;-;-;-;333,71;-;607,52;303,76;-;-;-;287,76;287,76;-;287,76;-;319,76;871,28;1223,04;919,28;575,52;-;-;303,76;287,76;-;-;-;-;591,52;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;360,16;-;-;-;-;-;287,76;1175,04;7658,93;7913,52;3541,12;1223,04;7516,63;4167,51;16509,57;35732,11;46803,95;31324,91;22204,31;13291,58;8331,36;13397,16;1332,99;943,28;12294,12;647,52;295,76;303,76;943,28;402,88;2369,54;-;615,52;351,96;-;-;623,52;336,54;607,52;-;367,76;-;647,52;-;852,10;303,76;-;-;-;647,52;455,15;246,65;295,76;1509,90;919,28;1223,04;-;607,52;-;-;-;695,72;-;303,76;327,96;-;1941,71;911,28;2636,85;1231,04;2206,32;615,52;1277,19;295,76;2895,28;4423,01;7453,19;5859,66;10276,04;9339,41;1316,99;-;-;303,76;-;-;-;-;776,93;1542,80;1253,99;319024,21
"120025 Epitaciolândia";-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;954,77;1258,53;1527,24;619,74;663,96;575,52;1342,33;575,52;-;1462,80;575,52;1766,56;575,52;1438,80;575,52;575,52;-;287,76;-;-;-;-;-;287,76;287,76;287,76;1151,04;-;-;-;287,76;-;287,76;-;287,76;287,76;-;575,52;863,28;287,76;575,52;287,76;-;287,76;591,52;871,28;1758,56;575,52;-;1446,80;-;863,28;287,76;-;-;-;-;391,88;-;-;-;-;-;287,76;-;-;-;287,76;-;-;-;-;-;575,52;287,76;287,76;575,52;287,76;-;-;-;-;-;575,52;-;1151,04;287,76;575,52;-;-;-;-;-;-;287,76;-;717,00;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;288,76;-;-;-;287,76;615,52;-;677,47;575,52;575,52;-;287,76;287,76;949,23;-;287,76;-;-;287,76;1171,10;619,74;1239,48;599,52;-;44,22;-;115,49;-;44,22;3693,64;3817,93;907,50;51712,63
"120030 Feijó";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;364,50;-;-;-;-;-;-;-;-;1245,20;-;-;-;-;303,76;-;-;-;-;-;-;-;-;345,30;959,40;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;476,06;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;624,52;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;367,76;-;-;-;-;-;-;-;-;-;-;-;-;5581,78
"120032 Jordão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;345,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;345,30
"120033 Mâncio Lima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;1231,24;1007,28;631,52;-;287,76;-;319,76;-;-;351,96;319,76;-;-;-;-;303,76;295,76;-;303,76;-;-;-;-;287,76;311,76;303,76;-;-;-;423,15;-;-;-;-;-;311,76;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;295,76;591,52;-;-;295,76;295,76;-;591,52;599,52;319,76;311,76;-;-;-;-;-;-;-;-;-;-;-;11183,15
