 Morbidade Hospitalar do SUS - por local de residência - Rondônia
Óbitos por Município e Ano/mês atendimento
Lista Morb  CID-10: Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Fev/2021
"Município";"2008/Mai";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mai";"2010/Set";"2010/Nov";"2011/Mai";"2012/Abr";"2012/Nov";"2015/Jun";"2016/Mar";"2017/Mar";"2018/Fev";"2019/Jul";"2020/Mar";"Total"
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"110002 Ariquemes";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"110004 Cacoal";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110080 Candeias do Jamari";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"110011 Jaru";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
"110015 Ouro Preto do Oeste";-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;4
"110018 Pimenta Bueno";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110020 Porto Velho";1;-;2;1;-;-;1;1;2;-;-;-;-;1;-;-;9
"110028 Rolim de Moura";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110030 Vilhena";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Total";1;2;7;1;1;1;1;1;2;1;1;1;1;1;1;1;24
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
