 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso
Taxa mortalidade por Município e Ano/mês atendimento
Lista Morb  CID-10: Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Fev/2021
"Município";"2008/Abr";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Ago";"2009/Set";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Set";"2011/Jul";"2011/Dez";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Out";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2014/Abr";"2014/Set";"2015/Jun";"2015/Dez";"2016/Fev";"2018/Jul";"2019/Mai";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2021/Jan";"Total"
"510030 Alto Araguaia";...;...;...;...;...;...;-;...;...;-;...;-;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;14,29;...;-;...;...;...;3,23
"510080 Apiacás";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;100,00;...;...;...;...;...;...;...;...;...;...;...;50,00
"510180 Barra do Garças";...;...;...;...;...;...;...;-;-;-;-;-;-;-;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;-;...;-;...;...;3,70
"510250 Cáceres";...;...;50,00;-;-;-;-;-;7,14;-;-;-;...;...;...;...;...;...;...;-;...;-;...;100,00;-;-;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;3,91
"510263 Campo Novo do Parecis";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;-;...;...;...;...;...;...;-;...;-;...;...;...;...;...;-;-;-;-;...;...;7,14
"510267 Campo Verde";...;...;-;...;...;...;...;-;-;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;-;...;...;...;...;...;...;...;...;...;-;...;...;...;8,33
"510270 Canarana";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;100,00
"510320 Colíder";100,00;...;...;...;...;-;...;-;-;-;-;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;11,11
"510335 Confresa";...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;12,50
"510340 Cuiabá";-;5,56;3,23;5,00;10,00;16,67;-;4,55;3,13;-;-;5,56;-;-;-;-;...;...;...;12,50;28,57;...;-;...;-;...;100,00;-;-;...;100,00;-;...;...;...;...;...;-;-;-;...;4,09
"510343 Curvelândia";...;...;...;100,00;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;33,33
"510410 Guarantã do Norte";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;100,00;...;...;...;...;...;20,00
"510480 Jaciara";...;-;-;-;-;...;...;-;-;-;-;...;-;...;-;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;-;...;...;...;...;...;...;...;-;...;2,86
"510510 Juara";...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;33,33
"510525 Lucas do Rio Verde";...;-;...;...;-;...;...;-;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;-;...;...;-;...;...;...;...;...;...;-;-;-;-;-;...;3,85
"510558 Marcelândia";...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50,00
"510600 Nortelândia";...;...;-;25,00;...;...;...;...;...;-;...;...;...;-;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;9,09
"510621 Nova Canaã do Norte";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;20,00
"510626 Novo Mundo";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;100,00;...;...;50,00
"510642 Peixoto de Azevedo";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;50,00;...;...;...;...;...;...;...;...;25,00
"510704 Primavera do Leste";...;...;...;...;...;...;...;...;-;-;-;-;...;...;...;...;-;...;...;...;...;...;...;...;...;-;...;...;-;...;...;-;...;-;...;33,33;-;-;-;-;...;2,44
"510706 Querência";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;33,33
"510760 Rondonópolis";...;-;-;-;-;-;-;14,29;-;-;-;-;-;-;...;...;...;...;...;...;...;...;33,33;50,00;-;-;...;-;-;...;...;100,00;...;...;...;...;-;11,11;-;-;...;2,92
"510730 São José do Rio Claro";...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00
"510790 Sinop";...;...;-;...;50,00;...;...;100,00;-;12,50;-;...;...;...;...;...;...;100,00;...;...;...;50,00;...;...;...;...;...;-;...;-;...;...;...;...;...;-;-;-;-;...;...;12,20
"510792 Sorriso";...;...;...;...;...;16,67;33,33;12,50;-;25,00;-;...;...;-;...;...;...;-;...;-;100,00;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;25,00;-;9,68
"510800 Tapurah";...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;33,33
"510805 Terra Nova do Norte";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;50,00
"510820 Torixoréu";...;...;...;...;...;...;...;...;...;...;-;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;-;...;...;...;...;10,00
