 Morbidade Hospitalar do SUS - por local de residência - Acre
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Fev/2021
"Município";"2008/Jan";"2008/Mar";"2008/Out";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Jun";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2012/Jan";"2012/Fev";"2012/Abr";"2012/Set";"2012/Out";"2013/Jan";"2013/Dez";"2014/Fev";"2014/Ago";"2015/Fev";"2016/Fev";"2016/Ago";"2017/Abr";"2017/Ago";"2017/Out";"2018/Fev";"2018/Mar";"2018/Ago";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jul";"2020/Nov";"2020/Dez";"2021/Jan";"Total"
"120005 Assis Brasil";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;364,03;-;-;-;-;-;-;-;364,03
"120010 Brasiléia";-;253,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;333,39;1165,41
"120013 Bujari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;660,38;-;-;-;660,38
"120017 Capixaba";-;-;-;-;-;-;-;-;-;-;-;-;-;4267,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4267,15
"120020 Cruzeiro do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;329,11;-;-;387,34;-;1216,38;-;855,68;321,17;413,07;-;-;-;361,37;-;398,12;508,25;-;305,17;1055,41;2807,51;11031,89;12623,31;6607,99;1578,01;610,34;2388,37;-;-;322,17;-;44120,66
"120025 Epitaciolândia";-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"120033 Mâncio Lima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1345,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;343,12;-;-;-;-;-;-;-;1688,90
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;359,12;359,12;-;456,32;-;-;-;-;-;-;-;1174,56
"120038 Plácido de Castro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321,17;-;-;-;-;-;-;-;-;-;-;-;-;52,22;-;-;-;-;-;-;-;-;-;-;-;-;-;373,39
"120080 Porto Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;345,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;329,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;674,34
