 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"510010 Acorizal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;388,47;420,87;-;-;287,76;-;-;370,62;-;-;-;-;-;-;-;364,50;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;499,20;-;-;-;-;-;-;-;-;-;-;327,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3258,70
"510020 Água Boa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1191,04;863,28;303,76;-;-;-;287,76;311,76;-;-;-;-;-;591,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;607,52;-;287,76;1183,04;1454,80;2318,08;4116,64;2645,84;2038,32;1151,04;1766,56;1742,56;575,52;1175,04;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;575,52;-;1191,04;-;-;-;-;-;-;287,76;887,28;1502,80;575,52;-;-;-;-;-;-;303,76;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;287,76;1175,04;-;-;615,52;-;-;287,76;-;-;575,52;-;575,52;327,76;-;363,82;327,76;287,76;-;-;-;-;-;-;-;36806,06
"510025 Alta Floresta";-;-;-;1641,60;1102,40;784,80;556,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319,76;365,71;287,76;585,05;1628,99;733,83;372,69;651,78;-;-;359,76;-;-;-;-;-;287,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;575,52;622,79;2627,79;863,28;1288,48;1490,73;1852,51;1870,56;2126,32;2804,30;1020,50;575,52;676,20;1317,58;-;287,76;964,50;863,28;591,52;-;-;47,27;-;-;792,10;-;1454,75;1487,24;1747,57;401,77;1877,41;-;-;-;-;-;680,96;-;1170,89;1806,56;581,97;-;-;-;-;-;311,76;-;-;-;704,96;1199,04;2086,32;624,72;-;320,54;-;-;311,76;-;-;-;865,28;1292,28;387,76;303,76;-;-;-;359,03;-;575,52;-;-;-;303,76;-;-;-;-;-;-;-;1651,76;1173,02;689,54;1221,99;374,52;2862,17;2754,10;287,76;462,12;596,16;600,52;311,76;-;-;-;287,76;-;67664,91
"510030 Alto Araguaia";-;-;-;261,60;-;-;261,60;784,80;-;-;-;-;-;-;-;-;-;-;287,76;1151,04;-;-;-;-;-;-;-;1167,82;575,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;887,28;-;-;599,52;-;-;-;-;-;295,76;-;2410,03;919,28;303,76;3041,55;683,03;-;-;-;-;-;-;623,52;1560,75;303,76;4587,59;607,52;-;-;-;-;-;-;-;-;-;21889,01
"510035 Alto Boa Vista";-;-;-;-;285,60;840,80;1689,60;-;-;-;285,60;-;-;967,28;623,52;311,76;-;-;-;-;-;-;-;-;-;-;-;-;631,52;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;607,52;-;335,76;-;-;319,76;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7810,00
"510040 Alto Garças";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76
"510050 Alto Paraguai";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327,76;-;-;287,76;-;-;-;-;-;327,76;287,76;-;-;-;-;-;-;-;287,76;287,76;287,76;923,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3345,36
"510060 Alto Taquari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;1438,80
"510080 Apiacás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;310,11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;893,63
"510100 Araguaiana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109,24;-;295,76;287,76;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;980,52
