 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Taxa mortalidade por Município e Ano/mês atendimento
Lista Morb  CID-10: Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2008/Fev";"2008/Mai";"2008/Nov";"2009/Mar";"2009/Abr";"2009/Mai";"2010/Abr";"2011/Fev";"2011/Abr";"2011/Mai";"2011/Jul";"2011/Dez";"2012/Fev";"2012/Abr";"2013/Jun";"2013/Set";"2014/Fev";"2014/Nov";"2015/Abr";"2015/Mai";"2016/Mar";"2016/Abr";"2016/Jul";"2017/Fev";"2017/Mar";"2017/Abr";"2018/Abr";"2019/Abr";"2019/Jul";"2019/Set";"Total"
"210005 Açailândia";...;-;100,00;...;-;...;...;50,00;-;50,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;11,11
"210030 Aldeias Altas";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;100,00
"210120 Bacabal";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;-;100,00;...;...;...;...;...;...;...;25,00
"210160 Barra do Corda";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;33,33;...;...;...;...;...;...;...;...;...;7,69
"210203 Bom Jesus das Selvas";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50,00;...;...;...;...;-;...;...;...;...;...;...;25,00
"210250 Cajari";...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00
"210330 Codó";...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;20,00
"210470 Graça Aranha";...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00
"210530 Imperatriz";...;25,00;50,00;...;100,00;...;...;...;100,00;...;...;...;...;-;25,00;...;...;100,00;...;-;...;...;-;...;...;...;...;-;...;-;...;8,97
"210542 Itinga do Maranhão";...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;-;...;...;20,00
"210547 Jenipapo dos Vieiras";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;100,00
"210550 João Lisboa";...;...;...;...;-;100,00;-;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;-;...;...;33,33
"210560 Joselândia";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;50,00
"210570 Lago da Pedra";...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;100,00;...;50,00
"210632 Maracaçumé";...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00
"210900 Porto Franco";...;...;50,00;...;...;...;100,00;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;28,57
"210927 Presidente Sarney";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;100,00
"210945 Raposa";...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;25,00
"211000 Santa Luzia";...;-;...;...;...;-;...;...;-;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;14,29
"211120 São José de Ribamar";...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;-;...;...;6,67
"211130 São Luís";50,00;-;...;100,00;...;-;-;-;-;-;7,14;-;-;-;...;...;...;-;...;...;...;...;50,00;-;...;...;...;...;-;100,00;-;1,74
"211150 São Mateus do Maranhão";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;100,00
"211210 Timbiras";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50,00
"211240 Turiaçu";...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;33,33
"211300 Vitorino Freire";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;100,00
"Total";33,33;7,69;44,44;25,00;20,00;40,00;16,67;40,00;13,33;7,69;5,88;12,50;25,00;25,00;22,22;33,33;100,00;50,00;66,67;12,50;16,67;12,50;33,33;50,00;50,00;50,00;50,00;33,33;8,33;33,33;25,00;5,76
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
