 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Febre amarela
Período:Jan/2008-Fev/2021
"Município";"2011/Fev";"2015/Dez";"2016/Jan";"2016/Abr";"2016/Set";"2016/Out";"2016/Nov";"2017/Mar";"2017/Out";"2018/Mar";"Total"
"210043 Alto Alegre do Maranhão";-;-;-;-;1;-;2;2;-;-;5
"210275 Capinzal do Norte";-;-;-;-;-;-;1;-;-;-;1
"210300 Caxias";-;-;1;1;-;-;-;-;-;-;2
"210670 Mirador";-;-;-;-;-;-;-;-;1;-;1
"210720 Nina Rodrigues";-;1;-;-;-;-;-;-;-;-;1
"210820 Pedreiras";-;-;-;-;-;1;-;-;-;-;1
"210845 Peritoró";-;-;-;-;-;-;1;-;-;-;1
"210975 Santa Filomena do Maranhão";-;-;-;-;-;-;-;-;-;1;1
"210980 Santa Helena";1;-;-;-;-;-;-;-;-;-;1
"211107 São João do Soter";-;-;-;2;-;-;-;-;-;-;2
"211150 São Mateus do Maranhão";-;-;-;-;1;-;1;-;-;-;2
"Total";1;1;1;3;2;1;5;2;1;1;18
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
