 Morbidade Hospitalar do SUS - por local de residência - Pará
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Febre amarela
Período:Jan/2008-Fev/2021
"Município";"2008/Mar";"2008/Abr";"2009/Mar";"2009/Mai";"2010/Ago";"2010/Out";"2013/Mar";"2015/Jan";"2017/Mar";"2017/Mai";"2018/Fev";"2018/Mar";"2019/Fev";"2020/Fev";"Total"
"150040 Alenquer";-;-;-;-;-;-;-;-;678,99;-;-;-;-;5535,58;6214,57
"150070 Anajás";-;-;-;-;47,27;-;-;-;-;-;-;-;-;-;47,27
"150140 Belém";-;222,59;235,50;246,30;-;-;-;-;-;-;-;267,90;-;-;972,29
"150180 Breves";-;-;-;-;-;-;-;174,45;-;-;-;-;-;-;174,45
"150240 Castanhal";-;-;-;-;-;-;-;-;-;-;174,45;-;-;-;174,45
"150480 Monte Alegre";-;-;-;-;-;-;-;-;4192,66;-;-;-;-;-;4192,66
"150530 Oriximiná";-;-;-;-;-;-;-;-;-;182,45;-;-;251,15;-;433,60
"150560 Peixe-Boi";206,59;-;-;-;-;-;-;-;-;-;-;-;-;-;206,59
"150565 Placas";-;-;-;-;-;-;174,45;-;-;-;-;-;-;-;174,45
"150658 Santa Maria das Barreiras";-;-;-;-;-;920,44;-;-;-;-;-;-;-;-;920,44
"Total";206,59;222,59;235,50;246,30;47,27;920,44;174,45;174,45;4871,65;182,45;174,45;267,90;251,15;5535,58;13510,77
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
